decision_date,market,ret_21,ret_63,vol_21,vol_63,range_21,dist_high_252,xmkt_corr_21,xmkt_disp_21,dow,month,label_bad_regime_21
2024-01-01,ES,0.04855636,0.10948737,0.00624555,0.00756994,0.00797915,-0.00294711,0.4497784,0.03399057,0,1,0
2024-01-01,GC,-0.02481096,0.12648761,0.0119191,0.00992549,0.00963323,-0.02481096,0.4497784,0.03399057,0,1,0
2024-01-01,CL,-0.03822507,-0.13102282,0.01810732,0.02072986,0.0299714,-0.22070609,0.4497784,0.03399057,0,1,0
2024-01-01,6E,0.01367976,0.04194781,0.0046873,0.0048804,0.00580984,-0.01787938,0.4497784,0.03399057,0,1,0
2024-01-02,ES,0.04786914,0.11031245,0.00628878,0.00755622,0.00813436,-0.00966858,0.42792298,0.0306457,1,1,0
2024-01-02,GC,0.01551877,0.11487912,0.0077874,0.00988725,0.00793347,-0.02585066,0.42792298,0.0306457,1,1,0
2024-01-02,CL,-0.03793668,-0.17774668,0.01809249,0.02031071,0.03095339,-0.23651722,0.42792298,0.0306457,1,1,0
2024-01-02,6E,0.00968367,0.03703704,0.00496165,0.00498245,0.00588029,-0.02615193,0.42792298,0.0306457,1,1,0
2024-01-03,ES,0.03757099,0.0870809,0.0066611,0.00751136,0.00830602,-0.01763094,0.35982935,0.01162513,2,1,0
2024-01-03,GC,0.00817236,0.09347301,0.00819941,0.01002553,0.00753064,-0.03804348,0.35982935,0.01162513,2,1,0
2024-01-03,CL,0.01275475,-0.15461173,0.01945687,0.02083615,0.03214189,-0.20890188,0.35982935,0.01162513,2,1,0
2024-01-03,6E,0.01217818,0.03357133,0.00487943,0.00498851,0.00586791,-0.02779754,0.35982935,0.01162513,2,1,0
2024-01-04,ES,0.03924044,0.07762349,0.0065921,0.00751618,0.00821725,-0.02093997,0.3480568,0.01395135,3,1,0
2024-01-04,GC,0.00843445,0.09942998,0.00820528,0.01002754,0.00732267,-0.03379017,0.3480568,0.01395135,3,1,0
2024-01-04,CL,0.04028777,-0.15910677,0.01774181,0.02085623,0.03168703,-0.21702404,0.3480568,0.01395135,3,1,0
2024-01-04,6E,0.01648097,0.0321501,0.00483147,0.00498053,0.00586897,-0.02619641,0.3480568,0.01395135,3,1,0
2024-01-05,ES,0.03293707,0.0715013,0.00651826,0.00749179,0.00831222,-0.02062975,0.34239169,0.01999278,4,1,0
2024-01-05,GC,0.00846915,0.09354477,0.00820554,0.01000219,0.0071508,-0.03208885,0.34239169,0.01999278,4,1,0
