date,open,high,low,close,volume
2019-01-02,1.147,1.1505,1.13225,1.13225,357
2019-01-03,1.13545,1.141,1.1346,1.1404,218
2019-01-04,1.1405,1.1426,1.13555,1.14065,586
2019-01-07,1.1415,1.14875,1.1415,1.1486,200
2019-01-08,1.14905,1.14905,1.143,1.14375,288
2019-01-09,1.14665,1.1559,1.1455,1.1552,214
2019-01-10,1.1559,1.15705,1.1499,1.1499,105
2019-01-11,1.1515,1.1531,1.1465,1.1465,168
2019-01-14,1.14665,1.1474,1.1458,1.146,136
2019-01-15,1.15175,1.15175,1.1418,1.14455,624
2019-01-16,1.14395,1.14515,1.14115,1.14235,122
2019-01-17,1.1426,1.1428,1.13985,1.1417,74
2019-01-18,1.14215,1.14365,1.1384,1.1391,74
2019-01-20,1.1393,1.1393,1.1393,1.1393,2
2019-01-21,1.14025,1.1413,1.13855,1.1397,160
2019-01-22,1.1397,1.1397,1.137,1.13815,146
2019-01-23,1.1388,1.14185,1.1376,1.14045,449
2019-01-24,1.1398,1.1402,1.1317,1.1324,288
2019-01-25,1.1332,1.1437,1.1327,1.14255,931
2019-01-27,1.1428,1.1428,1.1428,1.1428,1
2019-01-28,1.14345,1.14565,1.1415,1.1448,150
2019-01-29,1.1444,1.1468,1.14335,1.1444,134
2019-01-30,1.1458,1.15105,1.14265,1.15,184
2019-01-31,1.152,1.1524,1.1458,1.1461,974
2019-02-01,1.1461,1.1499,1.1452,1.1475,320
2019-02-04,1.146,1.14645,1.144,1.1446,86
2019-02-05,1.1437,1.1442,1.1419,1.14235,131
2019-02-06,1.1414,1.1414,1.1372,1.13765,195
2019-02-07,1.13695,1.1371,1.1333,1.1348,51
2019-02-08,1.13445,1.1358,1.13305,1.1332,60
2019-02-11,1.1332,1.1332,1.1279,1.1282,163
2019-02-12,1.1281,1.1337,1.12635,1.1337,385
2019-02-13,1.1342,1.13425,1.12685,1.12685,179
2019-02-14,1.1273,1.1303,1.1265,1.12975,144
2019-02-15,1.12755,1.12775,1.12375,1.12735,31
2019-02-17,1.13185,1.13225,1.13155,1.13215,1594
2019-02-18,1.1321,1.13605,1.132,1.13365,72626
2019-02-19,1.13365,1.13835,1.13005,1.1364,205012
2019-02-20,1.1364,1.13965,1.1349,1.1367,169938
2019-02-21,1.13675,1.1388,1.13405,1.13605,192943
2019-02-22,1.136,1.1377,1.1336,1.13515,135536
2019-02-24,1.1355,1.13615,1.13545,1.13615,1541
2019-02-25,1.13615,1.13875,1.1356,1.13835,115841
2019-02-26,1.13835,1.14215,1.13635,1.1411,182754
2019-02-27,1.14115,1.14215,1.138,1.1395,139377
2019-02-28,1.13945,1.14365,1.13745,1.1387,193457
2019-03-01,1.1387,1.1423,1.1367,1.1377,153319
2019-03-03,1.1388,1.13935,1.1385,1.1388,2727
2019-03-04,1.13875,1.1388,1.1321,1.13485,145156
2019-03-05,1.13485,1.1351,1.13015,1.13165,147073
2019-03-06,1.1317,1.13355,1.1296,1.1321,133771
2019-03-07,1.1321,1.13285,1.11845,1.12055,281002
2019-03-08,1.1205,1.12535,1.11925,1.124,202942
2019-03-10,1.1243,1.1244,1.12375,1.12385,2693
2019-03-11,1.1238,1.1279,1.1228,1.12645,154796
2019-03-12,1.1265,1.1311,1.12545,1.12915,193875
2019-03-13,1.1291,1.1343,1.1282,1.13325,148420
2019-03-14,1.13325,1.13375,1.12955,1.13075,123805
2019-03-15,1.13075,1.13455,1.1301,1.13255,33112
2019-03-17,1.1322,1.1326,1.13195,1.13205,66
2019-03-18,1.132,1.13585,1.13195,1.1344,1065
2019-03-19,1.1369,1.13865,1.1367,1.13755,120
2019-03-20,1.13705,1.1472,1.1361,1.1451,219
2019-03-21,1.14555,1.14555,1.13665,1.1395,342
2019-03-22,1.1385,1.14115,1.12965,1.13225,447
2019-03-24,1.1318,1.1319,1.1318,1.1319,2
2019-03-25,1.13205,1.13505,1.13175,1.13355,238
2019-03-26,1.1334,1.1345,1.1286,1.1286,112
2019-03-27,1.129,1.13025,1.1263,1.12635,175
2019-03-28,1.1264,1.1275,1.123,1.1241,196
2019-03-29,1.12455,1.12605,1.1228,1.12295,114
2019-04-01,1.1242,1.1263,1.12175,1.12245,129
2019-04-02,1.1215,1.1225,1.1196,1.12085,175
2019-04-03,1.12205,1.1266,1.12205,1.1254,230
2019-04-04,1.12495,1.1253,1.1218,1.123,117
2019-04-05,1.12355,1.126,1.1224,1.12245,170
2019-04-08,1.1224,1.128,1.1224,1.12615,121
2019-04-09,1.12715,1.12875,1.12675,1.1271,25
2019-04-10,1.12655,1.1292,1.1241,1.1277,62
2019-04-11,1.12815,1.1288,1.1257,1.12575,39
2019-04-12,1.1288,1.1324,1.1285,1.12975,106
2019-04-14,1.1304,1.1304,1.13025,1.13035,11
2019-04-15,1.1312,1.1318,1.13065,1.13145,197
2019-04-16,1.13295,1.13395,1.13005,1.13035,245
2019-04-17,1.1305,1.13435,1.1305,1.1317,124
2019-04-18,1.1315,1.13215,1.12485,1.125,241
2019-04-21,1.126,1.1265,1.1257,1.1265,29
2019-04-22,1.12645,1.12805,1.1257,1.12805,43
2019-04-23,1.12655,1.128,1.1211,1.1245,188
2019-04-24,1.12375,1.124,1.11615,1.11765,218
2019-04-25,1.11625,1.11715,1.11375,1.11515,442
2019-04-26,1.1148,1.11865,1.1125,1.11675,133
2019-04-28,1.11625,1.11625,1.11625,1.11625,1
2019-04-29,1.1164,1.1195,1.1164,1.11945,34
2019-04-30,1.11965,1.1239,1.1192,1.1223,91
2019-05-01,1.12295,1.12755,1.1206,1.121,266
2019-05-02,1.12145,1.12235,1.118,1.118,56
2019-05-03,1.1185,1.121,1.1148,1.121,29
2019-05-05,1.1188,1.1189,1.1188,1.1189,27
2019-05-06,1.12005,1.12125,1.1189,1.12125,63
2019-05-07,1.1217,1.1217,1.11785,1.11975,118
2019-05-08,1.1209,1.1216,1.11905,1.12,188
2019-05-09,1.12,1.125,1.11795,1.12245,297
2019-05-10,1.1229,1.1253,1.12265,1.1233,76
2019-05-12,1.12345,1.12345,1.12345,1.12345,9
2019-05-13,1.12465,1.12465,1.12465,1.12465,2
2019-05-14,1.1264,1.12755,1.1233,1.1234,152236
2019-05-15,1.1234,1.12555,1.1208,1.1235,176849
2019-05-16,1.1235,1.1252,1.1194,1.12,133438
2019-05-17,1.12,1.1211,1.1182,1.11855,136087
2019-05-19,1.1185,1.1193,1.11845,1.11905,2339
2019-05-20,1.11905,1.1201,1.11765,1.11925,104366
2019-05-21,1.11925,1.1214,1.11665,1.11885,167586
2019-05-22,1.11885,1.1205,1.11725,1.11755,121662
2019-05-23,1.11755,1.12085,1.11265,1.1205,224836
2019-05-24,1.12045,1.1233,1.11975,1.12235,145115
2019-05-26,1.1228,1.1231,1.1227,1.1227,1619
2019-05-27,1.12265,1.12345,1.12065,1.12125,51272
2019-05-28,1.12125,1.1217,1.1177,1.1186,147352
2019-05-29,1.11855,1.119,1.11415,1.11515,169816
2019-05-30,1.1151,1.1158,1.11305,1.11435,121115
2019-05-31,1.11435,1.1194,1.1139,1.1183,225814
2019-06-02,1.11805,1.11875,1.118,1.11865,3612
2019-06-03,1.11865,1.12755,1.11735,1.1258,223575
2019-06-04,1.12575,1.12895,1.1238,1.1265,235427
2019-06-05,1.1265,1.1318,1.12305,1.12365,241697
2019-06-06,1.12365,1.1318,1.12075,1.1283,273965
2019-06-07,1.1283,1.1355,1.12585,1.1342,232011
2019-06-09,1.1335,1.13395,1.1321,1.1326,4865
2019-06-10,1.13255,1.13315,1.12965,1.1324,128829
2019-06-11,1.1324,1.1343,1.1307,1.13345,152670
2019-06-12,1.1334,1.1348,1.1287,1.12945,161516
2019-06-13,1.12945,1.13055,1.12705,1.1281,101651
2019-06-14,1.12805,1.129,1.1204,1.1213,26739
2019-06-16,1.12125,1.1216,1.12115,1.1216,46
2019-06-17,1.12165,1.12475,1.12045,1.12365,2563
2019-06-18,1.12515,1.1268,1.12075,1.12195,587
2019-06-19,1.12225,1.12735,1.1214,1.12585,366
2019-06-20,1.126,1.13375,1.126,1.1316,646
2019-06-21,1.13185,1.1398,1.13075,1.13915,535
2019-06-23,1.1395,1.13965,1.1395,1.13965,4
2019-06-24,1.1403,1.14205,1.1393,1.14175,404
2019-06-25,1.14285,1.14305,1.13655,1.13865,554
2019-06-26,1.13755,1.1409,1.1369,1.13845,393
2019-06-27,1.1386,1.13925,1.13655,1.1383,479
2019-06-28,1.13785,1.1405,1.1368,1.1387,612
2019-07-01,1.1366,1.1369,1.1296,1.12995,653
2019-07-02,1.1288,1.13315,1.1288,1.1294,245
2019-07-03,1.1302,1.13165,1.128,1.12955,1446
2019-07-04,1.1294,1.1295,1.1284,1.12925,109
2019-07-05,1.129,1.129,1.12155,1.1235,601
2019-07-07,1.1235,1.1235,1.12345,1.12345,10
2019-07-08,1.12345,1.12405,1.1217,1.1217,158
2019-07-09,1.12215,1.1222,1.1202,1.1215,66
2019-07-10,1.1212,1.12585,1.1212,1.1256,163
2019-07-11,1.127,1.1287,1.1255,1.1255,296
2019-07-12,1.12645,1.1275,1.12475,1.12735,138
2019-07-14,1.12705,1.12705,1.12705,1.12705,1
2019-07-15,1.12735,1.12815,1.1264,1.12675,204
2019-07-16,1.12895,1.1293,1.12345,1.12395,379
2019-07-17,1.124,1.1262,1.12315,1.1256,198
2019-07-18,1.12625,1.13075,1.1233,1.1283,133
2019-07-19,1.1289,1.1294,1.123,1.123,195
2019-07-21,1.12425,1.12425,1.12425,1.12425,1
2019-07-22,1.12445,1.12465,1.12315,1.1232,15
2019-07-23,1.1232,1.1232,1.11715,1.1175,111
2019-07-24,1.117,1.11755,1.11515,1.11655,85
2019-07-25,1.11565,1.1203,1.1125,1.11655,339
2019-07-26,1.11655,1.11655,1.11345,1.11465,64
2019-07-28,1.11505,1.11505,1.11505,1.11505,3
2019-07-29,1.1155,1.1164,1.1135,1.11625,26
2019-07-30,1.1157,1.1168,1.11565,1.1168,30
2019-07-31,1.117,1.11775,1.1078,1.10865,124
2019-08-01,1.10785,1.1097,1.1044,1.10915,279
2019-08-02,1.11025,1.1123,1.1085,1.11175,285
2019-08-05,1.1132,1.1252,1.11255,1.1252,132
2019-08-06,1.12515,1.126,1.1182,1.12115,137
2019-08-07,1.12245,1.1247,1.1193,1.1244,60
2019-08-08,1.121,1.1235,1.11865,1.1195,80
2019-08-09,1.11955,1.12265,1.11905,1.12135,99
2019-08-12,1.1211,1.12345,1.117,1.122,328
2019-08-13,1.12135,1.1233,1.11835,1.11835,118
2019-08-14,1.1181,1.11895,1.1138,1.11405,103
2019-08-15,1.11435,1.1154,1.1097,1.11145,219
2019-08-16,1.11015,1.11065,1.10695,1.1097,303
2019-08-19,1.1088,1.11135,1.1088,1.1095,58
2019-08-20,1.11045,1.11295,1.1088,1.1119,128940
2019-08-21,1.1119,1.1129,1.11015,1.11095,105713
2019-08-22,1.111,1.1133,1.10825,1.1102,193957
2019-08-23,1.1102,1.11725,1.107,1.116,206606
2019-08-25,1.1166,1.11825,1.11605,1.1162,8027
2019-08-26,1.11615,1.1171,1.11125,1.1119,126759
2019-08-27,1.11185,1.1133,1.1103,1.1106,121665
2019-08-28,1.1106,1.1114,1.1089,1.1098,128246
2019-08-29,1.1098,1.11065,1.10545,1.10715,182509
2019-08-30,1.10715,1.1072,1.09755,1.10055,208230
2019-09-01,1.10015,1.1009,1.1001,1.10015,3205
2019-09-02,1.1002,1.1005,1.09695,1.0975,75048
2019-09-03,1.0975,1.09895,1.0936,1.09825,199944
2019-09-04,1.09825,1.10485,1.09815,1.10425,176805
2019-09-05,1.1042,1.10925,1.10235,1.1041,183211
2019-09-06,1.1041,1.10635,1.10265,1.1034,145575
2019-09-08,1.10325,1.10345,1.10245,1.1026,3837
2019-09-09,1.1026,1.10735,1.1021,1.1052,123976
2019-09-10,1.1052,1.10645,1.10355,1.10545,132283
2019-09-11,1.10545,1.10595,1.09895,1.1015,135912
2019-09-12,1.10155,1.10895,1.0928,1.10565,308310
2019-09-13,1.1058,1.1111,1.1058,1.1075,35670
2019-09-15,1.1075,1.1085,1.1073,1.1085,129
2019-09-16,1.10785,1.1082,1.10035,1.1006,2743
2019-09-17,1.10295,1.10995,1.102,1.1097,763
2019-09-18,1.109,1.10915,1.10365,1.10485,230
2019-09-19,1.1047,1.10925,1.1047,1.10635,362
2019-09-20,1.107,1.10825,1.1018,1.1037,466
2019-09-22,1.1038,1.1038,1.1038,1.1038,1
2019-09-23,1.10345,1.10415,1.09845,1.1012,239
2019-09-24,1.1007,1.1042,1.10025,1.1042,194
2019-09-25,1.103,1.103,1.09535,1.09605,214
2019-09-26,1.0968,1.0979,1.0924,1.09315,402
2019-09-27,1.093,1.09675,1.0919,1.09535,96
2019-09-29,1.09535,1.0956,1.09505,1.09535,9
2019-09-30,1.09465,1.09575,1.08975,1.09105,117
2019-10-01,1.0906,1.09525,1.0891,1.0947,183
2019-10-02,1.09475,1.09715,1.0916,1.0969,389
2019-10-03,1.09665,1.10065,1.0949,1.0978,282
2019-10-04,1.0983,1.1005,1.09665,1.09815,206
2019-10-07,1.0995,1.1,1.09695,1.0979,74
2019-10-08,1.09695,1.0999,1.0952,1.0964,100
2019-10-09,1.0966,1.09945,1.09645,1.0977,581
2019-10-10,1.0984,1.1029,1.0982,1.1014,141
2019-10-11,1.1014,1.1058,1.1004,1.1044,37
2019-10-13,1.1059,1.1059,1.10555,1.10555,2
2019-10-14,1.1051,1.1066,1.1041,1.10545,110
2019-10-15,1.10695,1.10695,1.1018,1.10555,92
2019-10-16,1.10515,1.111,1.10505,1.1097,82
2019-10-17,1.11065,1.1154,1.10875,1.11455,148
2019-10-18,1.11455,1.11865,1.11455,1.1185,88
2019-10-21,1.118,1.1201,1.1162,1.11675,48
2019-10-22,1.1172,1.1175,1.1144,1.1144,25
2019-10-23,1.1145,1.11515,1.11315,1.1146,66
2019-10-24,1.11475,1.11765,1.11105,1.1119,61
2019-10-25,1.1126,1.1135,1.109,1.1098,30
2019-10-28,1.1103,1.11195,1.11025,1.11195,40
2019-10-29,1.11145,1.11325,1.1091,1.1128,142
2019-10-30,1.11325,1.11645,1.11165,1.11645,96
2019-10-31,1.1174,1.11865,1.11515,1.1168,56
2019-11-01,1.1164,1.1181,1.114,1.1174,58
2019-11-04,1.11765,1.11835,1.114,1.11405,47
2019-11-05,1.11375,1.1143,1.1073,1.10835,136
2019-11-06,1.1076,1.1095,1.1074,1.108,44
2019-11-07,1.1074,1.10965,1.1043,1.10505,114
2019-11-08,1.1054,1.1059,1.1025,1.1027,41
2019-11-11,1.10365,1.1047,1.1033,1.1039,17
2019-11-12,1.1035,1.1041,1.10115,1.1015,46
