date,open,high,low,close,volume
2019-01-02,45.88,47.78,44.35,45.8,769942
2019-01-03,45.8,47.49,45.35,46.91,697986
2019-01-04,46.9,49.22,46.65,48.31,716326
2019-01-06,48.3,48.66,48.11,48.6,6584
2019-01-07,48.61,49.79,48.34,48.75,697472
2019-01-08,48.76,50.04,48.31,49.99,620763
2019-01-09,49.99,52.58,49.93,52.17,732631
2019-01-10,52.17,52.78,51.37,52.29,688501
2019-01-11,52.29,53.31,51.18,51.7,681760
2019-01-13,51.73,52.11,51.72,51.84,5878
2019-01-14,51.83,51.95,50.38,50.69,645159
2019-01-15,50.69,52.3,50.67,51.89,560890
2019-01-16,51.9,52.52,51.26,52.24,581308
2019-01-17,52.25,52.58,50.98,52.21,211155
2019-01-18,52.21,53.92,52.19,53.76,90096
2019-01-20,53.73,53.82,53.33,53.42,513
2019-01-21,53.43,54.24,53.34,53.93,10755
2019-01-22,53.99,54.02,51.8,52.77,7168
2019-01-23,52.89,53.64,51.86,52.46,622164
2019-01-24,52.45,53.47,52.07,53.08,628041
2019-01-25,53.09,53.94,52.91,53.55,519321
2019-01-27,53.56,53.64,53.25,53.26,4628
2019-01-28,53.27,53.62,51.33,52.06,563007
2019-01-29,52.07,53.93,51.84,53.33,585503
2019-01-30,53.33,54.93,53.09,54.48,607613
2019-01-31,54.48,55.37,53.62,53.9,599359
2019-02-01,53.89,55.66,53.37,55.37,596315
2019-02-03,55.32,55.46,55.13,55.23,5578
2019-02-04,55.23,55.75,53.29,54.74,526658
2019-02-05,54.74,55.21,53.47,53.79,527605
2019-02-06,53.79,54.3,52.86,53.95,493385
2019-02-07,53.95,54.21,51.8,52.49,565911
2019-02-08,52.49,52.99,52.08,52.71,468029
2019-02-10,52.66,52.78,52.48,52.49,3245
2019-02-11,52.49,52.69,51.23,52.42,541956
2019-02-12,52.41,54.05,52.38,53.49,548602
2019-02-13,53.48,54.6,53.27,53.99,513877
2019-02-14,53.98,54.68,53.08,54.58,489442
2019-02-15,54.58,55.87,54.24,55.79,188208
2019-02-17,55.78,56.0,55.72,55.93,1658
2019-02-18,55.94,56.33,55.73,55.87,37264
2019-02-19,55.87,56.24,55.29,55.95,28938
2019-02-20,56.04,57.55,55.48,56.9,5864
2019-02-21,57.21,57.61,56.64,56.86,473485
2019-02-22,56.87,57.81,56.81,57.07,410158
2019-02-24,57.17,57.35,57.12,57.34,4435
2019-02-25,57.35,57.53,55.08,55.46,623476
2019-02-26,55.45,56.08,55.02,56.03,486493
2019-02-27,56.02,57.39,55.72,56.98,502137
2019-02-28,56.98,57.43,56.43,57.2,435442
2019-03-01,57.2,57.88,55.57,55.75,606693
2019-03-03,55.83,56.3,55.83,56.01,9071
2019-03-04,56.01,57.0,55.81,56.43,470466
2019-03-05,56.43,57.19,56.09,56.16,469908
2019-03-06,56.16,56.4,55.42,56.13,528462
2019-03-07,56.14,56.99,56.08,56.46,501114
2019-03-08,56.46,56.48,54.52,56.04,629371
2019-03-10,56.07,56.3,55.96,56.15,6715
2019-03-11,56.16,57.09,56.05,56.98,486941
2019-03-12,56.98,57.55,56.75,57.17,546647
2019-03-13,57.18,58.48,57.01,58.33,487845
2019-03-14,58.33,58.74,58.0,58.55,455114
2019-03-15,58.55,58.95,57.74,58.39,420386
2019-03-17,58.45,58.56,58.4,58.45,2147
2019-03-18,58.45,59.23,58.05,59.07,83131
2019-03-19,59.05,59.57,58.62,58.97,25707
2019-03-20,59.0,60.12,58.39,60.12,6480
2019-03-21,60.1,60.39,59.66,59.93,565427
2019-03-22,59.93,60.07,58.28,58.97,650827
2019-03-24,58.98,59.17,58.75,58.81,5568
2019-03-25,58.82,59.35,58.17,59.17,606290
2019-03-26,59.17,60.38,59.13,59.86,560378
2019-03-27,59.86,60.22,58.81,59.35,645122
2019-03-28,59.35,59.6,58.2,59.52,647941
2019-03-29,59.51,60.73,59.42,60.18,607615
2019-03-31,60.24,60.44,60.13,60.36,6042
2019-04-01,60.36,61.84,60.35,61.76,569312
2019-04-02,61.76,62.75,61.6,62.51,585586
2019-04-03,62.51,62.99,62.05,62.39,667327
2019-04-04,62.39,62.77,61.89,61.97,580741
2019-04-05,61.97,63.34,61.82,63.26,556493
2019-04-07,63.33,63.48,63.29,63.41,7933
2019-04-08,63.41,64.48,63.13,64.45,599489
2019-04-09,64.45,64.79,63.68,64.18,617876
2019-04-10,64.18,64.7,64.05,64.35,563730
2019-04-11,64.34,64.45,63.31,63.77,590851
2019-04-12,63.77,64.65,63.71,63.76,502886
2019-04-14,63.76,63.84,63.52,63.64,6060
2019-04-15,63.64,63.77,63.03,63.48,426406
2019-04-16,63.48,64.43,62.99,64.35,445160
2019-04-17,64.35,64.61,63.66,63.73,130005
2019-04-18,63.72,64.16,63.46,64.0,54650
2019-04-21,64.0,64.44,64.0,64.4,520
2019-04-22,64.39,65.92,64.39,65.66,7462
2019-04-23,65.78,66.6,65.58,66.03,569546
2019-04-24,66.03,66.43,65.66,65.76,569030
2019-04-25,65.76,66.28,64.9,64.99,529131
2019-04-26,64.98,65.07,62.28,62.8,904746
2019-04-28,62.95,63.02,62.79,62.84,9366
2019-04-29,62.83,63.69,62.46,63.54,552495
2019-04-30,63.54,64.75,63.3,63.54,678555
2019-05-01,63.54,63.93,62.77,63.48,619482
2019-05-02,63.48,63.68,60.95,61.68,826972
2019-05-03,61.68,62.52,61.3,61.86,583652
2019-05-05,61.43,61.45,60.34,60.5,25021
2019-05-06,60.5,62.95,60.04,62.31,685895
2019-05-07,62.3,62.49,60.66,61.55,706920
2019-05-08,61.55,62.37,61.07,61.96,674254
2019-05-09,61.96,62.21,60.92,61.87,660448
2019-05-10,61.87,62.49,61.42,61.71,652136
2019-05-12,61.65,61.82,61.26,61.32,13533
2019-05-13,61.32,63.33,60.64,60.94,849432
2019-05-14,60.94,62.11,60.69,61.29,643429
2019-05-15,61.29,62.34,60.85,62.23,576879
2019-05-16,62.24,63.48,62.16,63.17,439041
2019-05-17,63.18,63.64,62.52,62.71,136587
2019-05-19,62.93,63.6,62.93,63.41,2320
2019-05-20,63.41,63.81,62.45,63.3,35989
2019-05-21,63.3,63.6,62.75,63.02,7618
2019-05-22,62.79,62.83,61.03,61.34,672716
2019-05-23,61.35,61.41,57.33,58.19,984461
2019-05-24,58.19,59.1,57.5,59.02,675479
2019-05-26,58.94,59.04,58.67,58.77,9011
2019-05-27,58.77,59.27,58.13,59.16,221349
2019-05-28,59.16,59.57,58.62,58.9,588562
2019-05-29,58.9,59.26,56.88,59.05,829187
2019-05-30,59.05,59.7,55.81,55.89,749934
2019-05-31,55.88,56.24,53.05,53.36,892464
2019-06-02,53.42,53.43,52.11,52.83,31843
2019-06-03,52.83,54.63,52.61,53.11,855946
2019-06-04,53.1,53.78,52.43,53.06,735166
2019-06-05,53.06,53.41,50.6,51.61,841391
2019-06-06,51.61,53.33,51.17,53.26,692592
2019-06-07,53.27,54.32,52.62,54.04,686389
2019-06-09,54.24,54.84,54.22,54.44,13647
2019-06-10,54.43,54.55,53.05,53.32,562997
2019-06-11,53.33,54.04,52.74,52.82,524173
2019-06-12,52.82,52.84,50.72,51.23,645272
2019-06-13,51.23,53.45,50.92,52.07,769625
2019-06-14,52.08,52.98,51.7,52.51,467327
2019-06-16,52.5,52.74,52.26,52.68,6672
2019-06-17,52.68,52.74,51.58,51.86,306571
2019-06-18,51.86,54.31,51.5,54.21,111869
2019-06-19,54.21,54.45,53.28,54.39,37660
2019-06-20,54.41,57.02,54.29,56.88,8419
