date,open,high,low,close,volume
2019-01-02,2517.25,2521.25,2452.25,2474.75,1933580
2019-01-03,2475.0,2493.5,2443.25,2449.5,2172622
2019-01-04,2449.25,2539.25,2438.5,2529.5,2255998
2019-01-06,2537.25,2538.75,2532.5,2538.25,15496
2019-01-07,2538.25,2567.5,2523.25,2550.75,1569867
2019-01-08,2551.0,2581.25,2547.5,2577.25,1622768
2019-01-09,2577.25,2596.75,2569.0,2577.75,1531449
2019-01-10,2577.75,2599.5,2560.5,2590.75,1468623
2019-01-11,2591.0,2597.75,2577.0,2595.5,1141598
2019-01-13,2588.5,2592.0,2583.0,2583.25,16150
2019-01-14,2583.5,2589.75,2567.25,2583.0,1147827
2019-01-15,2583.25,2613.75,2580.25,2611.0,1488958
2019-01-16,2611.0,2626.25,2602.5,2611.75,1270580
2019-01-17,2611.5,2645.5,2596.5,2633.75,1477654
2019-01-18,2633.75,2677.75,2632.75,2677.0,1671803
2019-01-20,2669.25,2673.5,2667.25,2668.25,6612
2019-01-21,2668.25,2669.25,2655.75,2663.25,160584
2019-01-22,2663.25,2666.25,2616.5,2630.75,1686358
2019-01-23,2630.75,2653.75,2612.5,2633.25,1545016
2019-01-24,2633.25,2647.5,2626.0,2638.25,1241349
2019-01-25,2638.25,2672.5,2636.0,2665.5,1320577
2019-01-27,2660.0,2663.5,2657.75,2658.75,8627
2019-01-28,2658.75,2661.0,2622.25,2635.5,1365646
2019-01-29,2635.5,2651.0,2628.5,2644.75,1217026
2019-01-30,2644.75,2689.75,2636.25,2687.5,1506029
2019-01-31,2687.75,2713.0,2675.75,2704.5,1826472
2019-02-01,2704.25,2716.0,2695.5,2704.5,1393032
2019-02-03,2699.25,2704.25,2698.0,2703.0,6730
2019-02-04,2702.75,2725.0,2697.0,2719.5,991192
2019-02-05,2719.75,2737.75,2716.25,2731.5,1193526
2019-02-06,2731.5,2736.5,2722.25,2728.5,1142900
2019-02-07,2728.75,2729.25,2685.5,2697.5,1877424
2019-02-08,2697.5,2709.0,2680.75,2708.0,1503202
2019-02-10,2710.75,2712.75,2706.25,2706.25,13608
2019-02-11,2706.5,2721.5,2700.5,2708.75,1077273
2019-02-12,2708.75,2748.0,2708.25,2747.0,1261951
2019-02-13,2747.0,2762.0,2746.0,2750.5,1176272
2019-02-14,2750.5,2763.0,2730.25,2743.0,1646650
2019-02-15,2743.0,2778.5,2729.0,2777.75,1439314
2019-02-17,2777.0,2782.5,2776.25,2778.75,14265
2019-02-18,2778.5,2780.5,2773.25,2775.75,126571
2019-02-19,2776.0,2787.5,2766.0,2778.5,1017612
2019-02-20,2778.75,2790.75,2773.25,2786.0,1234683
2019-02-21,2785.75,2798.0,2764.25,2774.5,1381306
2019-02-22,2774.5,2795.5,2770.5,2795.25,1128990
2019-02-24,2799.5,2803.5,2797.75,2800.75,21193
2019-02-25,2800.75,2814.0,2791.5,2794.5,1191002
2019-02-26,2794.5,2803.5,2783.25,2788.75,1151516
2019-02-27,2789.0,2797.25,2775.0,2794.75,1107109
2019-02-28,2794.75,2794.75,2781.75,2785.25,1281811
2019-03-01,2785.25,2808.25,2785.0,2807.0,1204827
2019-03-03,2814.0,2819.75,2811.75,2817.5,22815
2019-03-04,2817.5,2818.5,2767.5,2790.75,1695178
2019-03-05,2791.0,2799.0,2783.25,2786.5,1151491
2019-03-06,2786.5,2792.75,2766.25,2768.0,1358066
2019-03-07,2768.0,2776.25,2738.5,2751.25,1555183
2019-03-08,2751.0,2751.5,2722.0,2748.75,860155
2019-03-10,2745.5,2748.25,2742.5,2743.75,10517
2019-03-11,2743.75,2794.0,2736.75,2791.5,409599
2019-03-12,2791.75,2798.25,2780.5,2790.5,280027
2019-03-13,2790.75,2821.25,2783.0,2814.75,238112
2019-03-14,2814.75,2820.0,2803.75,2809.5,149796
2019-03-15,2809.5,2821.5,2809.5,2813.25,21258
2019-03-17,2827.0,2828.75,2825.25,2826.75,9718
2019-03-18,2826.75,2843.5,2824.0,2841.75,999141
2019-03-19,2841.5,2858.75,2829.0,2834.75,1458740
2019-03-20,2834.75,2849.25,2817.25,2829.0,1644519
2019-03-21,2828.75,2866.0,2813.75,2862.0,1622574
2019-03-22,2861.75,2864.75,2805.25,2807.5,2179496
2019-03-24,2813.0,2818.5,2809.0,2811.0,26784
2019-03-25,2811.0,2815.25,2789.5,2810.0,1743018
2019-03-26,2810.0,2835.0,2808.5,2822.75,1433007
2019-03-27,2822.5,2831.75,2791.75,2806.25,1688322
2019-03-28,2806.5,2829.0,2795.0,2827.0,1173676
2019-03-29,2827.0,2840.75,2822.0,2839.5,1414184
2019-03-31,2844.5,2853.75,2844.5,2852.5,25963
2019-04-01,2852.5,2873.5,2852.25,2871.75,1201799
2019-04-02,2871.75,2873.75,2862.25,2867.0,844656
2019-04-03,2867.0,2889.25,2865.25,2878.5,1208716
2019-04-04,2878.5,2885.75,2871.0,2881.25,1028626
2019-04-05,2881.0,2898.0,2880.5,2897.75,1164758
2019-04-07,2896.25,2899.5,2896.0,2898.0,10101
2019-04-08,2897.75,2899.75,2884.25,2897.75,954139
2019-04-09,2897.75,2900.0,2877.25,2881.75,1163520
2019-04-10,2881.75,2898.75,2878.0,2897.5,949901
2019-04-11,2897.25,2900.0,2885.25,2894.75,952223
2019-04-12,2894.75,2914.75,2891.5,2911.75,1148797
2019-04-14,2912.0,2913.75,2910.0,2911.25,11376
2019-04-15,2911.25,2914.5,2900.5,2910.0,914272
2019-04-16,2910.0,2921.25,2904.5,2910.25,1096188
2019-04-17,2910.25,2923.5,2898.5,2903.5,1338743
2019-04-18,2903.5,2911.75,2889.5,2910.5,1282622
2019-04-21,2908.75,2915.75,2907.5,2911.75,11921
2019-04-22,2911.75,2915.0,2899.0,2912.75,679952
2019-04-23,2913.0,2939.75,2908.0,2939.0,1153576
2019-04-24,2938.75,2939.75,2927.75,2932.0,1063255
2019-04-25,2932.25,2935.75,2914.25,2923.0,1354335
