date,open,high,low,close,volume
2019-01-02,1286.0,1286.0,1277.6,1283.7,59
2019-01-03,1286.8,1292.0,1286.7,1292.0,10
2019-01-04,1294.2,1294.2,1275.3,1282.6,31
2019-01-07,1286.6,1286.6,1286.6,1286.6,1
2019-01-08,1280.5,1282.5,1278.2,1282.0,11
2019-01-09,1279.4,1289.3,1279.2,1289.3,9
2019-01-11,1291.2,1291.2,1286.3,1288.1,6
2019-01-14,1292.4,1293.9,1289.9,1290.4,4
2019-01-15,1290.1,1292.7,1290.1,1292.7,3
2019-01-17,1291.6,1292.7,1288.5,1289.9,10
2019-01-18,1281.3,1281.3,1281.3,1281.3,1
2019-01-22,1283.3,1283.3,1283.2,1283.2,2
2019-01-23,1281.7,1283.9,1278.7,1283.2,13
2019-01-24,1278.5,1278.5,1278.5,1278.5,1
2019-01-28,1300.8,1307.1,1298.4,1301.1,40
2019-01-30,1309.5,1323.4,1308.1,1318.7,10660
2019-01-31,1320.0,1325.4,1316.7,1320.3,657
2019-02-01,1320.1,1320.7,1315.4,1317.4,286
2019-02-03,1318.1,1318.1,1316.5,1316.5,4
2019-02-04,1314.4,1314.4,1308.3,1311.1,394
2019-02-05,1311.8,1315.1,1311.0,1314.1,164
2019-02-06,1312.5,1313.5,1305.0,1305.5,79
2019-02-07,1302.9,1310.4,1302.2,1309.5,82
2019-02-08,1307.8,1314.0,1307.8,1313.3,29
2019-02-11,1313.4,1313.4,1304.7,1306.1,30
2019-02-12,1310.0,1312.0,1307.6,1309.6,38
2019-02-13,1311.6,1316.0,1308.1,1308.1,4
2019-02-14,1305.0,1311.8,1301.6,1311.8,15
2019-02-15,1313.6,1318.8,1313.6,1318.8,13
2019-02-17,1320.9,1320.9,1320.9,1320.9,2
2019-02-18,1323.1,1326.1,1320.5,1325.3,60
2019-02-19,1324.2,1340.0,1323.8,1338.7,151
2019-02-20,1342.2,1344.0,1338.0,1338.5,115
2019-02-21,1331.3,1334.9,1320.9,1321.2,72
2019-02-22,1324.2,1331.3,1321.0,1326.7,31
2019-02-25,1329.2,1331.6,1325.6,1326.6,86
2019-02-26,1323.3,1325.5,1323.3,1325.2,6
2019-02-27,1327.9,1327.9,1316.5,1317.7,153
2019-02-28,1321.1,1323.7,1311.5,1312.2,68
2019-03-01,1310.4,1310.4,1288.9,1291.6,45
2019-03-04,1285.5,1287.0,1281.9,1284.7,15
2019-03-05,1287.0,1287.0,1282.0,1284.0,7
2019-03-06,1287.1,1287.1,1282.6,1285.1,13
2019-03-07,1281.0,1284.6,1281.0,1283.7,4
2019-03-08,1292.1,1297.4,1291.6,1297.2,6
2019-03-11,1291.0,1291.0,1288.9,1288.9,2
2019-03-12,1294.7,1294.7,1294.7,1294.7,1
2019-03-15,1300.9,1304.7,1300.5,1300.9,17
2019-03-18,1297.3,1302.2,1297.3,1301.2,6
2019-03-19,1306.9,1306.9,1304.8,1304.8,6
2019-03-20,1300.7,1300.7,1300.7,1300.7,1
