date,open,high,low,close,volume
2025-01-01,1.036,1.036,1.03535,1.0355,7
2025-01-02,1.0352,1.03785,1.0234,1.02685,983
2025-01-03,1.0272,1.031,1.02685,1.03095,201
2025-01-05,1.03065,1.03075,1.03055,1.03075,6
2025-01-06,1.0311,1.0437,1.0311,1.0392,682
2025-01-07,1.0384,1.04325,1.03425,1.03455,469
2025-01-08,1.03515,1.03585,1.0282,1.0316,466
2025-01-09,1.03165,1.032,1.0288,1.03,153
2025-01-10,1.02975,1.0309,1.02185,1.02455,397
2025-01-13,1.0241,1.0242,1.01845,1.02065,169
2025-01-14,1.02735,1.03205,1.02565,1.03165,636
2025-01-15,1.03155,1.03635,1.0277,1.03045,655
2025-01-16,1.03055,1.03245,1.02745,1.0314,321
2025-01-17,1.03145,1.03375,1.02785,1.0283,438
2025-01-19,1.02865,1.02885,1.02865,1.02885,11
2025-01-20,1.0294,1.04425,1.0293,1.0434,673
2025-01-21,1.04355,1.0447,1.03535,1.0417,729
2025-01-22,1.04185,1.0467,1.04125,1.0417,367
2025-01-23,1.042,1.0448,1.0383,1.0426,397
2025-01-24,1.0429,1.05295,1.04275,1.05075,671
2025-01-26,1.04905,1.04905,1.0481,1.04835,10
2025-01-27,1.0481,1.05375,1.044,1.044,273
2025-01-28,1.046,1.04615,1.04245,1.04365,151
2025-01-29,1.044,1.04525,1.03915,1.0425,715
2025-01-30,1.0435,1.04715,1.03955,1.0398,556
2025-01-31,1.04055,1.04405,1.0357,1.0367,1062
2025-02-02,1.02995,1.02995,1.0243,1.0255,88
2025-02-03,1.0252,1.03485,1.022,1.0341,1015
2025-02-04,1.03225,1.0392,1.0283,1.0381,379
2025-02-05,1.03785,1.0444,1.03785,1.0406,221
2025-02-06,1.04055,1.04055,1.0357,1.0393,204
2025-02-07,1.03935,1.04095,1.03125,1.03325,400
2025-02-09,1.03,1.0314,1.0297,1.0314,16
2025-02-10,1.0319,1.0337,1.03025,1.0303,365
2025-02-11,1.03085,1.0378,1.0297,1.0364,78
2025-02-12,1.0358,1.04295,1.0323,1.0391,467
2025-02-13,1.0393,1.04665,1.0387,1.046,446
2025-02-14,1.046,1.05,1.04585,1.04895,80
2025-02-16,1.0505,1.0508,1.04985,1.0502,2060
2025-02-17,1.0503,1.05205,1.0481,1.04985,70059
2025-02-18,1.0499,1.04995,1.04485,1.0461,157010
2025-02-19,1.0461,1.0474,1.0414,1.04325,140734
2025-02-20,1.04325,1.0517,1.04305,1.05115,158228
2025-02-21,1.05115,1.0516,1.04605,1.04725,168995
2025-02-23,1.04835,1.04955,1.04815,1.04845,3447
2025-02-24,1.0485,1.05395,1.04635,1.04715,181961
2025-02-25,1.0471,1.05325,1.04665,1.053,169241
2025-02-26,1.053,1.0539,1.04845,1.0496,196528
2025-02-27,1.0496,1.0505,1.0398,1.04015,235766
2025-02-28,1.0402,1.0428,1.0367,1.0385,228380
2025-03-02,1.04095,1.04285,1.0407,1.042,6663
2025-03-03,1.042,1.0512,1.0396,1.04915,283814
2025-03-04,1.0492,1.0644,1.0478,1.06295,344264
2025-03-05,1.06295,1.0804,1.06085,1.07995,429776
2025-03-06,1.0799,1.0859,1.0771,1.0792,337120
2025-03-07,1.07915,1.0894,1.0786,1.0838,276058
2025-03-09,1.08465,1.08695,1.08425,1.08645,8075
2025-03-10,1.0864,1.08795,1.08095,1.0843,229577
2025-03-11,1.0843,1.09505,1.08395,1.0917,260105
2025-03-12,1.0917,1.09355,1.08785,1.0887,190853
2025-03-13,1.0887,1.08985,1.0824,1.0855,180398
2025-03-14,1.08545,1.0912,1.08315,1.0881,25868
