date,open,high,low,close,volume
2025-01-01,71.85,72.07,71.8,72.06,1311
2025-01-02,72.06,73.73,71.79,73.13,177737
2025-01-03,73.12,74.35,72.7,74.07,154807
2025-01-05,74.05,74.28,73.96,74.18,2613
2025-01-06,74.18,74.99,73.2,73.33,180657
2025-01-07,73.33,74.78,73.11,74.69,150687
2025-01-08,74.68,75.29,73.16,73.23,179553
2025-01-09,73.23,74.32,72.84,74.24,114215
2025-01-10,74.25,77.86,74.02,76.57,280372
2025-01-12,76.54,78.39,76.54,78.06,12395
2025-01-13,78.06,79.27,77.37,78.84,221605
2025-01-14,78.85,79.09,77.41,77.94,176207
2025-01-15,77.94,80.77,77.24,80.38,186851
2025-01-16,80.38,80.59,77.87,78.84,55627
2025-01-17,78.85,79.44,77.76,78.04,16695
2025-01-19,78.19,78.3,78.19,78.29,16
2025-01-20,78.33,78.47,76.3,76.85,1295
2025-01-21,76.89,77.43,75.49,76.09,8089
2025-01-22,75.74,76.45,75.19,75.22,182326
2025-01-23,75.23,76.0,74.14,74.26,217564
2025-01-24,74.25,75.21,74.01,74.6,181452
2025-01-26,74.54,74.6,74.1,74.16,2979
2025-01-27,74.16,75.15,72.38,73.11,218727
2025-01-28,73.11,74.31,72.93,73.85,195271
2025-01-29,73.85,74.08,72.33,72.91,188431
2025-01-30,72.92,73.84,72.02,73.15,193662
2025-01-31,73.15,73.84,71.94,73.81,238862
2025-02-02,74.14,75.18,73.82,74.0,16027
2025-02-03,74.02,74.78,72.05,72.43,292782
2025-02-04,72.44,73.35,70.67,72.59,293535
2025-02-05,72.6,72.97,70.96,71.23,181802
2025-02-06,71.24,71.85,70.43,70.54,189551
2025-02-07,70.53,71.41,70.51,71.06,139449
2025-02-09,71.0,71.18,70.84,71.15,2399
2025-02-10,71.15,72.54,71.15,72.42,139534
2025-02-11,72.42,73.68,72.31,73.14,141675
2025-02-12,73.14,73.22,71.17,71.21,181768
2025-02-13,71.2,71.6,70.22,71.4,135228
2025-02-14,71.41,72.02,70.52,70.57,109683
2025-02-16,70.7,70.72,70.12,70.3,2694
2025-02-17,70.3,71.5,70.27,71.26,21277
2025-02-18,71.26,72.07,70.89,71.76,24803
2025-02-19,71.78,73.04,71.73,72.18,8173
2025-02-20,71.96,73.25,71.85,72.53,8899
2025-02-21,72.69,72.76,70.17,70.25,186285
2025-02-23,69.8,70.47,69.8,70.38,4835
2025-02-24,70.38,70.99,70.01,70.84,129958
2025-02-25,70.85,71.26,68.68,69.09,176641
2025-02-26,69.09,69.28,68.36,68.8,160363
2025-02-27,68.8,70.54,68.61,70.17,165908
2025-02-28,70.17,70.29,69.14,69.95,156749
2025-03-02,69.95,70.24,69.86,70.19,2121
2025-03-03,70.17,70.6,67.89,68.29,215909
2025-03-04,68.3,68.56,66.77,67.89,211347
2025-03-05,67.89,68.1,65.22,66.47,239644
2025-03-06,66.46,67.09,65.59,66.33,193875
2025-03-07,66.32,68.22,66.12,67.05,205151
2025-03-09,67.11,67.34,66.5,66.54,3834
2025-03-10,66.54,67.6,65.66,65.75,142732
2025-03-11,65.76,67.17,65.29,66.65,131326
2025-03-12,66.66,67.88,66.15,67.67,140687
2025-03-13,67.66,67.94,66.37,66.83,138145
2025-03-14,66.8,67.48,66.59,67.19,90025
2025-03-16,67.35,67.81,67.29,67.68,3757
2025-03-17,67.68,68.37,67.25,67.4,73268
2025-03-18,67.4,68.72,66.56,66.81,33534
2025-03-19,66.83,67.63,66.21,67.31,8949
2025-03-20,67.46,68.47,66.88,68.3,8316
2025-03-21,68.55,68.61,67.65,68.29,114107
2025-03-23,68.35,68.44,68.16,68.41,2156
2025-03-24,68.43,69.33,67.95,69.16,143720
2025-03-25,69.16,69.68,68.52,69.29,147019
2025-03-26,69.29,70.22,69.06,69.73,152586
2025-03-27,69.72,69.97,69.12,69.88,122566
2025-03-28,69.88,70.09,68.87,69.04,148392
2025-03-30,69.43,69.72,69.22,69.48,5465
2025-03-31,69.48,71.83,68.81,71.38,198064
2025-04-01,71.39,72.1,71.03,71.26,152128
2025-04-02,71.26,72.28,69.27,69.37,179120
2025-04-03,69.36,70.15,65.98,66.75,289830
2025-04-04,66.76,66.9,60.45,62.32,393932
2025-04-06,61.12,61.18,59.55,59.83,17906
2025-04-07,59.82,63.9,58.95,61.25,397580
2025-04-08,61.24,61.75,57.22,57.6,306831
2025-04-09,57.59,63.34,55.12,62.94,415150
2025-04-10,62.94,63.09,58.76,59.8,253659
2025-04-11,59.82,61.87,59.43,61.48,174674
2025-04-13,61.7,62.16,61.08,61.3,4686
2025-04-14,61.31,62.68,60.59,61.61,119584
2025-04-15,61.61,62.06,60.88,61.47,91022
2025-04-16,61.46,63.06,60.44,62.96,108185
2025-04-17,62.95,64.86,62.67,64.45,30137
2025-04-20,64.3,64.42,63.68,63.79,725
2025-04-21,63.84,64.09,62.45,63.59,6209
2025-04-22,63.82,65.09,63.46,64.2,8180
2025-04-23,64.26,64.87,61.53,62.3,237950
2025-04-24,62.29,63.31,61.99,62.82,142664
2025-04-25,62.84,63.41,61.8,63.17,140808
2025-04-27,63.49,63.92,63.05,63.11,6914
2025-04-28,63.11,63.53,61.48,62.01,142183
2025-04-29,62.01,62.07,60.12,60.28,164760
2025-04-30,60.28,60.43,57.91,58.36,271272
2025-05-01,58.37,59.5,56.39,58.92,244360
2025-05-02,58.92,59.87,57.74,58.38,195372
2025-05-04,56.76,56.78,55.3,55.93,24627
2025-05-05,55.92,57.7,55.8,57.15,158207
2025-05-06,57.14,59.84,57.03,59.57,203685
2025-05-07,59.56,60.26,57.74,58.07,158668
2025-05-08,58.09,60.29,57.99,60.13,157041
2025-05-09,60.14,61.45,59.89,61.06,130785
2025-05-11,61.39,61.52,61.15,61.33,5170
2025-05-12,61.33,63.61,61.02,61.95,164940
2025-05-13,61.95,63.9,61.65,63.66,129803
2025-05-14,63.66,63.67,61.86,62.19,112533
2025-05-15,62.19,62.37,60.47,61.82,132766
2025-05-16,61.82,62.71,61.25,62.49,29855
2025-05-18,62.75,63.0,61.77,62.64,753
2025-05-19,62.57,63.4,61.57,62.75,11309
2025-05-20,62.85,63.17,62.19,62.62,9307
2025-05-21,63.0,63.29,61.19,61.34,160412
2025-05-22,61.35,61.75,60.25,60.79,154204
2025-05-23,60.78,61.88,60.02,61.76,162145
2025-05-25,61.7,62.14,61.58,61.92,3747
2025-05-26,61.92,62.03,61.24,61.48,35268
2025-05-27,61.48,61.89,60.26,61.22,145343
2025-05-28,61.22,62.54,60.85,62.25,160876
2025-05-29,62.24,63.07,60.55,60.84,167077
2025-05-30,60.85,61.72,59.74,60.79,199402
2025-06-01,61.11,62.31,61.06,62.02,11288
2025-06-02,62.03,63.88,61.96,63.09,227681
2025-06-03,63.09,63.89,62.4,63.3,160542
2025-06-04,63.3,63.96,62.17,62.64,187873
2025-06-05,62.63,63.98,62.5,63.22,130485
2025-06-06,63.23,64.8,62.82,64.77,164586
2025-06-08,64.8,64.86,64.54,64.62,3218
2025-06-09,64.61,65.46,64.2,65.36,129810
2025-06-10,65.37,66.28,64.57,64.79,145944
2025-06-11,64.8,69.29,64.6,68.58,217688
2025-06-12,68.55,69.54,66.72,69.32,206283
2025-06-13,69.35,77.62,69.02,73.18,461989
2025-06-15,76.54,77.49,74.23,74.33,21126
2025-06-16,74.36,74.38,69.38,73.36,229478
2025-06-17,73.32,75.69,71.16,75.28,48795
2025-06-18,75.3,76.07,72.94,75.11,22225
2025-06-19,75.1,77.58,74.47,75.45,1778
2025-06-20,75.87,76.02,74.3,75.0,12252
2025-06-22,78.0,78.4,75.22,75.77,42696
2025-06-23,75.76,76.16,64.38,65.82,489383
2025-06-24,65.83,67.19,64.0,65.13,353213
2025-06-25,65.13,66.03,64.51,65.05,177113
2025-06-26,65.06,66.42,64.66,65.4,152716
2025-06-27,65.4,66.09,64.8,65.07,128945
2025-06-29,65.15,65.21,64.73,64.82,3663
2025-06-30,64.82,65.82,64.5,64.92,108673
2025-07-01,64.92,65.98,64.67,65.41,112013
2025-07-02,65.41,67.58,65.23,67.22,161372
2025-07-03,67.23,67.58,66.53,67.14,124120
2025-07-04,67.13,67.17,66.04,66.5,44909
2025-07-06,65.7,66.18,65.4,65.92,7036
2025-07-07,65.91,68.32,65.53,67.79,156251
2025-07-08,67.77,68.91,67.33,68.06,120014
2025-07-09,68.06,68.94,67.7,68.18,111115
2025-07-10,68.18,68.65,66.45,66.81,139893
2025-07-11,66.82,68.77,66.5,68.75,118408
2025-07-13,68.68,68.95,68.46,68.56,2809
2025-07-14,68.57,69.65,66.8,66.94,133562
2025-07-15,66.93,67.13,66.22,66.87,110657
2025-07-16,66.86,67.01,65.42,66.69,113480
2025-07-17,66.7,67.69,66.29,67.55,77118
2025-07-18,67.55,68.96,67.2,67.3,26888
2025-07-20,67.32,67.57,67.24,67.43,482
2025-07-21,67.42,67.76,66.46,67.13,8491
2025-07-22,67.1,67.1,65.99,66.36,5809
2025-07-23,65.63,65.78,64.71,65.45,123152
2025-07-24,65.46,66.39,65.33,66.23,149853
2025-07-25,66.22,66.74,65.0,65.07,121872
2025-07-27,65.15,65.35,65.05,65.29,1998
2025-07-28,65.3,67.14,65.26,66.97,156875
2025-07-29,66.97,69.76,66.53,69.18,180702
2025-07-30,69.17,70.51,68.45,70.39,189599
2025-07-31,70.38,70.41,68.56,69.37,140216
2025-08-01,69.38,69.58,67.05,67.26,186418
2025-08-03,66.85,67.11,66.56,66.97,3761
2025-08-04,66.97,67.74,65.46,66.3,159808
2025-08-05,66.31,66.39,65.03,65.27,149551
2025-08-06,65.27,66.75,63.64,64.38,225606
2025-08-07,64.39,65.11,63.7,63.83,156459
2025-08-08,63.83,64.58,62.77,63.35,178118
2025-08-10,63.48,63.7,63.15,63.44,2417
2025-08-11,63.43,64.44,63.02,64.1,112098
2025-08-12,64.1,64.34,62.82,63.16,126465
2025-08-13,63.16,63.38,61.94,62.79,132717
2025-08-14,62.78,64.1,62.58,63.94,106847
2025-08-15,63.94,64.15,62.68,63.14,83362
2025-08-17,63.0,63.06,62.46,62.57,1018
2025-08-18,62.58,63.79,62.18,63.36,18942
2025-08-19,63.37,63.37,62.25,62.6,11563
2025-08-20,62.69,63.55,62.39,63.14,8184
2025-08-21,62.87,63.67,62.52,63.48,135138
2025-08-22,63.48,63.93,63.31,63.77,132936
2025-08-24,63.88,63.89,63.72,63.74,969
2025-08-25,63.75,65.1,63.53,64.71,113654
2025-08-26,64.71,64.72,63.13,63.42,125562
2025-08-27,63.44,64.23,62.95,63.8,113753
2025-08-28,63.82,64.7,63.35,64.2,116433
2025-08-29,64.21,64.55,63.88,64.01,106561
2025-08-31,63.95,64.04,63.9,63.96,801
2025-09-01,63.95,64.88,63.66,64.64,45764
2025-09-02,64.64,66.03,64.5,65.58,165349
2025-09-03,65.59,65.72,63.72,63.78,177176
2025-09-04,63.79,63.79,62.72,63.3,144235
2025-09-05,63.31,63.49,61.45,61.97,180789
2025-09-07,62.0,62.39,61.85,62.22,5542
2025-09-08,62.22,63.34,61.95,62.45,128263
2025-09-09,62.45,63.67,62.37,63.02,143213
2025-09-10,63.04,64.08,62.92,63.75,139473
2025-09-11,63.76,63.79,62.18,62.2,128092
2025-09-12,62.2,63.98,61.69,62.6,180420
2025-09-14,62.97,63.0,62.52,62.68,2044
2025-09-15,62.67,63.67,62.66,63.32,90248
2025-09-16,63.32,64.76,62.89,64.63,127189
2025-09-17,64.62,64.64,63.69,64.1,88819
2025-09-18,64.09,64.55,63.33,63.52,23273
