date,open,high,low,close,volume
2025-01-01,5949.25,5955.5,5933.5,5939.25,15385
2025-01-02,5939.25,5995.25,5874.75,5914.75,1714061
2025-01-03,5914.5,5996.75,5913.25,5985.25,1137383
2025-01-05,5994.5,5996.0,5986.0,5990.75,8159
2025-01-06,5991.0,6068.25,5980.75,6025.75,1457592
2025-01-07,6025.5,6045.5,5935.0,5958.25,1687118
2025-01-08,5958.0,5975.0,5917.0,5949.25,1697190
2025-01-09,5949.5,5957.0,5926.25,5930.5,122770
2025-01-10,5930.75,5959.25,5845.25,5861.5,1991390
2025-01-12,5864.5,5867.5,5848.0,5860.0,18210
2025-01-13,5859.75,5901.25,5809.0,5892.5,1696271
2025-01-14,5892.25,5918.5,5842.5,5886.5,1770022
2025-01-15,5886.5,6001.25,5879.5,5994.25,1556673
2025-01-16,5994.25,6017.5,5961.75,5974.5,1509025
2025-01-17,5974.25,6051.5,5972.0,6032.5,1318686
2025-01-19,6032.25,6038.5,6020.0,6023.5,10125
2025-01-20,6023.5,6078.25,6018.0,6068.0,275904
2025-01-21,6068.25,6099.25,5994.5,6096.5,1374556
2025-01-22,6096.5,6135.75,6095.25,6116.0,1152516
2025-01-23,6116.25,6154.0,6101.5,6148.0,1062086
2025-01-24,6148.0,6162.25,6122.0,6132.0,1180705
2025-01-26,6102.25,6105.25,6099.0,6103.25,30882
2025-01-27,6103.25,6104.0,5948.0,6052.5,2283205
2025-01-28,6052.5,6105.5,6023.5,6087.75,1503399
2025-01-29,6087.75,6111.5,6042.25,6068.75,1508717
2025-01-30,6068.75,6116.25,6056.5,6109.25,1537576
2025-01-31,6109.25,6147.75,6057.75,6065.5,1753527
2025-02-02,5982.25,5982.5,5942.0,5968.0,89581
2025-02-03,5967.75,6069.0,5935.5,6057.0,2161300
2025-02-04,6056.75,6068.75,5987.0,6042.25,1270321
2025-02-05,6042.5,6092.0,6020.25,6090.0,1141686
2025-02-06,6090.0,6108.5,6070.0,6100.25,1113634
2025-02-07,6100.25,6123.25,6041.25,6050.0,1606224
2025-02-09,6016.0,6061.25,6014.0,6059.5,29048
2025-02-10,6059.5,6096.0,6057.25,6077.0,943862
2025-02-11,6077.0,6098.75,6057.75,6092.75,981306
2025-02-12,6092.5,6098.0,6020.75,6084.0,1482958
2025-02-13,6084.0,6138.0,6053.5,6133.75,1445892
2025-02-14,6134.0,6146.75,6121.25,6134.0,956312
2025-02-16,6138.25,6139.5,6131.0,6134.75,6826
2025-02-17,6134.5,6147.25,6133.0,6141.5,97570
2025-02-18,6141.25,6157.75,6118.25,6149.5,1048416
2025-02-19,6149.5,6166.5,6129.25,6155.25,1026652
2025-02-20,6155.0,6157.5,6102.75,6137.5,1337524
2025-02-21,6137.25,6142.5,6024.5,6029.75,1821723
2025-02-23,6040.75,6052.5,6034.0,6050.25,24236
2025-02-24,6050.5,6067.5,5994.5,5999.0,1725281
2025-02-25,5999.25,6016.0,5924.0,5985.5,2141454
2025-02-26,5985.5,6023.75,5945.5,5978.5,1862312
2025-02-27,5978.25,6014.5,5873.0,5887.5,2497425
2025-02-28,5887.5,5971.0,5848.0,5958.0,2651577
2025-03-02,5967.5,5984.5,5964.25,5974.25,24096
2025-03-03,5974.5,6000.5,5821.75,5870.25,2516679
2025-03-04,5870.25,5884.0,5744.0,5834.0,3233493
2025-03-05,5834.25,5869.5,5750.75,5845.25,2208818
2025-03-06,5845.0,5850.0,5720.0,5764.75,2473309
2025-03-07,5765.0,5791.0,5673.0,5771.75,2223173
2025-03-09,5753.0,5756.25,5710.5,5733.25,53719
2025-03-10,5733.5,5757.75,5571.5,5602.0,2437157
2025-03-11,5602.25,5651.75,5534.0,5593.5,2461297
2025-03-12,5593.5,5675.0,5550.25,5620.5,1848451
2025-03-13,5620.5,5623.0,5509.25,5552.75,1886230
2025-03-14,5553.0,5648.75,5547.5,5628.75,1527708
2025-03-16,5626.75,5632.0,5602.5,5608.5,30078
2025-03-17,5608.75,5707.5,5599.0,5679.5,723022
2025-03-18,5679.75,5683.25,5600.0,5621.25,412431
2025-03-19,5621.25,5718.5,5606.25,5696.25,285688
2025-03-20,5696.0,5714.25,5631.5,5665.0,184424
2025-03-21,5664.75,5674.25,5597.5,5615.0,13451
2025-03-23,5740.0,5754.5,5739.0,5752.5,34273
2025-03-24,5752.5,5825.5,5750.75,5811.5,1313485
2025-03-25,5811.75,5837.25,5802.25,5832.75,1015486
2025-03-26,5832.5,5836.5,5730.0,5747.25,1436530
2025-03-27,5747.25,5779.75,5720.0,5736.0,1488615
2025-03-28,5736.0,5747.75,5602.25,5602.5,1814650
2025-03-30,5590.0,5600.0,5580.25,5593.0,44957
2025-03-31,5592.75,5672.75,5533.75,5635.75,2080504
2025-04-01,5635.5,5695.75,5600.25,5682.75,1802655
2025-04-02,5682.75,5773.25,5481.0,5512.0,2071140
2025-04-03,5512.25,5564.75,5407.5,5422.25,2271412
2025-04-04,5422.5,5435.0,5074.0,5096.75,3416811
2025-04-06,5007.0,5007.0,4832.0,4913.75,166223
2025-04-07,4914.25,5286.5,4842.5,5148.25,3367201
2025-04-08,5148.0,5305.25,4927.25,4956.75,2347788
2025-04-09,4956.5,5528.75,4871.75,5514.75,2846541
2025-04-10,5514.25,5518.0,5146.75,5274.5,2380002
2025-04-11,5274.25,5418.25,5206.0,5395.75,1640161
2025-04-13,5452.5,5474.75,5410.0,5429.75,41164
2025-04-14,5430.0,5497.75,5391.0,5421.5,1215822
2025-04-15,5421.25,5485.0,5375.0,5386.25,1117691
2025-04-16,5386.25,5425.0,5251.0,5307.75,1481978
2025-04-17,5307.75,5371.25,5285.5,5326.5,1275548
2025-04-20,5283.75,5306.75,5279.0,5293.0,18404
2025-04-21,5292.75,5303.25,5127.25,5205.25,1137301
2025-04-22,5205.5,5424.0,5198.0,5412.5,1553356
2025-04-23,5412.75,5499.75,5378.0,5412.0,1696676
2025-04-24,5411.75,5541.5,5355.25,5528.25,1346417
2025-04-25,5528.25,5562.25,5480.25,5552.5,1250235
2025-04-27,5544.0,5547.5,5527.0,5530.75,15099
2025-04-28,5531.0,5578.75,5492.0,5555.25,1128575
2025-04-29,5555.0,5597.25,5521.5,5571.5,1164602
2025-04-30,5571.5,5639.25,5455.5,5634.25,1732258
2025-05-01,5634.5,5682.5,5601.0,5611.75,1290358
2025-05-02,5611.75,5724.75,5605.5,5710.5,1301859
2025-05-04,5705.0,5705.25,5671.0,5678.0,18489
2025-05-05,5678.25,5706.25,5655.25,5666.5,941889
2025-05-06,5666.5,5689.75,5605.0,5671.75,1289441
2025-05-07,5671.5,5681.5,5596.0,5645.75,1286509
2025-05-08,5646.0,5741.0,5641.25,5679.5,1354857
2025-05-09,5679.0,5715.25,5662.5,5684.0,972791
2025-05-11,5761.0,5768.5,5734.25,5745.75,39919
2025-05-12,5745.5,5876.25,5743.5,5856.75,1643390
2025-05-13,5856.75,5927.0,5835.75,5907.75,1261275
2025-05-14,5907.5,5925.0,5890.0,5896.75,1142944
2025-05-15,5896.5,5944.5,5867.0,5936.0,1219819
2025-05-16,5936.0,5977.5,5923.0,5948.5,1065834
2025-05-18,5930.25,5948.0,5920.0,5940.5,23889
2025-05-19,5940.75,5993.5,5892.75,5987.25,1179552
2025-05-20,5987.0,5991.0,5926.75,5955.0,1058501
2025-05-21,5955.0,5958.25,5847.75,5860.5,1468313
2025-05-22,5860.75,5895.0,5828.75,5859.5,1353317
2025-05-23,5859.75,5871.5,5756.5,5814.75,1448161
2025-05-25,5820.0,5876.75,5813.0,5865.5,29737
2025-05-26,5865.5,5895.0,5861.5,5879.0,120008
2025-05-27,5879.0,5941.75,5862.5,5937.5,1085637
2025-05-28,5937.25,5997.5,5890.0,5991.75,1185350
2025-05-29,5992.0,6008.0,5884.0,5904.5,1314153
2025-05-30,5904.5,5932.75,5853.25,5913.75,1534039
2025-06-01,5898.75,5909.25,5893.25,5898.75,15850
2025-06-02,5899.0,5955.5,5867.5,5935.0,1149242
2025-06-03,5935.25,5991.25,5909.25,5983.5,1101779
2025-06-04,5983.5,5999.0,5972.25,5974.0,1047402
2025-06-05,5974.25,6016.5,5928.75,5947.0,1518432
2025-06-06,5946.75,6025.0,5946.75,6010.0,1197561
2025-06-08,6010.0,6015.75,5995.0,6003.0,14568
2025-06-09,6003.25,6027.75,5992.25,6013.5,821394
2025-06-10,6013.5,6052.25,5991.25,6041.5,1013167
2025-06-11,6041.5,6074.75,6006.25,6018.5,1467356
2025-06-12,6018.75,6051.25,5987.75,6014.5,1143708
2025-06-13,6014.5,6029.75,5927.5,5978.25,1499392
2025-06-15,5949.0,5990.5,5944.0,5988.25,24087
2025-06-16,5988.0,6055.25,5982.75,5999.25,537189
2025-06-17,5999.25,6027.0,5964.75,5971.0,263404
2025-06-18,5971.25,6020.75,5971.0,5981.0,184155
2025-06-19,5981.5,5981.75,5918.25,5964.0,27665
2025-06-20,5965.25,6019.25,5955.0,6009.25,10420
2025-06-22,5964.0,6007.75,5959.0,5999.25,42569
2025-06-23,5999.25,6113.0,5989.0,6108.5,1292867
2025-06-24,6109.0,6155.25,6099.25,6146.0,973972
2025-06-25,6146.25,6160.25,6130.75,6146.5,858516
2025-06-26,6146.75,6205.25,6144.5,6196.5,965443
2025-06-27,6196.75,6239.0,6183.25,6220.75,1254063
2025-06-29,6223.25,6245.0,6223.25,6238.0,24661
2025-06-30,6238.0,6265.5,6224.25,6250.0,1238704
2025-07-01,6250.25,6261.5,6227.25,6252.0,1261367
2025-07-02,6252.0,6279.5,6235.5,6277.5,982852
2025-07-03,6277.5,6333.25,6270.5,6315.25,682175
2025-07-04,6315.25,6318.5,6276.5,6283.5,113116
2025-07-06,6307.75,6313.0,6295.5,6301.25,18116
2025-07-07,6301.25,6315.0,6246.25,6268.25,1189729
2025-07-08,6268.25,6289.0,6262.5,6270.5,1023168
2025-07-09,6270.25,6315.25,6260.0,6303.5,1093868
2025-07-10,6303.25,6335.5,6287.5,6329.75,888248
2025-07-11,6329.75,6329.75,6276.75,6294.0,1040059
2025-07-13,6274.0,6280.5,6263.0,6275.5,27334
2025-07-14,6275.5,6315.0,6259.75,6304.0,859239
2025-07-15,6304.0,6343.0,6264.25,6272.5,1237724
2025-07-16,6272.5,6308.75,6241.0,6293.0,1405088
2025-07-17,6293.25,6350.75,6288.25,6349.25,981689
2025-07-18,6349.25,6357.0,6323.25,6335.25,967630
2025-07-20,6335.75,6343.0,6329.75,6342.75,10819
2025-07-21,6342.75,6374.0,6338.75,6348.25,888003
2025-07-22,6348.0,6364.25,6318.75,6362.0,1105579
2025-07-23,6362.0,6407.25,6349.0,6404.0,1139688
