date,open,high,low,close,volume
2025-01-02,2633.0,2663.1,2633.0,2660.9,12
2025-01-03,2658.7,2658.7,2641.8,2642.9,29
2025-01-05,2645.5,2645.5,2645.5,2645.5,1
2025-01-06,2632.8,2647.0,2617.3,2637.8,130
2025-01-07,2653.4,2657.5,2653.0,2655.5,11
2025-01-08,2653.6,2676.9,2653.5,2672.3,111
2025-01-09,2669.7,2686.3,2667.9,2685.3,208
2025-01-10,2687.0,2720.1,2683.7,2717.2,39
2025-01-12,2711.1,2711.2,2710.7,2710.8,14
2025-01-13,2709.5,2709.5,2680.0,2680.0,248
2025-01-14,2673.6,2688.3,2670.8,2688.3,229
2025-01-15,2690.8,2707.6,2690.8,2707.6,210
2025-01-16,2731.7,2749.8,2731.7,2749.8,64
2025-01-17,2736.0,2751.6,2725.5,2751.6,49
2025-01-20,2746.0,2746.9,2724.8,2730.3,51
2025-01-21,2735.5,2754.5,2726.0,2753.5,391
2025-01-22,2757.4,2768.8,2757.4,2759.5,518
2025-01-23,2760.0,2765.0,2745.4,2759.8,666
2025-01-24,2760.7,2792.0,2760.7,2781.6,511
2025-01-27,2761.1,2762.2,2740.0,2740.0,8
2025-01-28,2738.0,2760.6,2738.0,2758.9,247
2025-01-30,2773.7,2829.5,2770.0,2829.0,8867
2025-01-31,2836.0,2838.0,2804.0,2809.3,1600
2025-02-02,2818.2,2820.8,2802.0,2805.9,86
2025-02-03,2815.4,2848.4,2780.9,2825.1,1717
2025-02-04,2826.0,2853.1,2816.1,2850.8,966
2025-02-05,2853.0,2880.5,2848.0,2865.0,2261
2025-02-06,2865.0,2871.7,2836.3,2862.0,1324
2025-02-07,2861.6,2889.5,2857.8,2866.4,844
2025-02-09,2864.2,2872.2,2863.8,2871.4,24
2025-02-10,2873.9,2925.5,2873.9,2922.7,409
2025-02-11,2926.4,2945.4,2890.0,2907.1,711
2025-02-12,2902.0,2912.3,2868.6,2910.6,363
2025-02-13,2911.9,2937.7,2911.9,2937.0,545
2025-02-14,2937.3,2944.4,2874.8,2878.2,688
2025-02-16,2879.2,2882.6,2873.8,2873.8,51
2025-02-17,2879.8,2898.7,2879.8,2894.7,316
2025-02-18,2892.5,2936.4,2892.5,2936.4,109
2025-02-19,2938.7,2946.0,2917.1,2924.5,343
2025-02-20,2949.1,2955.8,2924.2,2943.8,196
2025-02-21,2938.8,2940.0,2917.3,2931.0,294
2025-02-24,2933.1,2957.9,2933.1,2949.2,295
2025-02-25,2938.7,2943.2,2890.0,2915.6,533
2025-02-26,2913.5,2917.0,2913.0,2914.1,239
2025-02-27,2920.4,2920.4,2870.4,2873.1,702
2025-02-28,2877.1,2877.1,2834.1,2847.9,168
2025-03-02,2872.7,2872.7,2871.3,2871.3,2
2025-03-03,2871.0,2891.8,2863.4,2888.0,154
2025-03-04,2886.1,2927.9,2886.1,2916.5,270
2025-03-05,2919.5,2922.0,2893.0,2913.0,445
2025-03-06,2904.0,2918.6,2903.8,2909.0,63
2025-03-07,2900.9,2927.3,2900.5,2910.6,67
2025-03-09,2910.1,2910.1,2910.1,2910.1,1
2025-03-10,2915.1,2915.1,2880.2,2880.6,45
2025-03-11,2882.3,2916.7,2882.0,2916.5,132
2025-03-12,2912.0,2939.3,2910.0,2937.6,471
2025-03-13,2945.4,2988.0,2941.8,2983.5,59
2025-03-14,2994.4,3004.8,2986.0,2990.0,655
2025-03-17,2991.0,3001.5,2989.0,3001.5,129
2025-03-18,3006.4,3039.2,3004.4,3035.2,252
2025-03-19,3032.0,3050.9,3030.9,3050.9,78
2025-03-20,3047.3,3047.3,3034.4,3040.6,30
2025-03-21,3034.5,3037.5,3000.9,3025.5,37
2025-03-24,3024.3,3024.3,3006.0,3006.0,20
2025-03-25,3026.4,3028.8,3024.0,3024.0,12
2025-03-26,3033.2,3033.2,3019.5,3019.5,16
2025-03-27,3025.5,3065.0,3025.5,3064.5,5
2025-03-28,3068.8,3094.9,3068.6,3090.0,8682
2025-03-30,3091.0,3100.2,3091.0,3095.6,60
2025-03-31,3093.3,3132.6,3086.0,3132.2,870
2025-04-01,3132.5,3149.5,3104.0,3117.4,782
2025-04-02,3123.0,3168.6,3122.0,3163.5,1250
2025-04-03,3162.8,3164.7,3052.0,3110.0,2282
2025-04-04,3104.7,3127.7,3011.0,3035.6,1429
2025-04-06,3016.4,3024.4,2972.8,2983.1,73
2025-04-07,2965.0,3050.8,2949.7,2968.0,1701
2025-04-08,2994.0,3014.5,2965.8,2965.8,505
2025-04-09,3010.8,3090.4,3010.8,3072.2,335
2025-04-10,3118.4,3182.1,3103.3,3182.1,57
2025-04-11,3186.7,3235.0,3183.4,3233.0,230
2025-04-13,3215.5,3215.5,3215.5,3215.5,1
2025-04-14,3228.8,3228.8,3194.5,3195.0,121
2025-04-15,3216.0,3238.3,3214.0,3238.3,4
2025-04-16,3254.8,3345.0,3252.9,3345.0,101
2025-04-17,3324.1,3326.6,3287.8,3323.1,68
2025-04-20,3342.2,3342.2,3342.2,3342.2,1
2025-04-21,3375.3,3430.1,3366.9,3427.1,58
2025-04-22,3465.4,3485.6,3315.3,3324.8,223
2025-04-23,3328.2,3370.3,3256.2,3304.9,72
2025-04-24,3324.8,3355.5,3306.1,3355.3,70
2025-04-25,3300.4,3300.4,3266.1,3272.2,16
2025-04-28,3284.5,3284.5,3284.5,3284.5,2
2025-04-29,3329.0,3333.0,3299.9,3314.5,90
2025-04-30,3318.7,3318.7,3267.8,3270.7,161
2025-05-01,3250.5,3250.5,3198.6,3231.0,87
2025-05-02,3239.9,3257.0,3225.0,3225.0,27
2025-05-04,3242.7,3242.8,3242.6,3242.8,4
2025-05-05,3242.3,3315.7,3239.7,3310.1,58
2025-05-06,3365.5,3430.9,3356.8,3392.5,205
2025-05-07,3391.5,3391.5,3364.7,3364.7,28
2025-05-08,3390.0,3390.0,3288.7,3302.1,29
2025-05-09,3299.0,3335.5,3299.0,3326.3,103
2025-05-11,3300.7,3300.7,3273.0,3286.0,12
2025-05-12,3266.5,3274.2,3205.0,3232.0,318
2025-05-13,3247.5,3251.4,3223.5,3251.4,21
2025-05-14,3233.0,3233.0,3171.7,3171.7,155
2025-05-15,3151.0,3228.1,3125.0,3228.1,146
2025-05-16,3227.7,3228.1,3173.9,3191.8,183
2025-05-19,3234.4,3241.0,3228.3,3230.6,8
2025-05-20,3219.0,3293.4,3207.5,3290.2,178
2025-05-21,3309.1,3317.5,3297.5,3311.4,298
2025-05-22,3327.3,3328.0,3282.7,3290.0,47
2025-05-23,3328.0,3355.9,3323.5,3351.0,45
2025-05-26,3332.5,3341.0,3332.5,3341.0,22
2025-05-27,3321.0,3323.5,3296.3,3298.0,106
2025-05-29,3255.3,3328.8,3242.4,3311.5,6403
2025-05-30,3311.2,3318.0,3270.9,3289.4,1232
2025-06-01,3296.9,3312.0,3296.9,3309.5,57
2025-06-02,3308.3,3390.0,3301.6,3385.0,670
2025-06-03,3364.1,3374.8,3331.3,3350.0,1116
2025-06-04,3355.0,3380.0,3344.0,3372.7,129
2025-06-05,3366.2,3400.0,3343.7,3352.2,324
