date,open,high,low,close,volume
2019-01-02,95.95,99.78,95.94,99.31,15670850
2019-01-03,98.64,98.89,96.69,97.11,16286426
2019-01-04,99.11,100.93,98.28,100.69,16935205
2019-01-07,100.43,101.47,99.71,100.76,15430712
2019-01-08,101.63,101.82,99.55,100.57,13578777
2019-01-09,100.81,101.49,99.93,100.4,14230331
2019-01-10,100.02,100.73,99.27,100.39,14376430
2019-01-11,99.89,100.17,98.95,99.91,15439850
2019-01-14,98.87,101.36,98.66,100.94,21258458
2019-01-15,98.89,102.47,98.6,101.68,26504852
2019-01-16,102.25,103.45,101.8,102.5,18532952
2019-01-17,102.11,103.5,101.92,102.92,14247564
2019-01-18,103.77,104.9,102.83,104.59,16428710
2019-01-22,103.08,103.59,102.13,102.94,17083681
2019-01-23,103.44,103.7,101.97,102.68,12146678
2019-01-24,102.13,103.09,101.94,102.74,11296764
2019-01-25,103.51,104.31,102.74,103.39,14412559
2019-01-28,102.89,104.24,102.59,103.88,12283089
2019-01-29,103.88,105.11,103.73,104.17,9743271
2019-01-30,104.14,105.24,103.78,104.41,12526274
2019-01-31,103.41,103.8,102.73,103.5,17520551
2019-02-01,104.0,104.85,103.52,103.88,13000780
2019-02-04,103.79,104.25,103.01,104.25,9871549
2019-02-05,104.52,104.55,103.29,103.79,12762982
2019-02-06,103.71,104.62,103.47,103.74,8744957
2019-02-07,103.25,103.5,101.44,102.38,13177489
2019-02-08,102.08,102.34,100.06,101.36,12892562
2019-02-11,101.76,102.01,100.77,100.88,10978516
2019-02-12,101.95,102.92,101.89,102.6,12852252
2019-02-13,102.9,103.85,102.9,103.09,10754061
2019-02-14,102.47,103.1,101.35,102.42,11518530
2019-02-15,103.9,105.7,103.66,105.55,14716861
2019-02-19,104.91,105.37,103.81,105.18,12764888
2019-02-20,105.21,105.8,104.88,105.69,10030326
2019-02-21,105.45,105.99,104.96,105.47,8400075
2019-02-22,105.7,106.09,104.775,105.0,10647258
2019-02-25,105.75,107.27,105.69,106.1,11230679
2019-02-26,104.5,105.47,103.94,105.29,15465393
2019-02-27,105.18,105.38,104.51,105.16,9968822
2019-02-28,105.01,105.21,104.18,104.36,15156850
2019-03-01,105.1,105.91,104.2,104.43,13813310
2019-03-04,104.92,105.92,103.27,104.19,12466285
2019-03-05,104.13,104.55,103.26,104.11,10856646
2019-03-06,103.86,104.57,103.55,103.72,9070782
2019-03-07,103.25,103.47,102.16,102.97,12705739
2019-03-08,101.99,103.23,101.99,103.01,10582371
2019-03-11,103.98,104.55,103.66,104.35,9763235
2019-03-12,104.59,104.79,103.75,104.04,10219100
2019-03-13,104.19,104.98,103.95,104.39,13022241
2019-03-14,104.5,105.87,104.46,105.34,10926470
2019-03-15,105.41,106.8,105.23,106.55,24811730
2019-03-18,106.55,107.79,106.5,107.19,12935514
2019-03-19,108.2,108.4,106.55,106.8,12889267
2019-03-20,106.43,106.65,104.41,104.52,14920658
2019-03-21,103.49,103.49,102.28,102.87,19751044
2019-03-22,101.82,102.32,99.52,99.76,31115189
2019-03-25,99.59,100.57,98.09,98.93,21032295
2019-03-26,99.82,100.4,98.82,99.92,15987129
2019-03-27,99.88,100.45,99.08,99.58,12753234
2019-03-28,100.0,100.8,99.74,100.71,12454070
2019-03-29,101.54,101.99,100.59,101.23,14523395
2019-04-01,102.15,104.68,102.12,104.64,17499280
2019-04-02,104.6,105.44,104.33,105.14,10295539
2019-04-03,105.81,106.36,104.79,105.35,11499209
2019-04-04,104.55,105.73,104.45,105.56,11952078
2019-04-05,105.8,106.11,104.99,105.31,9933660
2019-04-08,105.11,105.65,104.91,105.65,8056282
2019-04-09,105.08,105.2,104.25,104.87,9092188
2019-04-10,105.13,105.72,104.47,105.34,10882304
