date,open,high,low,close,volume
2019-01-02,24.08,25.14,24.01,24.96,71836306
2019-01-03,24.94,25.04,24.45,24.56,66599627
2019-01-04,25.1,25.65,25.03,25.58,83829144
2019-01-07,25.56,25.78,25.29,25.56,57016335
2019-01-08,25.72,25.79,25.09,25.51,67339430
2019-01-09,25.67,25.85,25.39,25.76,69707185
2019-01-10,25.56,25.78,25.42,25.73,65235785
2019-01-11,25.53,26.04,25.46,26.03,63475964
2019-01-14,25.77,26.48,25.61,26.37,76715378
2019-01-15,26.21,26.81,26.05,26.55,80625492
2019-01-16,28.13,28.72,27.86,28.45,163131700
2019-01-17,28.34,29.0,28.09,28.99,107428808
2019-01-18,29.02,29.46,28.71,29.3,97928158
2019-01-22,28.98,29.3,28.89,29.09,84861427
2019-01-23,29.22,29.28,28.62,28.92,79425856
2019-01-24,28.75,29.2,28.74,29.08,59492344
2019-01-25,29.28,29.72,29.14,29.58,72196279
2019-01-28,29.32,29.67,29.29,29.63,59963832
2019-01-29,29.54,29.7,29.34,29.39,51451873
2019-01-30,29.42,29.47,28.95,29.07,66475793
2019-01-31,28.75,28.84,27.98,28.47,100201220
2019-02-01,28.6,28.84,28.31,28.38,64244104
2019-02-04,28.47,28.97,28.42,28.88,55195939
2019-02-05,28.85,28.88,28.57,28.78,46622568
2019-02-06,28.67,28.9,28.54,28.73,35606937
2019-02-07,28.54,28.64,27.9,28.24,62289176
2019-02-08,28.15,28.32,27.86,28.29,50031270
2019-02-11,28.34,28.46,28.21,28.41,47724366
2019-02-12,28.62,28.86,28.58,28.69,49178068
2019-02-13,28.87,28.99,28.66,28.7,48951184
2019-02-14,28.36,28.62,28.11,28.39,47756631
2019-02-15,28.76,29.31,28.67,29.11,65866974
2019-02-19,28.93,29.26,28.75,29.13,40841300
2019-02-20,29.1,29.45,29.01,29.41,42806327
2019-02-21,29.33,29.45,29.11,29.29,42754138
2019-02-22,29.05,29.27,28.96,29.08,47887776
2019-02-25,29.12,29.59,29.12,29.27,61227398
2019-02-26,29.02,29.63,28.96,29.29,53153195
2019-02-27,29.3,29.67,29.21,29.53,48128633
2019-02-28,29.5,29.55,29.01,29.08,62358070
2019-03-01,29.33,29.65,29.21,29.31,45771463
2019-03-04,29.33,29.54,28.77,29.03,56893191
2019-03-05,29.02,29.19,28.7,29.08,39932536
2019-03-06,29.01,29.16,28.8,28.84,41672025
2019-03-07,28.67,28.72,28.26,28.55,53908632
2019-03-08,28.06,28.67,28.01,28.65,40860696
2019-03-11,28.7,29.06,28.7,28.94,40709325
2019-03-12,29.0,29.12,28.89,28.94,34450040
2019-03-13,29.05,29.51,28.98,29.29,54683266
2019-03-14,29.31,29.64,29.24,29.46,45219084
2019-03-15,29.44,29.61,29.26,29.3,82346198
2019-03-18,29.38,29.96,29.33,29.82,58568603
2019-03-19,30.01,30.14,29.54,29.65,55455096
2019-03-20,29.62,29.66,28.6,28.64,81689885
2019-03-21,28.45,28.6,28.04,28.18,77444445
2019-03-22,27.91,28.07,26.71,27.01,118851628
2019-03-25,26.91,27.38,26.61,26.84,65567986
2019-03-26,27.15,27.35,26.88,27.21,59878468
2019-03-27,27.09,27.37,26.95,27.03,57621677
2019-03-28,27.2,27.41,27.02,27.33,45872254
2019-03-29,27.55,27.68,27.3,27.59,83446311
2019-04-01,27.9,28.74,27.85,28.54,91751082
2019-04-02,28.47,28.87,28.35,28.87,66693996
2019-04-03,29.07,29.24,28.7,28.84,63110614
2019-04-04,28.85,29.31,28.84,29.15,53712140
