date,open,high,low,close,volume
2019-01-02,60.69,63.85,60.43,63.38,5735438
2019-01-03,63.54,63.71,61.66,62.18,4727318
2019-01-04,63.08,63.91,62.66,63.75,7700138
2019-01-07,63.91,64.27,62.69,63.47,6272190
2019-01-08,64.21,64.58,63.46,64.32,5774856
2019-01-09,65.07,66.75,64.6,66.45,8350326
2019-01-10,65.87,68.01,65.43,67.94,8811084
2019-01-11,67.28,67.34,65.79,66.39,6018564
2019-01-14,65.62,66.32,65.33,65.61,4972030
2019-01-15,66.04,66.78,65.76,66.03,4504145
2019-01-16,65.74,66.27,65.49,65.66,5402261
2019-01-17,65.06,67.17,65.01,67.06,5997444
2019-01-18,67.64,68.31,67.17,67.9,6073857
2019-01-22,67.0,67.24,65.58,65.75,6915504
2019-01-23,66.22,66.46,65.15,65.86,5938747
2019-01-24,65.97,66.73,65.45,66.12,5789948
2019-01-25,66.65,67.61,66.52,66.99,4517319
2019-01-28,65.87,65.87,64.88,65.35,5942754
2019-01-29,66.21,66.29,65.25,65.3,5308752
2019-01-30,65.8,66.1,65.11,65.69,8087765
2019-01-31,66.54,68.31,65.9,67.69,9927664
2019-02-01,68.34,69.45,68.1,68.68,7486475
2019-02-04,68.19,70.01,68.19,69.93,5593140
2019-02-05,69.65,69.96,69.11,69.26,4483883
2019-02-06,68.66,69.55,68.51,69.11,4071264
2019-02-07,68.37,68.83,67.25,67.48,6230309
2019-02-08,66.8,67.08,65.26,66.26,6554968
2019-02-11,65.58,67.07,65.58,66.74,5200416
2019-02-12,68.01,68.3,67.24,67.45,3958076
2019-02-13,67.71,68.83,67.64,67.78,5839875
2019-02-14,67.5,69.69,67.5,69.1,5442804
2019-02-15,69.94,70.32,69.48,70.18,5173527
2019-02-19,69.52,70.01,69.18,69.49,5189816
2019-02-20,69.46,70.75,69.45,70.65,5837308
2019-02-21,70.24,70.84,69.93,70.24,5984411
2019-02-22,70.85,71.01,69.87,69.97,5225615
2019-02-25,69.66,70.01,69.23,69.25,5160896
2019-02-26,69.1,69.53,68.74,68.92,4689898
2019-02-27,69.29,70.34,68.76,69.22,5355746
2019-02-28,69.15,69.19,67.66,67.85,8154252
2019-03-01,68.09,69.11,68.09,68.93,7372593
2019-03-04,69.6,70.06,68.73,69.9,6625838
2019-03-05,70.0,70.06,68.52,69.01,7635534
2019-03-06,68.61,68.64,67.94,68.29,7296328
2019-03-07,68.36,68.4,67.55,67.95,6964286
2019-03-08,66.7,66.7,64.91,65.43,8068914
2019-03-11,66.2,66.34,65.34,65.87,8703529
2019-03-12,66.17,66.42,65.15,65.63,11790151
2019-03-13,66.09,67.36,66.03,67.35,8324794
2019-03-14,67.28,67.86,66.97,67.02,7315456
2019-03-15,66.56,67.93,66.53,67.59,16733199
2019-03-18,67.88,68.3,67.3,67.61,7712200
2019-03-19,68.14,68.495,67.1,67.35,6456361
2019-03-20,67.39,68.16,66.67,67.54,7117466
2019-03-21,67.73,68.28,67.26,68.14,5580902
2019-03-22,67.46,67.75,65.39,66.07,5182120
2019-03-25,66.04,67.49,65.52,67.07,8069976
2019-03-26,67.97,69.6,67.91,68.56,7245205
2019-03-27,68.3,69.08,67.58,67.91,5015563
2019-03-28,67.4,67.61,66.76,67.38,5122134
2019-03-29,68.28,68.54,66.58,66.74,6811030
2019-04-01,67.49,68.12,67.31,67.69,5308962
2019-04-02,67.59,67.83,66.09,66.35,5832979
2019-04-03,66.81,66.96,65.17,65.51,5490760
2019-04-04,65.57,65.77,64.97,65.16,6397875
2019-04-05,65.51,66.19,65.26,66.12,8337964
2019-04-08,66.51,67.52,66.19,66.55,5705245
2019-04-09,66.21,66.28,65.45,65.7,4707319
2019-04-10,66.08,67.18,66.03,66.97,6629009
