date,open,high,low,close,volume
2019-01-02,108.1,109.14,107.73,108.97,9723461
2019-01-03,108.48,108.65,105.94,106.33,10594688
2019-01-04,107.94,110.75,107.25,109.61,10122770
2019-01-07,109.91,111.4,109.3,110.56,6714654
2019-01-08,111.8,112.56,111.17,111.42,8730674
2019-01-09,111.8,112.8,111.56,112.67,5931922
2019-01-10,111.99,112.91,111.5,112.8,6160065
2019-01-11,112.18,112.92,111.73,112.65,4819131
2019-01-14,111.65,112.7,111.43,112.42,6980978
2019-01-15,112.3,113.18,110.61,111.76,9800910
2019-01-16,111.45,112.01,110.81,110.91,5899937
2019-01-17,110.72,111.26,110.16,111.01,6392033
2019-01-18,111.86,111.93,110.83,111.04,8554673
2019-01-22,110.62,111.33,109.75,110.6,6986669
2019-01-23,111.19,111.84,110.0,111.12,6845560
2019-01-24,111.0,111.11,109.93,110.55,6716751
2019-01-25,111.47,111.5,110.66,111.09,5710812
2019-01-28,110.76,110.99,109.95,110.81,6178777
2019-01-29,110.65,110.93,110.0,110.9,5253724
2019-01-30,110.3,110.58,108.96,110.13,7853849
2019-01-31,110.1,111.54,110.01,111.52,8351629
2019-02-01,111.97,112.05,110.93,111.3,6557666
2019-02-04,111.41,111.98,110.68,111.8,7037006
2019-02-05,112.02,112.74,111.45,112.66,13619793
2019-02-06,113.85,113.92,111.07,111.41,14229041
2019-02-07,111.05,111.11,109.81,110.95,8658117
2019-02-08,110.46,111.54,110.06,111.51,6395482
2019-02-11,111.77,111.81,109.25,109.44,11086391
2019-02-12,110.21,110.83,109.15,109.2,7610200
2019-02-13,109.24,110.48,109.23,110.2,6919706
2019-02-14,109.85,111.5,109.54,110.66,6324746
2019-02-15,111.4,112.63,111.03,112.59,8197250
2019-02-19,112.91,113.77,112.83,113.51,8169630
2019-02-20,113.6,114.09,113.29,113.68,7081458
2019-02-21,113.4,114.54,112.87,114.29,9480098
2019-02-22,114.63,115.77,113.95,115.25,8735066
2019-02-25,115.62,115.8,113.46,113.59,9327690
2019-02-26,113.65,114.01,112.85,113.5,8955976
2019-02-27,113.1,113.51,112.46,112.78,7249546
2019-02-28,112.9,113.43,112.75,112.84,6716706
2019-03-01,113.45,114.44,113.45,114.01,6996911
2019-03-04,114.42,114.42,113.09,114.33,6014966
2019-03-05,114.23,114.54,113.76,114.0,5225121
2019-03-06,114.0,115.05,114.0,114.85,7352761
2019-03-07,114.85,114.9,113.47,114.01,6324026
2019-03-08,113.46,113.84,112.9,113.81,6549140
2019-03-11,114.04,115.0,114.03,114.75,6952702
2019-03-12,114.72,115.3,114.04,114.73,9920395
2019-03-13,114.84,114.85,113.72,114.09,17994525
2019-03-14,114.12,114.77,113.93,114.48,17409649
2019-03-15,114.5,115.48,113.68,114.96,14932667
2019-03-18,113.03,114.0,112.46,113.12,21769821
2019-03-19,112.95,113.71,109.8,110.0,45384389
2019-03-20,110.31,110.88,108.05,109.99,35588736
2019-03-21,110.1,110.15,108.37,108.66,27438927
2019-03-22,108.33,109.0,107.51,108.23,24133840
2019-03-25,108.49,109.07,107.32,107.79,18187512
2019-03-26,108.4,110.34,108.27,110.14,16693081
2019-03-27,110.45,111.09,109.73,110.28,10794846
2019-03-28,110.6,111.27,110.24,110.71,11748863
2019-03-29,111.56,111.6,110.39,111.03,16358761
2019-04-01,111.59,112.87,111.38,112.51,10785064
2019-04-02,113.15,113.31,111.92,111.96,9231765
2019-04-03,112.7,113.11,112.21,112.52,10534893
2019-04-04,113.24,114.86,113.03,114.75,14378356
2019-04-05,114.97,115.13,114.31,115.0,10907893
2019-04-08,115.0,115.83,114.64,114.96,11054215
2019-04-09,115.61,117.16,115.28,116.86,17340289
2019-04-10,117.58,118.03,116.28,117.16,14091055
2019-04-11,117.73,117.86,116.32,116.6,12784470
2019-04-12,127.91,130.9,126.36,130.06,65253497
2019-04-15,131.05,132.7,129.79,132.04,32773740
