date,open,high,low,close,volume
2019-01-02,46.94,47.22,46.56,46.93,11603715
2019-01-03,46.82,47.37,46.53,46.64,14714413
2019-01-04,46.75,47.57,46.64,47.57,13013814
2019-01-07,47.57,47.75,46.9,46.95,13135484
2019-01-08,47.25,47.57,47.04,47.48,15420735
2019-01-09,47.08,47.28,46.43,46.57,18032543
2019-01-10,46.66,47.09,46.34,47.07,15976608
2019-01-11,47.29,47.36,46.97,47.34,11088619
2019-01-14,47.25,47.4,46.99,47.15,11514288
2019-01-15,46.89,47.6,46.81,47.57,11342944
2019-01-16,47.4,47.47,46.86,46.92,16907780
2019-01-17,46.92,47.14,46.88,47.06,12044612
2019-01-18,47.25,47.69,47.12,47.61,12760779
2019-01-22,47.7,47.79,47.21,47.72,11700444
2019-01-23,47.82,48.29,47.65,48.27,12058273
2019-01-24,48.11,48.11,47.38,47.69,10271980
2019-01-25,47.88,48.03,47.24,47.37,12066683
2019-01-28,47.22,47.3,46.94,47.17,9966925
2019-01-29,47.2,47.63,47.13,47.4,11998597
2019-01-30,47.25,47.89,47.19,47.86,12952455
2019-01-31,47.85,48.78,47.47,48.13,32181497
2019-02-01,48.48,48.78,48.4,48.7,19130144
2019-02-04,48.7,49.45,48.54,49.25,15105741
2019-02-05,49.33,49.47,49.1,49.26,12651851
2019-02-06,49.21,49.36,49.02,49.26,8689408
2019-02-07,49.17,49.46,49.0,49.42,10047848
2019-02-08,49.37,49.5,49.11,49.5,9813297
2019-02-11,49.57,49.88,49.48,49.61,9369282
2019-02-12,49.69,49.8,49.46,49.66,10983477
2019-02-13,49.61,49.94,49.56,49.79,12748849
2019-02-14,46.7,46.96,45.5,45.59,58905402
2019-02-15,45.9,46.26,45.2,45.24,35701558
2019-02-19,45.32,45.59,44.77,44.83,25511303
2019-02-20,44.91,45.24,44.8,45.1,27463983
2019-02-21,45.0,45.91,44.96,45.86,23121168
2019-02-22,45.76,45.95,45.2,45.28,24728388
