date,open,high,low,close,volume
2019-01-02,130.0,133.74,129.6,132.92,8788010
2019-01-03,131.21,131.28,127.88,128.13,9428280
2019-01-04,130.44,134.59,130.13,133.65,11065782
2019-01-07,134.45,137.17,134.04,136.06,12928362
2019-01-08,137.97,138.19,135.96,136.8,9243043
2019-01-09,138.3,139.48,137.62,138.41,9987569
2019-01-10,136.81,138.82,136.36,138.67,12514916
2019-01-11,137.75,138.6,137.41,138.06,5860051
2019-01-14,136.99,138.13,136.65,137.1,8666670
2019-01-15,136.96,137.72,135.25,137.34,7594993
2019-01-16,138.4,138.87,137.07,137.34,7257982
2019-01-17,136.97,137.91,136.59,137.28,5864878
2019-01-18,138.31,138.6,136.64,138.5,10263458
2019-01-22,137.9,139.52,136.98,138.05,8102321
2019-01-23,138.77,138.98,136.15,137.01,5465773
2019-01-24,137.11,138.32,136.52,137.7,4925199
2019-01-25,139.0,139.9,137.7,138.67,9759451
2019-01-28,137.51,137.51,134.81,135.99,9857213
2019-01-29,136.59,136.69,134.11,135.0,7457711
2019-01-30,136.1,137.9,135.51,137.6,8078091
2019-01-31,134.39,135.73,133.3,135.01,20095659
2019-02-01,135.39,140.35,135.26,140.15,13248305
2019-02-04,139.79,141.52,139.18,141.5,11882736
2019-02-05,142.0,142.95,141.83,142.53,8455658
2019-02-06,141.96,142.42,141.05,141.49,6146859
2019-02-07,139.92,141.06,139.21,140.17,10675712
2019-02-08,138.69,140.4,138.52,140.38,5950895
2019-02-11,141.26,142.29,140.45,140.8,7600100
2019-02-12,141.79,142.8,141.25,141.99,6090351
2019-02-13,142.89,144.7,142.87,143.49,6885550
2019-02-14,142.98,143.48,142.4,143.16,6314035
2019-02-15,144.55,144.91,143.82,144.91,6536038
2019-02-19,144.42,144.88,144.02,144.44,8406948
2019-02-20,144.35,144.84,143.52,144.73,5283077
2019-02-21,144.35,145.0298,143.18,144.0,8573402
2019-02-22,144.42,146.2836,144.42,145.87,9681136
2019-02-25,146.91,147.2,145.81,146.06,9731222
2019-02-26,145.2,147.4,145.02,147.04,7332555
2019-02-27,146.5,147.49,145.92,147.22,9731198
2019-02-28,147.26,148.82,147.23,148.12,6250470
2019-03-01,149.46,149.93,148.38,149.47,7016918
2019-03-04,150.07,150.19,146.95,147.96,6979679
2019-03-05,148.0,149.29,147.83,147.95,9678771
2019-03-06,148.0,148.52,147.42,147.81,8186390
2019-03-07,147.26,147.81,146.04,146.83,8761650
2019-03-08,145.44,147.48,144.5,147.35,5168083
2019-03-11,148.11,150.97,148.02,150.67,9361495
2019-03-12,151.0,153.14,150.87,151.73,9465366
2019-03-13,152.3,154.04,152.04,152.47,8308885
2019-03-14,152.56,154.69,152.3,154.2,9364876
2019-03-15,153.72,156.82,153.36,155.46,20162038
