date,open,high,low,close,volume
2019-01-02,93.91,96.27,93.77,95.68,4175396
2019-01-03,94.79,95.18,93.23,93.43,4776595
2019-01-04,95.37,98.35,94.9,97.64,4637540
2019-01-07,97.77,98.92,97.02,98.17,3289030
2019-01-08,98.69,99.52,97.52,98.65,3227198
2019-01-09,98.74,99.59,98.15,98.83,2954557
2019-01-10,98.45,98.67,97.82,98.26,3523808
2019-01-11,97.88,98.68,97.36,98.55,2770739
2019-01-14,97.76,99.03,97.62,98.44,4120483
2019-01-15,98.61,98.87,97.74,97.99,5795081
2019-01-16,98.94,99.96,98.51,99.41,4701930
2019-01-17,99.41,100.24,98.57,99.49,5693263
2019-01-18,98.19,100.81,96.37,100.48,9872459
2019-01-22,99.85,100.68,98.96,99.83,4699835
2019-01-23,99.93,100.19,98.46,99.71,3585120
2019-01-24,99.69,100.54,99.38,99.72,3415966
2019-01-25,100.43,101.59,100.09,100.77,3488839
2019-01-28,100.05,100.41,99.48,100.38,3185376
2019-01-29,100.94,101.42,100.54,100.96,2827361
2019-01-30,101.09,102.85,100.54,102.67,3501688
2019-01-31,102.0,102.9,101.7,102.7,4302055
2019-02-01,102.41,103.53,102.41,103.06,4727795
2019-02-04,103.04,103.46,102.52,103.42,2578258
2019-02-05,103.63,104.18,103.41,103.9,2231188
2019-02-06,103.85,105.08,103.43,104.96,3595668
2019-02-07,104.06,104.78,103.61,104.39,3857255
2019-02-08,103.73,104.52,103.43,104.52,2581890
2019-02-11,104.95,105.56,104.81,105.41,2653833
2019-02-12,106.27,107.43,106.26,107.0,3238637
2019-02-13,107.55,108.47,107.1,107.56,3182109
2019-02-14,107.0,107.36,106.24,106.62,2385903
2019-02-15,107.33,108.09,107.12,107.38,3882306
2019-02-19,107.05,107.23,106.46,106.5,3692762
2019-02-20,106.57,107.18,106.5,106.78,3840786
2019-02-21,106.74,106.95,106.32,106.61,2566460
2019-02-22,106.98,107.55,106.86,107.44,2256445
2019-02-25,108.2,108.85,106.76,106.93,3333498
2019-02-26,106.67,107.62,106.42,106.94,2548075
2019-02-27,106.86,107.63,106.6,107.42,2393450
2019-02-28,107.22,108.45,107.08,107.74,3295799
2019-03-01,108.4,109.65,108.2,108.9,2682041
2019-03-04,109.56,110.09,107.76,109.0,4053186
2019-03-05,109.03,109.32,108.32,108.85,2685668
2019-03-06,108.93,109.45,108.85,108.98,2616046
2019-03-07,108.56,108.63,107.4,107.86,3048239
2019-03-08,106.79,108.07,106.68,107.98,2077156
2019-03-11,109.01,109.79,108.71,109.56,3289261
2019-03-12,109.74,111.28,109.74,110.43,3917755
2019-03-13,110.18,112.26,110.09,112.14,4234169
2019-03-14,112.39,112.78,111.88,112.35,3538237
2019-03-15,112.71,113.77,112.53,113.52,4780401
2019-03-18,113.75,114.25,113.16,113.55,2918271
2019-03-19,114.22,114.22,112.36,112.67,3331270
2019-03-20,112.26,112.46,110.6,110.77,3309303
2019-03-21,109.96,112.18,109.81,111.82,3111049
2019-03-22,111.29,111.32,108.99,109.46,3737581
