date,open,high,low,close,volume
2019-01-02,42.28,43.2,42.21,42.95,23833507
2019-01-03,42.3,42.41,40.96,41.07,29606741
2019-01-04,41.85,43.0,41.53,42.92,27514985
2019-01-07,42.86,43.65,42.76,43.21,19488097
2019-01-08,43.57,43.94,43.1,43.56,22071410
2019-01-09,43.87,43.87,43.17,43.32,22640039
2019-01-10,43.11,43.29,42.58,43.24,23277606
2019-01-11,43.11,43.54,42.89,43.49,17378775
2019-01-14,43.08,43.39,43.0,43.21,16243608
2019-01-15,43.33,44.04,43.15,44.02,17743902
2019-01-16,44.12,44.24,43.76,43.96,17262525
2019-01-17,43.87,44.53,43.8,44.21,18826220
2019-01-18,44.48,45.35,44.31,45.03,24416514
2019-01-22,44.88,45.24,44.38,44.78,21338440
2019-01-23,45.14,45.88,45.02,45.46,24770397
2019-01-24,45.63,45.75,45.23,45.61,17360572
2019-01-25,46.12,46.66,45.95,46.13,24198137
2019-01-28,45.73,45.77,45.23,45.75,18297091
2019-01-29,45.81,46.05,45.65,45.96,14469874
2019-01-30,45.94,46.93,45.92,46.71,18329281
2019-01-31,46.72,47.38,46.52,47.29,23693599
2019-02-01,47.37,47.56,47.05,47.34,16266452
2019-02-04,47.22,47.47,47.12,47.35,15743124
2019-02-05,47.42,47.46,47.08,47.26,16946343
2019-02-06,47.12,47.59,46.95,47.48,18160485
2019-02-07,47.19,47.32,46.49,46.7,20331161
2019-02-08,46.4,47.2,46.3,47.19,18407127
2019-02-11,47.34,47.71,47.13,47.58,19363615
2019-02-12,47.27,48.15,47.16,47.89,23909243
2019-02-13,47.86,47.95,47.12,47.5,28325602
2019-02-14,48.85,49.68,48.34,48.4,47598631
2019-02-15,48.83,49.59,48.44,49.43,30189636
2019-02-19,49.2,49.93,49.2,49.65,20204730
2019-02-20,49.7,49.8,49.35,49.63,17550893
2019-02-21,49.54,49.72,49.2,49.41,17120554
2019-02-22,49.7,50.22,49.58,50.11,22008055
2019-02-25,50.34,51.0,50.34,50.79,24264332
2019-02-26,50.51,51.41,50.48,51.18,19382465
2019-02-27,51.21,51.65,50.89,51.59,19940911
2019-02-28,51.55,51.96,51.35,51.77,30708461
2019-03-01,52.0,52.09,51.27,51.41,23683679
2019-03-04,51.65,51.92,50.63,51.16,18725852
2019-03-05,51.12,51.51,50.97,51.3,14994150
2019-03-06,51.37,51.79,50.92,51.67,19686893
2019-03-07,51.55,51.97,51.21,51.29,22209205
2019-03-08,50.72,51.13,50.51,51.07,18182184
2019-03-11,51.14,52.09,51.1,51.92,17859289
2019-03-12,52.01,52.28,51.68,52.15,19485338
2019-03-13,52.41,52.86,52.14,52.59,20567962
2019-03-14,52.63,52.96,52.51,52.74,19215854
2019-03-15,52.94,53.62,52.93,53.2,43639853
