date,open,high,low,close,volume
2019-01-02,164.33,172.25,163.35,172.03,3999444
2019-01-03,170.66,171.77,168.29,169.51,4060393
2019-01-04,172.99,176.0,171.1,175.05,3788312
2019-01-07,175.23,177.83,172.27,176.02,3152092
2019-01-08,177.78,178.1,172.9,175.37,2692684
2019-01-09,176.1,177.69,174.91,176.47,3321697
2019-01-10,175.66,178.07,175.5,176.0,2808732
2019-01-11,175.1,177.04,172.42,176.93,3183036
2019-01-14,174.52,179.54,174.1,178.72,3361688
2019-01-15,178.32,179.99,176.4,179.91,2911802
2019-01-16,187.0,198.15,185.6,197.08,15194227
2019-01-17,195.95,199.8,192.83,199.09,8176998
2019-01-18,200.38,203.0,196.91,202.54,5650934
2019-01-22,200.5,201.47,195.92,197.68,4648472
2019-01-23,197.55,198.09,194.53,196.9,3410681
2019-01-24,196.22,199.68,195.76,197.8,2632011
2019-01-25,199.83,201.19,199.42,200.74,3275461
2019-01-28,197.99,200.07,197.1,199.72,2369554
2019-01-29,199.0,201.97,197.87,200.5,2694125
2019-01-30,200.9,203.29,199.65,202.48,2773366
2019-01-31,200.1,202.35,196.95,198.01,5604546
2019-02-01,198.0,199.64,196.54,196.54,3174301
2019-02-04,195.8,197.76,194.79,197.72,2400169
2019-02-05,198.12,199.33,196.86,198.01,2601036
2019-02-06,197.18,199.06,195.83,196.62,2063097
2019-02-07,195.28,195.88,191.05,193.07,2948750
2019-02-08,191.72,192.62,188.22,191.67,2757596
2019-02-11,192.88,193.32,191.07,191.33,2056684
2019-02-12,193.05,195.65,193.0,194.49,2392931
2019-02-13,195.92,198.78,194.6,194.69,2757343
2019-02-14,192.21,194.13,189.44,192.53,2864952
2019-02-15,193.21,198.89,193.1,198.5,3065444
2019-02-19,196.66,199.06,195.61,198.67,2558186
2019-02-20,198.73,199.3,197.51,198.6,2265991
2019-02-21,198.97,199.45,195.05,196.36,2786021
2019-02-22,196.6,197.75,195.2,196.0,2626634
2019-02-25,198.0,201.5,197.71,198.65,3032171
2019-02-26,198.47,200.56,196.55,198.9,2499795
2019-02-27,198.5,199.89,197.12,198.1,1804501
2019-02-28,198.04,198.4,196.01,196.7,2964439
2019-03-01,198.75,201.44,197.43,198.2,2580797
2019-03-04,198.81,200.83,194.15,195.98,2683593
2019-03-05,195.85,196.18,193.0,196.0,2338725
2019-03-06,195.9,197.56,194.53,194.74,2247480
2019-03-07,193.13,193.45,190.08,192.77,3567935
2019-03-08,190.4,195.77,189.71,195.24,3162760
2019-03-11,197.23,198.97,195.73,195.97,2669014
2019-03-12,196.0,197.4,195.69,196.63,1977361
2019-03-13,197.75,198.93,196.52,197.25,1904531
2019-03-14,197.32,198.5,196.7,197.47,1482382
2019-03-15,197.16,198.85,196.8507,198.26,2985264
2019-03-18,199.18,203.85,198.92,202.47,3355202
2019-03-19,204.88,206.45,200.78,201.12,3284871
2019-03-20,200.33,200.33,193.97,194.32,5033491
2019-03-21,192.9,195.55,191.75,194.58,4031526
2019-03-22,192.67,193.71,187.78,188.96,5703063
2019-03-25,189.33,191.45,186.5,188.51,3751226
2019-03-26,190.03,192.41,188.69,190.69,2910110
2019-03-27,190.6,191.61,188.74,190.03,2343810
2019-03-28,190.74,191.91,189.29,191.18,2343428
2019-03-29,192.68,193.11,191.14,191.99,2632797
2019-04-01,194.0,198.09,193.61,196.74,3562556
2019-04-02,196.24,197.76,195.4,197.5,2246979
2019-04-03,199.25,201.09,198.54,200.86,3227885
2019-04-04,200.8,204.29,200.5,202.23,2582379
2019-04-05,203.38,205.5,202.06,202.38,2447288
2019-04-08,202.79,203.63,201.18,202.54,1891580
2019-04-09,201.23,201.59,198.86,200.62,2400893
2019-04-10,201.8,203.17,200.27,202.98,1907115
