date,open,high,low,close,volume
2019-01-02,91.22,92.8365,90.78,92.27,4198179
2019-01-03,91.65,92.52,90.65,91.17,3798939
2019-01-04,91.95,94.43,91.89,93.87,4107428
2019-01-07,93.68,96.8,93.68,95.65,4884982
2019-01-08,96.66,97.86,95.61,97.63,4663534
2019-01-09,97.38,98.22,96.68,97.03,5692269
2019-01-10,96.36,96.53,94.67,95.98,4494025
2019-01-11,95.72,97.61,95.4,97.3,3682128
2019-01-14,96.34,97.19,96.18,96.91,2931597
2019-01-15,95.77,95.77,94.26,94.91,4921960
2019-01-16,94.82,95.39,93.85,93.96,4579155
2019-01-17,92.63,92.72,91.21,92.05,6947589
2019-01-18,92.83,95.03,92.68,94.98,7206610
2019-01-22,93.41,93.41,90.75,91.56,5950010
2019-01-23,91.16,92.24,90.23,91.83,4842288
2019-01-24,91.84,92.17,91.11,91.8,4047279
2019-01-25,92.55,93.86,92.55,93.82,4751469
2019-01-28,93.08,93.36,92.01,93.15,3631915
2019-01-29,92.41,93.53,92.15,93.43,3125622
2019-01-30,93.76,96.4,93.52,95.75,4965948
2019-01-31,95.29,97.49,94.91,96.16,5400491
2019-02-01,96.21,97.16,95.84,97.11,5324106
2019-02-04,97.64,98.01,96.91,97.87,2801388
2019-02-05,97.67,98.58,97.48,98.1,3667013
2019-02-06,97.92,98.23,96.85,97.19,2952581
2019-02-07,96.49,97.14,95.93,96.88,3990230
2019-02-08,96.46,97.35,95.98,97.17,6217683
2019-02-11,97.19,97.44,96.65,96.88,3045635
2019-02-12,97.55,99.89,97.26,99.47,3553232
2019-02-13,99.95,101.76,99.89,101.46,6576398
2019-02-14,100.8,101.96,99.8,101.51,3009756
2019-02-15,102.74,104.5,102.43,104.24,4666066
2019-02-19,104.02,105.71,103.8,105.06,3342913
2019-02-20,105.66,105.91,104.8,105.66,3328342
2019-02-21,105.51,106.35,105.035,105.52,3395690
2019-02-22,105.89,106.35,105.4,106.27,2734640
2019-02-25,107.0,107.0,104.63,105.01,4665053
2019-02-26,103.23,105.08,102.74,105.03,7954659
2019-02-27,109.01,109.92,105.21,107.62,8874709
2019-02-28,107.51,107.51,104.1,105.09,8144298
2019-03-01,105.9,106.1,103.25,103.96,4655308
2019-03-04,104.66,104.89,102.31,103.19,4015273
2019-03-05,103.45,103.75,102.44,103.01,3460089
2019-03-06,103.26,103.54,102.21,102.34,2730650
2019-03-07,102.03,102.06,100.41,100.71,4704816
2019-03-08,99.78,100.56,98.0,99.33,6181344
2019-03-11,99.83,100.7,97.55,100.4,4598900
2019-03-12,100.4,101.24,99.58,100.86,4928430
2019-03-13,101.1,101.92,100.61,101.17,6268161
2019-03-14,100.98,101.26,100.25,100.81,5393351
2019-03-15,101.07,101.15,99.43,100.14,6677537
2019-03-18,99.99,101.98,99.99,101.88,4471414
