date,open,high,low,close,volume
2019-01-02,39.7,40.13,39.46,39.89,7300753
2019-01-03,39.73,40.17,39.59,39.74,7454577
2019-01-04,39.96,40.94,39.96,40.84,7770155
2019-01-07,40.66,41.45,40.58,41.12,6095330
2019-01-08,41.31,42.12,41.25,42.08,11029291
2019-01-09,42.19,42.31,41.68,41.93,8532670
2019-01-10,41.93,42.35,41.68,42.34,7680187
2019-01-11,42.3,42.42,42.03,42.23,4755403
2019-01-14,42.14,42.63,41.94,42.48,10366439
2019-01-15,42.69,43.08,42.5,42.94,7624538
2019-01-16,42.95,43.08,42.49,42.67,6464616
2019-01-17,42.66,43.14,42.6,43.04,5860398
2019-01-18,43.39,43.48,43.02,43.36,7616824
2019-01-22,43.16,43.34,42.64,43.13,10983745
2019-01-23,43.28,43.52,42.89,43.51,8413950
2019-01-24,43.03,43.38,42.87,43.03,9214707
2019-01-25,43.25,43.37,42.66,42.72,5887582
2019-01-28,42.59,43.18,42.53,43.12,6437718
2019-01-29,43.2,43.58,42.85,43.43,7462510
2019-01-30,43.46,43.98,43.42,43.81,7714104
2019-01-31,44.0,46.31,44.0,46.26,15658024
2019-02-01,45.86,46.18,45.39,45.57,13278185
2019-02-04,45.74,46.16,45.5,46.11,8774873
2019-02-05,46.0,46.16,45.87,45.98,5776809
2019-02-06,45.93,46.32,45.79,46.2,6653773
2019-02-07,45.79,46.5,45.75,46.5,9393877
2019-02-08,46.09,46.91,45.99,46.9,8905290
2019-02-11,46.85,47.51,46.67,47.45,10105938
2019-02-12,47.5,47.76,47.38,47.55,8742750
2019-02-13,47.5,47.79,47.28,47.61,6595168
2019-02-14,47.25,47.66,46.88,47.32,7871843
2019-02-15,47.53,48.21,47.5,48.16,10522237
2019-02-19,47.66,48.315,47.45,48.1,7861246
2019-02-20,47.89,48.2,47.64,47.99,10711197
2019-02-21,47.91,48.46,47.88,48.41,6209189
2019-02-22,47.44,47.92,47.315,47.72,12798803
2019-02-25,47.73,47.8,47.07,47.21,10070532
2019-02-26,47.27,47.58,47.19,47.43,7475348
2019-02-27,47.36,47.38,47.0,47.13,8153389
2019-02-28,47.09,47.36,46.96,47.16,8498549
2019-03-01,47.19,47.34,47.03,47.23,8114507
2019-03-04,47.35,47.46,46.53,46.99,9587978
2019-03-05,47.02,47.15,46.76,46.93,8406496
2019-03-06,46.86,47.13,46.83,46.97,5660947
2019-03-07,46.96,47.23,46.75,46.81,8070093
2019-03-08,46.49,46.9,46.37,46.58,6699843
2019-03-11,46.61,47.16,46.52,47.12,6326222
2019-03-12,47.14,47.43,46.78,46.95,5856632
2019-03-13,47.12,47.5,47.08,47.28,6289876
2019-03-14,47.34,47.45,47.12,47.35,5617280
2019-03-15,47.43,47.96,47.38,47.8,9670770
2019-03-18,47.82,48.09,47.77,48.04,5817885
2019-03-19,48.19,48.5,48.07,48.24,6252394
2019-03-20,48.22,48.55,47.91,48.18,6560116
2019-03-21,48.03,48.99,47.71,48.88,6773901
2019-03-22,48.79,49.33,48.79,49.13,6978951
2019-03-25,49.05,49.49,49.04,49.41,5390335
2019-03-26,49.56,50.05,49.43,49.79,7059292
2019-03-27,49.7,49.98,49.32,49.63,7400139
2019-03-28,49.06,49.66,49.01,49.35,6416862
2019-03-29,49.5,49.96,49.42,49.92,6701237
2019-04-01,49.98,50.0,49.53,49.69,6196024
2019-04-02,49.63,49.7,49.46,49.64,5159483
2019-04-03,49.48,50.02,49.33,49.73,6810783
2019-04-04,49.65,49.85,49.55,49.65,5477504
2019-04-05,49.66,49.79,49.48,49.68,6246038
2019-04-08,49.57,49.67,49.45,49.61,6456416
2019-04-09,49.46,49.72,49.4,49.64,5037541
2019-04-10,49.77,49.92,49.55,49.7,4539778
2019-04-11,49.84,49.92,49.44,49.67,4670468
2019-04-12,49.71,49.85,49.59,49.79,5016636
2019-04-15,49.91,50.4,49.88,50.28,7869005
2019-04-16,50.36,50.52,50.08,50.12,5150799
2019-04-17,50.39,50.39,49.84,50.23,4698080
