date,open,high,low,close,volume
2019-01-02,109.15,110.02,108.23,109.28,4835357
2019-01-03,108.91,110.15,108.05,108.26,5975925
2019-01-04,109.54,110.6,108.24,110.48,6293898
2019-01-07,110.01,110.38,108.65,109.53,5220490
2019-01-08,110.14,110.8,109.42,110.58,6407745
2019-01-09,110.33,110.87,107.49,107.49,8521291
2019-01-10,107.41,108.34,107.36,108.15,7905010
2019-01-11,107.86,108.5,107.64,108.16,5939031
2019-01-14,107.85,107.96,106.96,107.32,5804597
2019-01-15,107.46,109.07,106.73,108.99,4508119
2019-01-16,108.99,109.05,107.7,108.34,4953505
2019-01-17,108.14,109.47,108.09,109.22,4612249
2019-01-18,109.97,110.3,109.17,110.07,5142734
2019-01-22,109.86,110.23,108.78,109.91,5298239
2019-01-23,109.68,110.79,109.51,110.73,5197388
2019-01-24,110.31,110.31,108.41,109.5,4477466
2019-01-25,110.15,110.59,109.04,109.35,5071205
2019-01-28,108.96,109.6,108.0,108.82,4055919
2019-01-29,108.93,109.62,108.51,109.0,4301528
2019-01-30,108.94,111.24,108.54,110.82,5023824
2019-01-31,110.97,112.9,110.21,112.67,6183408
2019-02-01,112.95,113.28,111.45,112.19,5010479
2019-02-04,112.21,113.4,111.85,113.09,3664960
2019-02-05,113.03,113.54,112.49,112.9,4593360
2019-02-06,113.41,113.58,112.3,113.05,4209394
2019-02-07,112.82,113.16,112.16,113.09,4227677
2019-02-08,112.93,113.04,111.93,113.02,3868255
2019-02-11,113.16,113.58,112.64,112.97,4851068
2019-02-12,113.23,114.5,112.22,113.79,6765311
2019-02-13,114.11,114.73,113.63,114.12,5528030
2019-02-14,113.0,113.0,111.88,112.59,6359154
2019-02-15,115.85,116.28,114.11,115.91,8889504
2019-02-19,116.8,116.97,115.2,115.93,5596052
2019-02-20,115.75,116.64,115.41,115.83,6038940
2019-02-21,115.5,116.93,115.47,116.1,4825945
2019-02-22,116.11,116.77,115.59,116.76,4865412
2019-02-25,117.17,117.3,115.71,116.06,3755910
2019-02-26,116.37,116.5,115.43,115.97,4074651
2019-02-27,115.54,115.7,114.41,115.37,4175511
