date,open,high,low,close,volume
2019-01-02,66.13,67.77,65.735,67.31,6471504
2019-01-03,67.02,68.26,66.29,66.44,6178183
2019-01-04,67.03,69.57,66.95,69.55,7220971
2019-01-07,69.19,69.3,67.34,67.42,7807152
2019-01-08,67.68,68.28,67.51,67.87,7257741
2019-01-09,68.25,68.71,67.8,67.91,5924037
2019-01-10,68.18,68.72,67.97,68.15,8988157
2019-01-11,68.46,69.52,67.83,69.5,7150367
2019-01-14,69.24,69.92,68.99,69.62,8408731
2019-01-15,69.35,70.66,69.2,70.5,6639221
2019-01-16,70.4,71.05,69.36,70.75,7360416
2019-01-17,70.61,72.75,70.31,72.52,7974472
2019-01-18,73.26,74.19,72.66,73.79,8715783
2019-01-22,73.36,73.86,71.85,72.81,10288323
2019-01-23,73.17,74.16,72.75,74.0,6260827
2019-01-24,73.55,73.82,70.31,71.55,13249629
2019-01-25,72.08,73.52,71.94,72.73,5292917
2019-01-28,72.61,74.5,72.14,74.35,6605285
2019-01-29,74.45,75.18,74.04,74.41,4798066
2019-01-30,74.85,75.31,74.36,74.48,6093807
2019-01-31,74.8,77.1,74.33,76.72,8512434
2019-02-01,77.03,77.05,75.33,75.73,7805455
2019-02-04,75.51,76.19,75.26,76.05,5362197
2019-02-05,76.01,76.25,75.6,75.81,4759994
2019-02-06,75.54,76.11,75.34,75.51,4993775
2019-02-07,77.76,78.62,75.77,76.73,6972413
2019-02-08,76.99,80.02,76.4,79.98,12070226
2019-02-11,79.56,80.03,78.92,79.05,7011977
2019-02-12,79.2,80.86,78.97,80.6,6144847
2019-02-13,80.96,81.33,80.55,81.3,5248734
2019-02-14,81.11,82.5,81.02,81.85,5625547
2019-02-15,82.8,83.56,82.2,83.46,6435136
2019-02-19,83.53,83.7,82.63,83.39,5307336
2019-02-20,83.48,85.78,83.39,85.04,5633006
2019-02-21,85.05,85.82,84.53,85.58,5887230
2019-02-22,85.48,87.25,85.16,87.15,4317871
2019-02-25,87.41,87.7,86.57,86.6,5020062
2019-02-26,86.31,87.47,86.2,86.51,4756179
2019-02-27,87.28,87.6,86.73,87.27,4670125
2019-02-28,87.27,87.54,86.76,86.94,4290101
2019-03-01,87.42,87.7,86.75,87.51,4379297
2019-03-04,87.8,88.0,86.66,87.28,3711709
2019-03-05,86.82,87.68,86.54,86.98,5547122
2019-03-06,86.98,87.38,86.38,87.02,4938428
2019-03-07,87.07,87.14,86.39,86.97,4802715
2019-03-08,86.91,87.97,86.76,87.45,3865515
2019-03-11,87.61,89.5,87.61,89.24,6022469
2019-03-12,89.5,90.27,88.48,88.8,5669754
2019-03-13,88.89,89.79,88.58,89.5,4468929
2019-03-14,89.13,89.91,88.96,89.79,4534712
2019-03-15,89.56,91.32,89.4,90.85,12348393
2019-03-18,91.24,91.3,90.56,90.73,5948478
2019-03-19,90.73,91.55,90.15,90.5,6075434
2019-03-20,90.3,91.02,89.86,90.74,5253763
2019-03-21,90.34,92.01,90.23,91.91,4262570
2019-03-22,91.67,92.74,91.13,91.17,5980005
2019-03-25,89.53,89.79,88.17,88.27,7938777
2019-03-26,88.61,89.44,88.28,88.59,5925651
2019-03-27,88.27,88.61,85.95,87.03,6483167
2019-03-28,87.0,87.98,86.89,87.28,5839984
2019-03-29,87.48,88.51,87.08,88.39,6314021
2019-04-01,88.38,88.83,87.94,88.2,4249642
2019-04-02,88.65,89.09,87.74,88.01,3995193
2019-04-03,87.54,87.86,85.18,85.81,7540292
2019-04-04,86.09,86.7,85.95,86.07,4672781
2019-04-05,86.11,86.25,84.91,85.44,5494988
2019-04-08,85.77,85.83,84.96,85.31,4439103
2019-04-09,85.23,86.04,85.09,85.84,3898856
2019-04-10,85.52,86.04,85.41,85.71,2855397
2019-04-11,85.76,86.0,85.47,85.51,3893434
2019-04-12,86.0,86.04,85.35,85.77,4652928
2019-04-15,86.1,86.69,85.86,86.19,3491324
2019-04-16,86.24,86.66,85.84,86.21,4544823
2019-04-17,86.42,86.5,85.15,85.48,4675715
2019-04-18,85.64,87.45,82.63,84.49,7765417
2019-04-22,84.14,85.39,83.91,84.29,3530282
2019-04-23,84.4,85.07,83.92,84.91,6397557
2019-04-24,84.73,84.83,83.17,84.45,4716517
2019-04-25,83.45,83.9,82.45,83.59,5241363
2019-04-26,83.94,85.13,83.89,84.76,3930258
2019-04-29,84.67,85.3,84.39,84.9,4416862
2019-04-30,84.83,87.53,84.57,86.56,5640278
2019-05-01,87.05,87.13,85.68,85.78,3655691
2019-05-02,85.42,86.73,84.71,84.92,2852794
2019-05-03,85.51,85.95,84.92,85.7,2738800
2019-05-06,85.22,85.89,84.46,85.12,3307893
2019-05-07,84.61,84.84,83.03,84.43,4804444
2019-05-08,84.22,84.55,83.36,83.81,3223988
2019-05-09,83.38,84.23,82.67,83.93,3503180
2019-05-10,83.44,84.81,82.6,84.54,3318394
2019-05-13,83.85,83.88,83.13,83.7,2491238
2019-05-14,83.29,85.26,83.07,84.09,3157078
2019-05-15,83.74,85.58,83.51,85.34,3223661
2019-05-16,85.35,86.09,84.94,85.51,2927953
2019-05-17,85.74,87.2,84.88,86.81,3886183
2019-05-20,86.57,87.57,85.72,86.23,3131273
2019-05-21,86.45,86.7,85.63,85.76,3165261
2019-05-22,85.37,85.96,84.73,85.49,2886000
2019-05-23,85.49,86.28,85.36,86.24,2814727
2019-05-24,86.22,86.22,83.83,84.64,3283885
2019-05-28,84.02,84.02,80.92,81.55,8499941
2019-05-29,80.74,81.72,80.7,81.14,4282080
2019-05-30,81.32,81.56,79.35,79.6,3827658
2019-05-31,79.31,79.86,76.99,77.13,6421056
2019-06-03,77.51,78.64,76.87,78.61,5160241
2019-06-04,79.15,79.49,78.17,78.5,3850928
2019-06-05,78.95,79.0,76.65,77.25,5201765
2019-06-06,77.55,78.68,77.11,77.2,4730480
2019-06-07,77.82,78.77,77.57,78.17,4590106
2019-06-10,78.15,78.39,76.64,76.96,4617371
2019-06-11,77.17,78.55,77.0,78.14,4607100
2019-06-12,77.74,78.41,77.0,77.21,3146968
2019-06-13,77.28,77.78,77.07,77.59,3555660
2019-06-14,77.8,78.37,77.04,77.2,5521322
2019-06-17,77.01,78.63,76.92,77.99,4917052
2019-06-18,78.26,78.36,76.24,77.11,5186085
2019-06-19,77.58,77.6,76.08,76.65,5512270
2019-06-20,76.13,77.415,75.58,77.18,7404776
2019-06-21,77.25,79.22,76.38,79.22,17187728
2019-06-24,78.6,79.36,77.7,77.83,6912096
2019-06-25,78.0,79.05,77.42,78.82,5568475
2019-06-26,78.9,78.9,77.2,77.38,6268540
2019-06-27,77.5,78.26,77.28,77.92,3951480
2019-06-28,78.22,78.57,77.65,78.53,8436161
2019-07-01,78.8,78.95,77.83,77.98,4234332
2019-07-02,78.36,79.82,77.96,79.75,4015155
2019-07-03,79.98,80.66,79.43,80.63,3860896
2019-07-05,80.35,80.42,78.46,80.12,3425192
2019-07-08,80.25,80.87,79.52,79.61,3203337
2019-07-09,79.64,80.21,78.94,79.44,3579421
2019-07-10,79.36,80.38,79.27,80.28,4297098
2019-07-11,80.43,81.78,80.11,81.26,4381036
2019-07-12,81.55,82.11,81.43,81.89,4257099
2019-07-15,82.0,82.19,81.08,81.47,5325317
2019-07-16,81.27,81.68,80.95,81.58,3071378
2019-07-17,81.5,81.94,80.85,81.05,2930033
2019-07-18,84.7,89.45,84.5,87.71,13397800
2019-07-19,88.36,89.98,87.86,88.73,7561808
2019-07-22,88.97,89.05,86.88,86.95,5366341
2019-07-23,87.48,87.59,86.17,86.75,4758397
2019-07-24,86.42,86.63,84.75,85.02,4316477
2019-07-25,85.27,86.29,84.75,85.63,3715579
2019-07-26,85.84,86.48,85.23,85.98,3348345
2019-07-29,86.29,87.03,85.84,86.76,4461357
2019-07-30,86.02,86.57,85.17,86.3,3952755
2019-07-31,85.94,86.4,82.18,83.61,6792990
2019-08-01,84.3,85.21,82.41,82.45,6385175
2019-08-02,82.7,84.55,81.88,84.17,6109083
2019-08-05,83.57,83.82,79.49,80.26,6849333
