date,open,high,low,close,volume
2019-01-02,35.49,37.75,35.34,37.2,15926069
2019-01-03,37.31,38.59,36.86,37.6,20007856
2019-01-04,38.3,39.23,38.03,39.09,19506627
2019-01-07,39.21,40.47,38.95,40.17,15736883
2019-01-08,40.77,41.0,40.23,40.67,13070196
2019-01-09,41.26,41.62,40.74,41.24,17909216
2019-01-10,40.93,41.84,40.75,41.65,13299621
2019-01-11,41.11,41.77,40.69,41.74,13330481
2019-01-14,41.1,41.57,40.99,41.32,11804231
2019-01-15,41.84,42.2,41.43,41.72,9398366
2019-01-16,41.5,41.74,41.2,41.25,12481632
2019-01-17,40.89,41.74,40.53,41.37,13889767
2019-01-18,43.85,44.94,43.0,44.73,26638570
2019-01-22,43.89,44.27,43.32,43.96,21523535
2019-01-23,44.06,44.19,42.71,43.31,13765754
2019-01-24,43.49,44.38,43.19,43.56,10990869
2019-01-25,44.0,45.05,43.98,45.0,15924902
2019-01-28,44.27,44.55,43.77,44.24,11225257
2019-01-29,44.68,44.84,43.84,44.0,8097549
2019-01-30,44.17,45.05,43.94,45.0,7961507
2019-01-31,45.0,45.01,43.73,44.21,15458136
2019-02-01,44.4,44.97,44.2,44.56,8583682
2019-02-04,44.22,44.65,43.88,44.6,12786710
2019-02-05,44.6,45.27,44.39,45.14,10662671
2019-02-06,44.97,45.22,44.78,45.07,6945956
2019-02-07,44.69,44.87,42.9,43.46,12647502
2019-02-08,43.32,43.5,42.23,42.78,9173549
2019-02-11,42.48,43.74,42.46,43.69,9541804
2019-02-12,43.86,44.36,43.74,44.06,8981483
2019-02-13,44.17,45.13,44.07,44.42,11036111
2019-02-14,44.28,44.52,44.12,44.14,9671242
2019-02-15,44.63,45.1,44.47,44.95,8174863
2019-02-19,44.52,45.8,44.44,45.54,10039208
2019-02-20,45.35,46.35,45.35,45.9,8565647
2019-02-21,45.86,45.95,44.6,44.72,9527377
2019-02-22,45.08,45.14,44.19,44.36,5716870
2019-02-25,44.33,45.01,44.25,44.79,6033281
2019-02-26,44.8,45.15,44.26,44.31,5853171
2019-02-27,44.4,44.78,44.08,44.35,7442832
2019-02-28,44.46,44.54,43.42,44.06,8846896
2019-03-01,44.22,45.19,44.22,45.19,8811727
2019-03-04,45.43,45.66,44.57,45.24,6946320
2019-03-05,45.2,45.27,44.31,44.79,7391102
2019-03-06,44.51,44.71,43.2,43.37,9949147
2019-03-07,43.42,43.46,42.45,42.49,8086487
2019-03-08,41.73,41.79,40.88,41.29,12739217
2019-03-11,41.79,42.32,41.44,42.08,9494658
2019-03-12,42.15,42.92,42.12,42.59,8230674
2019-03-13,43.01,43.3,42.83,43.15,8823170
2019-03-14,43.15,43.5,43.05,43.09,7934552
2019-03-15,42.7,43.16,42.34,42.39,14145092
2019-03-18,42.7,43.65,42.47,43.36,13518779
2019-03-19,43.78,43.99,43.09,43.25,8834686
2019-03-20,43.23,44.6,43.08,44.29,9512461
2019-03-21,44.11,44.39,43.78,44.22,6168520
2019-03-22,43.75,43.97,42.31,42.47,7892430
2019-03-25,41.76,42.55,41.72,42.47,6390034
2019-03-26,42.92,43.72,42.77,43.05,6500476
2019-03-27,43.03,43.28,42.39,42.68,5254396
2019-03-28,42.49,43.68,42.33,43.62,7419831
2019-03-29,44.23,44.35,43.22,43.57,7984819
2019-04-01,43.98,44.99,43.72,44.76,9717768
2019-04-02,44.9,45.45,44.35,44.49,6899368
2019-04-03,44.79,44.83,43.39,43.59,7230865
2019-04-04,43.41,44.11,43.06,44.1,6670890
2019-04-05,44.41,45.54,44.26,45.0,9149579
2019-04-08,45.15,46.24,45.1,46.17,11421389
2019-04-09,45.86,46.04,45.22,45.58,7577468
2019-04-10,45.8,46.0,45.4,45.55,6148838
2019-04-11,45.55,45.91,44.91,45.31,5291390
2019-04-12,46.0,46.45,45.58,45.65,8667239
2019-04-15,45.56,46.83,45.25,46.4,11178415
2019-04-16,46.64,47.55,46.61,47.34,7654370
2019-04-17,47.81,47.96,47.13,47.41,8346286
2019-04-18,48.13,48.88,45.51,45.56,15721558
2019-04-22,45.64,46.18,45.21,45.85,7901115
2019-04-23,45.67,46.09,45.27,45.89,8539352
2019-04-24,45.72,45.81,44.24,44.24,8941813
2019-04-25,44.15,44.19,43.17,43.3,9404948
2019-04-26,42.95,43.47,42.46,43.3,8527483
2019-04-29,43.34,44.37,43.25,43.43,8927348
2019-04-30,43.86,43.9,42.39,42.68,12163707
2019-05-01,42.63,42.89,41.34,41.37,10523645
2019-05-02,40.98,41.55,40.67,41.12,9108310
2019-05-03,41.56,41.81,41.11,41.28,7184812
2019-05-06,40.84,41.49,40.7,41.24,6571794
2019-05-07,40.76,40.76,39.97,40.6,10438946
2019-05-08,40.52,40.6,39.92,40.27,9237866
2019-05-09,39.92,40.45,39.49,40.27,12928707
2019-05-10,39.9,40.12,38.65,39.56,12810833
2019-05-13,38.88,39.15,37.63,38.16,16732241
2019-05-14,38.49,39.97,38.36,39.0,12042887
2019-05-15,38.41,39.44,38.4,39.33,10558434
2019-05-16,39.59,40.01,39.47,39.86,7632559
2019-05-17,39.5,39.75,38.94,39.02,7252374
2019-05-20,38.83,39.16,38.66,39.12,5922616
2019-05-21,39.29,39.73,38.96,39.5,6716271
2019-05-22,39.16,39.26,38.01,38.34,7429948
2019-05-23,37.53,37.53,36.8,37.49,12398919
2019-05-24,37.65,37.9,36.93,37.0,7665161
2019-05-28,37.1,37.13,36.44,36.5,11869636
2019-05-29,36.0,36.27,35.46,36.18,10072168
2019-05-30,36.04,36.28,35.12,35.18,11763565
2019-05-31,34.72,34.94,34.46,34.69,11445557
2019-06-03,34.99,35.65,34.83,35.49,9878683
