date,open,high,low,close,volume
2019-01-02,219.86,221.29,216.08,219.42,2725091
2019-01-03,218.76,219.0,210.07,212.17,3125038
2019-01-04,216.01,224.52,215.64,221.76,2865393
2019-01-07,222.0,228.46,222.0,224.75,2931378
2019-01-08,226.67,231.06,225.64,229.98,2876560
2019-01-09,231.16,238.1,231.16,236.39,2989047
2019-01-10,234.41,239.5,234.41,238.86,1885678
2019-01-11,237.74,240.02,236.52,240.0,1369248
2019-01-14,237.95,238.67,234.8,235.04,1613911
2019-01-15,235.0,236.79,233.88,235.47,2375796
2019-01-16,237.0,239.0,234.47,234.63,1671797
2019-01-17,234.13,238.78,233.71,238.17,1799002
2019-01-18,240.33,241.98,238.23,240.66,3125280
2019-01-22,238.58,240.79,237.55,240.7,2007256
2019-01-23,242.43,244.52,238.69,241.46,1945671
2019-01-24,240.78,241.44,238.31,240.58,1672547
2019-01-25,242.5,244.32,240.58,240.9,2003254
2019-01-28,238.09,240.0,236.6,237.88,1799160
2019-01-29,238.06,239.93,236.44,236.9,1736958
2019-01-30,238.77,245.91,235.9,245.06,2539383
2019-01-31,243.59,245.95,241.14,245.67,2218252
2019-02-01,245.37,245.67,242.54,243.43,1622540
2019-02-04,243.53,244.06,240.59,243.59,1200505
2019-02-05,243.59,246.66,242.92,246.01,1626148
2019-02-06,245.19,247.87,245.19,247.25,1033110
2019-02-07,245.11,245.86,240.92,242.91,1147750
2019-02-08,241.49,243.58,240.9,243.51,794599
2019-02-11,243.51,246.14,243.38,244.57,1232983
2019-02-12,246.42,249.31,245.26,248.33,1189224
2019-02-13,249.22,249.67,246.45,247.39,1014451
2019-02-14,246.86,247.39,245.74,246.14,996551
2019-02-15,248.81,252.51,247.68,252.49,1718195
2019-02-19,251.67,252.21,250.6901,250.83,1100042
2019-02-20,250.95,252.61,249.82,252.22,1091108
2019-02-21,250.87,251.5721,249.7,251.45,840323
2019-02-22,251.45,252.37,251.165,252.1,1117967
2019-02-25,252.52,255.73,252.51,253.84,1194665
2019-02-26,253.73,255.19,252.83,253.99,1198324
2019-02-27,253.06,259.58,253.06,259.14,1759100
2019-02-28,257.85,260.11,256.59,259.57,2061373
2019-03-01,261.0,264.45,259.69,264.06,1433662
2019-03-04,266.0,266.18,258.32,259.45,1342811
2019-03-05,259.71,260.3,253.41,254.46,2900228
2019-03-06,254.0,254.47,250.9,251.24,1533111
2019-03-07,251.23,251.72,248.26,250.81,1227534
2019-03-08,249.26,250.11,246.67,249.85,1169224
2019-03-11,250.87,254.43,249.63,254.32,1589311
2019-03-12,255.54,256.18,254.66,254.92,1297171
2019-03-13,256.68,259.0,254.72,258.87,1569114
2019-03-14,259.83,261.88,258.83,261.43,1513894
2019-03-15,262.46,264.39,262.01,263.09,2371785
2019-03-18,263.05,264.0,261.1,263.53,1449213
2019-03-19,264.46,267.41,264.06,265.96,1551259
2019-03-20,265.83,267.85,262.89,265.63,1524181
2019-03-21,264.62,271.7,264.13,271.05,1424118
2019-03-22,268.85,269.85,263.61,263.81,1736523
2019-03-25,266.87,269.49,264.01,268.8,1638366
2019-03-26,271.78,271.94,269.0,271.44,1459037
2019-03-27,270.65,271.45,266.07,268.85,1051247
2019-03-28,270.1,271.53,268.15,270.3,771668
2019-03-29,272.5,273.94,270.06,273.72,1193810
2019-04-01,275.14,276.66,274.19,276.19,1143667
2019-04-02,275.73,276.54,273.02,274.81,900926
2019-04-03,276.87,278.86,275.58,276.76,1184291
2019-04-04,277.01,277.01,272.77,275.05,937464
2019-04-05,275.15,277.18,274.6,276.49,840062
2019-04-08,276.7,278.53,273.98,278.42,1062579
2019-04-09,276.98,279.61,275.46,277.8,1242754
2019-04-10,278.19,280.11,278.0,278.85,980792
2019-04-11,278.57,281.03,277.47,280.51,1027592
2019-04-12,282.62,282.98,279.67,280.65,1634999
2019-04-15,280.37,281.15,275.03,277.56,1801024
2019-04-16,279.31,279.765,265.75,266.83,2442985
2019-04-17,268.95,269.59,253.22,257.51,5077261
2019-04-18,258.15,261.37,255.76,259.78,2960104
2019-04-22,260.0,263.75,257.85,259.09,1989832
2019-04-23,255.0,267.46,254.14,263.92,3099808
2019-04-24,264.98,266.6,259.64,261.56,2769972
2019-04-25,261.0,270.46,260.66,269.55,2053661
2019-04-26,270.0,273.48,268.01,273.22,1550127
2019-04-29,273.96,275.21,271.69,272.52,940430
2019-04-30,273.28,277.9,270.65,277.45,1380697
2019-05-01,277.18,278.12,273.89,276.49,1492017
2019-05-02,275.47,278.05,273.61,277.81,1353774
2019-05-03,279.0,280.01,277.74,278.64,1254199
2019-05-06,272.78,279.59,270.7,278.96,1320295
2019-05-07,276.5,277.39,269.71,271.7,1480931
2019-05-08,272.19,273.92,270.09,270.51,1691115
2019-05-09,267.77,269.68,263.85,269.0,1550694
2019-05-10,268.23,269.35,260.8,269.18,1548512
2019-05-13,262.92,263.47,258.03,261.08,1628803
2019-05-14,263.02,269.41,262.69,267.39,1845228
2019-05-15,262.5,265.86,259.02,263.04,1834232
2019-05-16,266.93,268.47,264.95,267.02,1340014
2019-05-17,263.35,267.01,261.27,261.73,1320547
2019-05-20,262.18,265.15,260.25,262.91,1525321
2019-05-21,265.98,268.0,265.11,265.36,1420827
2019-05-22,267.63,273.27,266.2,271.66,1740291
2019-05-23,268.94,271.34,265.37,271.02,1567586
2019-05-24,272.41,276.66,271.64,271.8,991546
2019-05-28,273.82,274.83,266.02,266.38,1676800
2019-05-29,262.84,265.87,262.11,264.76,1232743
2019-05-30,265.72,268.44,264.84,267.98,771416
2019-05-31,265.54,269.29,265.01,266.98,1266739
2019-06-03,268.29,271.44,264.72,265.28,1659899
2019-06-04,267.85,268.48,264.3,267.97,1575848
2019-06-05,271.81,275.74,270.0,274.79,2198244
2019-06-06,275.77,278.16,274.62,276.26,1940565
2019-06-07,278.92,282.51,277.53,281.69,1334549
2019-06-10,282.87,284.77,282.54,283.76,997638
2019-06-11,286.58,288.07,282.43,285.05,1214806
2019-06-12,284.85,285.79,282.72,285.22,882056
2019-06-13,284.85,286.39,283.55,286.24,1301805
2019-06-14,286.45,287.07,284.36,285.26,1381062
2019-06-17,285.87,287.14,284.8,285.93,681570
2019-06-18,287.94,290.0,286.01,289.2,1360544
2019-06-19,288.66,293.33,287.43,292.78,1534737
2019-06-20,296.49,297.41,290.42,293.34,1590333
2019-06-21,293.39,295.43,290.36,294.46,1701591
2019-06-24,295.2,296.03,292.0,295.55,942080
2019-06-25,295.48,298.38,293.1,293.53,1191614
2019-06-26,293.35,294.07,289.89,292.23,1172258
2019-06-27,292.76,294.38,290.79,293.77,850097
2019-06-28,292.56,294.13,288.69,293.68,5248063
2019-07-01,299.13,299.77,295.01,299.41,1651506
2019-07-02,299.18,301.19,295.52,301.11,946401
2019-07-03,302.76,305.45,301.51,305.43,882958
2019-07-05,302.5,303.8,298.7,300.65,1046846
