date,open,high,low,close,volume
2019-01-02,24.885,25.47,24.649,25.351,30345530
2019-01-03,24.456,24.654,23.033,23.096,68579600
2019-01-04,23.429,23.645,23.167,23.323,54247670
2019-01-07,23.365,24.024,23.076,23.798,53433060
2019-01-08,24.011,24.19,23.337,23.607,36795210
2019-01-09,23.842,24.668,23.785,24.628,52971130
2019-01-10,24.557,25.057,24.436,24.952,29593550
2019-01-11,24.943,25.292,24.932,25.057,20158270
2019-01-14,24.811,25.158,24.59,25.087,25499600
2019-01-15,25.276,26.222,25.201,25.649,39246850
2019-01-16,25.72,25.735,25.136,25.17,24483740
2019-01-17,25.006,25.735,24.872,25.533,35153600
2019-01-18,25.913,26.194,25.7,26.082,34634480
2019-01-22,25.8,25.946,25.49,25.829,37155810
2019-01-23,25.954,26.091,25.365,25.752,31771000
2019-01-24,26.109,26.675,26.0,26.355,35999100
2019-01-25,26.517,26.831,26.091,26.794,30347600
2019-01-28,26.156,26.885,25.865,26.762,31320060
2019-01-29,26.735,26.76,26.383,26.632,27870320
2019-01-30,27.0,27.375,26.737,27.082,28726540
2019-01-31,27.056,27.1,26.635,26.825,21062740
2019-02-01,26.915,26.96,26.489,26.681,22877550
2019-02-04,26.75,27.214,26.495,27.212,20760930
2019-02-05,27.196,27.463,26.991,27.0,22621280
2019-02-06,27.327,28.0,27.275,27.621,27064130
2019-02-07,27.286,27.457,26.63,26.909,28647390
2019-02-08,26.733,27.429,26.706,27.406,23902880
2019-02-11,27.44,27.6,27.328,27.572,18011880
2019-02-12,27.865,28.039,27.706,27.939,19809160
2019-02-13,28.0,28.216,27.797,28.132,19192180
2019-02-14,28.06,28.284,27.895,28.15,16015040
2019-02-15,28.409,28.409,27.879,28.193,17351750
2019-02-19,28.115,28.283,28.015,28.166,15151750
2019-02-20,28.325,28.663,28.228,28.342,16149510
2019-02-21,28.324,28.335,27.893,28.094,13256170
2019-02-22,27.995,28.0,27.466,27.65,27228140
2019-02-25,28.078,28.083,27.848,27.86,19244600
2019-02-26,27.793,27.801,27.445,27.5,27212160
2019-02-27,27.322,27.51,26.958,27.149,29146400
2019-02-28,26.997,27.571,26.863,27.536,31460530
2019-03-01,27.773,27.816,27.113,27.275,19037850
2019-03-04,27.5,27.658,27.086,27.489,17381610
2019-03-05,27.55,28.044,27.453,27.701,21699080
2019-03-06,27.666,27.693,27.048,27.135,19973850
2019-03-07,27.018,27.033,26.408,26.551,25410820
2019-03-08,26.156,26.476,25.92,26.419,22169900
2019-03-11,26.489,27.055,26.405,26.906,27160540
2019-03-12,26.976,27.003,26.427,26.963,23324240
2019-03-13,27.051,27.308,26.902,27.121,32088710
2019-03-14,27.209,27.226,26.789,26.82,43094320
2019-03-15,28.646,29.955,28.35,29.029,144065980
2019-03-18,29.023,29.698,29.021,29.384,56748590
2019-03-19,29.416,30.098,29.411,29.931,51556040
2019-03-20,29.8,29.9,29.029,29.103,41265800
2019-03-21,29.188,29.937,29.1,29.68,27379610
2019-03-22,29.592,29.644,29.14,29.265,23309010
2019-03-25,29.22,29.418,28.9,29.216,23878760
2019-03-26,29.437,29.947,29.423,29.703,28011540
2019-03-27,29.757,29.868,29.246,29.597,21861800
2019-03-28,29.711,30.33,29.567,29.907,33029520
2019-03-29,30.122,30.267,29.828,30.071,24493440
2019-04-01,30.311,30.675,29.975,30.579,27039600
2019-04-02,30.616,30.735,30.261,30.305,22856930
2019-04-03,30.622,30.74,30.182,30.42,23152890
2019-04-04,30.475,30.6,30.167,30.2,15228140
2019-04-05,30.4,30.444,30.18,30.428,18875370
2019-04-08,30.414,30.53,30.2,30.448,13898710
2019-04-09,30.258,30.411,30.029,30.345,11620510
2019-04-10,30.36,30.777,30.3,30.751,14991920
2019-04-11,30.815,31.019,30.623,30.941,16670170
2019-04-12,31.135,31.744,31.057,31.703,30089580
2019-04-15,31.703,31.752,31.317,31.64,16216820
2019-04-16,32.0,32.001,31.61,31.85,21117350
2019-04-17,32.024,32.094,31.784,32.053,18137930
2019-04-18,32.104,32.245,31.816,31.862,26548050
2019-04-22,31.732,31.789,31.42,31.5,13507280
2019-04-23,31.676,31.809,31.419,31.564,19776750
2019-04-24,31.458,31.701,31.319,31.433,23334880
2019-04-25,31.295,31.295,30.657,31.182,26736090
2019-04-26,30.915,31.095,30.511,31.041,16403750
2019-04-29,31.124,31.467,31.044,31.272,13403580
2019-04-30,31.332,31.842,31.253,31.84,18953210
2019-05-01,32.05,32.32,31.869,31.89,18157930
2019-05-02,31.998,32.219,31.423,31.582,20428240
2019-05-03,31.495,31.665,31.069,31.571,19213730
2019-05-06,30.679,31.193,30.535,31.157,14374030
2019-05-07,30.865,30.962,30.373,30.729,21734090
2019-05-08,30.53,30.766,30.311,30.339,15098660
2019-05-09,30.0,30.585,29.685,30.406,22282240
2019-05-10,30.323,30.54,29.666,30.396,21024860
2019-05-13,29.382,29.568,28.82,29.338,37864340
2019-05-14,29.569,30.46,29.548,30.2,34276990
2019-05-15,30.027,30.777,29.861,30.437,18167850
2019-05-16,29.975,30.31,29.47,29.729,34233130
2019-05-17,29.278,29.357,28.841,28.989,39094390
2019-05-20,27.8,27.995,26.864,27.259,65161540
2019-05-21,27.709,27.978,27.465,27.533,25060080
2019-05-22,27.048,27.506,26.897,26.922,31808920
2019-05-23,26.458,26.549,25.817,26.009,46607030
2019-05-24,26.27,26.574,25.574,25.594,27963270
2019-05-28,25.657,25.773,25.009,25.448,61965270
2019-05-29,25.274,25.637,25.158,25.412,28132430
2019-05-30,25.466,25.734,25.412,25.662,17312870
2019-05-31,25.304,25.574,25.1,25.164,22193800
2019-06-03,25.255,25.833,25.12,25.318,28910660
2019-06-04,25.696,26.6,25.576,26.57,36808020
2019-06-05,26.901,27.151,26.24,26.572,23654440
2019-06-06,26.702,27.5,26.528,27.279,32686760
2019-06-07,27.478,27.78744,27.328,27.487,25966900
2019-06-10,27.673,28.477,27.672,28.021,23279890
2019-06-11,29.049,29.175,27.941,28.348,37106480
2019-06-12,28.167,28.316,27.741,27.973,27057120
2019-06-13,28.152,28.289,27.741,28.161,37734570
2019-06-14,25.811,26.809,25.747,26.593,100797200
2019-06-17,26.484,26.87,26.134,26.597,35785490
2019-06-18,26.815,28.302,26.646,27.805,54920440
2019-06-19,27.878,27.907,27.371,27.749,28920320
2019-06-20,28.251,28.545,27.716,27.905,57291240
2019-06-21,27.661,28.1,27.396,27.399,45399470
2019-06-24,27.552,27.945,27.5,27.92,20506170
2019-06-25,27.916,28.288,27.602,27.651,24435970
2019-06-26,27.858,28.403,27.81,28.144,24773960
2019-06-27,28.293,28.845,28.223,28.571,21812730
2019-06-28,28.786,28.93,28.482,28.786,49264980
2019-07-01,30.168,30.575,29.633,30.035,44955680
2019-07-02,29.888,30.067,29.39,29.533,19011170
2019-07-03,28.37,28.878,28.302,28.489,49410800
2019-07-05,28.365,28.544,28.197,28.266,24565330
2019-07-08,28.0,28.119,27.439,27.496,34290560
2019-07-09,27.345,27.598,27.241,27.553,26132460
2019-07-10,27.786,27.88,27.4,27.45,30134470
2019-07-11,27.524,27.745,27.295,27.606,20713270
2019-07-12,27.638,28.593,27.638,28.539,21971170
2019-07-15,29.11,29.449,28.727,28.834,30336690
2019-07-16,28.699,28.779,28.239,28.413,14617520
2019-07-17,28.556,28.729,28.319,28.508,15452970
2019-07-18,28.618,29.03,28.38,28.978,19369830
2019-07-19,29.183,29.316,28.953,29.0,22049950
2019-07-22,29.3,29.999,29.224,29.615,33912970
2019-07-23,29.95,30.236,29.921,30.078,19691620
2019-07-24,30.12,30.488,30.05,30.377,19010440
2019-07-25,30.213,30.213,29.94,30.039,15740660
2019-07-26,30.159,30.302,30.053,30.092,14995590
2019-07-29,30.123,30.255,29.696,30.174,12068050
2019-07-30,29.909,30.093,29.71,29.956,11164390
2019-07-31,30.003,30.083,28.667,28.999,20819390
2019-08-01,28.913,29.782,28.232,28.534,21910690
2019-08-02,28.207,28.384,27.591,27.853,20079510
2019-08-05,27.195,27.224,26.408,26.766,27764820
2019-08-06,27.013,27.218,26.456,26.644,22199340
2019-08-07,26.403,27.272,26.3,27.005,22244080
2019-08-08,27.038,27.256,26.25,27.098,29163380
2019-08-09,26.958,28.055,26.958,27.573,30734620
2019-08-12,27.338,27.821,27.254,27.564,20039690
2019-08-13,27.53,28.55,27.203,28.37,22941240
2019-08-14,27.879,28.015,27.038,27.156,27108110
2019-08-15,27.2,27.278,26.485,26.864,20142330
2019-08-16,27.215,27.575,27.198,27.378,18203050
2019-08-19,27.95,28.007,27.561,27.878,17489100
2019-08-20,27.816,28.496,27.701,28.037,17920710
2019-08-21,28.464,28.826,28.405,28.75,19384880
2019-08-22,28.839,28.941,28.455,28.762,12299400
2019-08-23,28.399,28.548,27.105,27.213,25762800
2019-08-26,27.695,27.795,27.5,27.722,14250160
2019-08-27,27.915,28.022,27.491,27.557,14298870
2019-08-28,27.433,27.641,27.047,27.606,17133160
2019-08-29,28.149,28.549,28.105,28.337,16430010
2019-08-30,28.536,28.59,27.99,28.264,16721150
2019-09-03,28.0,28.085,27.093,27.405,22210280
2019-09-04,27.879,28.435,27.82,28.302,19868350
2019-09-05,28.836,29.368,28.836,29.102,20940580
2019-09-06,29.185,29.33,28.93,29.191,13747580
2019-09-09,29.5,29.72,29.04,29.261,21689050
2019-09-10,29.135,29.445,28.882,29.444,20851020
2019-09-11,29.632,29.878,29.455,29.801,19259890
2019-09-12,30.143,30.233,29.647,30.058,33109300
2019-09-13,29.765,29.799,28.389,29.032,62556960
2019-09-16,28.68,29.027,28.57,28.866,22175720
2019-09-17,28.802,28.93,28.375,28.883,22034730
2019-09-18,28.849,29.076,28.388,28.774,17370650
2019-09-19,28.85,29.195,28.723,29.064,19779180
2019-09-20,28.767,28.84,28.182,28.426,36893180
2019-09-23,28.362,28.716,28.208,28.546,15583790
2019-09-24,28.732,28.89,27.975,28.231,21042470
2019-09-25,27.175,27.721,27.0,27.577,55959040
2019-09-26,27.526,27.866,27.268,27.691,27652250
2019-09-27,27.663,28.128,27.296,27.414,28942450
2019-09-30,27.579,27.672,27.25,27.607,20204100
2019-10-01,27.827,27.965,27.338,27.485,19589150
2019-10-02,27.346,27.38,26.832,27.007,20002290
2019-10-03,27.0,27.45,26.722,27.443,19018690
2019-10-04,27.849,28.17,27.52,28.143,25916660
2019-10-07,28.001,28.102,27.57,27.608,19103030
2019-10-08,27.406,27.49,26.891,27.033,23067380
2019-10-09,27.368,27.491,27.202,27.315,16669270
2019-10-10,27.456,27.878,27.365,27.445,18108860
2019-10-11,27.949,28.408,27.909,28.091,23890880
2019-10-14,28.042,28.265,27.988,28.166,13368950
2019-10-15,28.264,29.062,28.22,29.032,21499040
2019-10-16,28.9,29.01,28.654,28.848,20768930
2019-10-17,29.014,29.171,28.832,28.943,13620190
2019-10-18,28.95,28.994,28.4,28.673,16610950
2019-10-21,28.844,29.19,28.706,28.957,13031220
2019-10-22,28.959,29.086,28.724,28.746,13440390
2019-10-23,28.296,28.354,27.876,28.032,20997890
2019-10-24,28.289,28.35,27.87,28.231,17159720
2019-10-25,28.326,29.137,28.322,28.982,20868770
2019-10-28,29.116,29.248,28.832,29.155,12421610
2019-10-29,29.228,29.37,28.807,28.816,13272290
2019-10-30,29.001,29.097,28.652,29.024,17280680
2019-10-31,28.98,29.408,28.78,29.285,27880550
2019-11-01,29.299,29.659,29.209,29.659,21234010
2019-11-04,29.952,30.546,29.91,30.5,34075320
2019-11-05,30.5,31.678,30.447,31.404,38711460
2019-11-06,31.206,31.428,30.871,31.316,18075990
2019-11-07,31.558,31.95,31.065,31.174,23982550
2019-11-08,30.987,31.36,30.513,31.341,17830100
2019-11-11,31.12,31.324,31.084,31.275,9154450
2019-11-12,31.4,31.64,31.326,31.553,16880390
2019-11-13,31.248,31.571,31.2,31.367,13347970
2019-11-14,31.075,31.184,30.611,30.897,17271260
2019-11-15,31.227,31.306,31.008,31.291,18120440
2019-11-18,31.182,31.341,30.803,31.107,15851060
2019-11-19,31.665,32.567,31.665,31.77,31746320
2019-11-20,31.59,31.683,30.9,31.167,19952470
2019-11-21,31.114,31.57,30.98,31.525,19317350
2019-11-22,31.664,31.948,31.371,31.492,13216430
2019-11-25,31.661,32.018,31.627,31.962,19636630
2019-11-26,31.9,32.018,31.605,31.627,30801010
2019-11-27,31.794,31.994,31.647,31.844,20183440
2019-11-29,31.685,31.779,31.5,31.621,9229240
2019-12-02,31.772,31.793,31.056,31.072,23177090
2019-12-03,30.582,30.9,30.313,30.652,19123560
2019-12-04,30.975,31.137,30.713,30.972,14439540
2019-12-05,31.059,31.246,30.906,31.119,15494530
2019-12-06,31.464,31.634,31.206,31.605,16939280
2019-12-09,31.6,31.715,31.394,31.438,24793030
2019-12-10,31.51,31.591,31.325,31.506,14566780
2019-12-11,31.518,32.135,31.518,31.972,20847550
2019-12-12,31.973,33.016,31.943,32.78,39187330
2019-12-13,31.806,31.977,31.062,31.542,70987110
2019-12-16,31.797,32.76,31.753,32.313,37933280
2019-12-17,32.374,32.495,32.175,32.38,20252100
2019-12-18,32.44,33.12,32.355,32.744,35178810
2019-12-19,32.921,32.926,32.371,32.41,31799040
2019-12-20,32.247,32.247,31.691,31.9,50542330
2019-12-23,32.054,32.233,31.761,31.953,20254900
2019-12-24,32.0,32.068,31.901,32.05,7023760
2019-12-26,32.127,32.174,31.682,31.798,15857860
2019-12-27,31.93,31.935,31.522,31.653,14489160
2019-12-30,31.652,31.733,31.275,31.346,13104040
2019-12-31,31.312,31.636,31.28,31.602,12488870
2020-01-02,31.932,32.25,31.732,32.239,19664110
2020-01-03,31.751,32.0,31.408,31.419,22876630
2020-01-06,31.085,31.392,30.963,31.372,20810810
2020-01-07,31.525,31.658,31.225,31.264,18630620
2020-01-08,31.298,31.349,30.841,30.874,32075460
2020-01-09,31.232,31.299,30.305,30.626,42450890
2020-01-10,30.545,30.555,29.88,29.922,40711430
2020-01-13,30.002,30.38,29.967,30.118,19800600
2020-01-14,30.2,30.915,30.159,30.818,28912870
2020-01-15,30.731,30.788,30.07,30.314,22732600
2020-01-16,30.5,30.786,30.421,30.705,21507710
2020-01-17,30.866,30.894,30.407,30.879,26898040
2020-01-21,30.78,30.951,30.633,30.807,21711180
2020-01-22,31.08,31.792,31.05,31.297,29263820
2020-01-23,31.518,31.98,31.082,31.965,30266450
2020-01-24,33.05,33.158,32.077,32.4,55781520
2020-01-27,31.641,31.988,30.864,30.903,38843150
2020-01-28,31.353,31.923,31.277,31.831,23165940
2020-01-29,32.082,32.543,31.714,31.751,23673010
2020-01-30,31.432,31.552,30.859,31.52,21128180
2020-01-31,31.416,31.458,30.362,30.516,22122970
2020-02-03,30.563,30.66,30.364,30.523,21289940
2020-02-04,31.179,31.457,30.965,31.16,22558730
2020-02-05,31.75,31.981,31.586,31.738,24824750
2020-02-06,31.884,31.988,31.423,31.969,22683110
2020-02-07,31.832,31.852,31.487,31.523,15884050
2020-02-10,31.237,31.46,31.03,31.42,19218100
2020-02-11,31.665,32.079,31.601,32.016,15527030
2020-02-12,32.204,32.509,32.163,32.47,15310200
2020-02-13,32.148,32.546,32.095,32.397,13856630
2020-02-14,32.484,32.57,31.71,31.777,19136640
2020-02-18,31.5,31.501,30.805,31.075,26703240
2020-02-19,31.3,31.683,31.17,31.569,20525250
2020-02-20,31.396,31.569,30.612,30.924,25520880
2020-02-21,30.85,30.945,30.229,30.45,24530900
2020-02-24,29.42,29.88,29.006,29.16,36848710
2020-02-25,29.411,29.573,28.107,28.268,31891980
2020-02-26,28.435,28.82,28.4,28.588,23088560
2020-02-27,28.03,28.531,27.354,27.395,34837090
2020-02-28,26.333,27.413,26.274,27.262,44604240
2020-03-02,27.676,28.54,27.115,28.497,31976470
2020-03-03,28.465,28.848,27.157,27.425,29929680
2020-03-04,27.754,28.572,27.477,28.545,23477890
2020-03-05,27.726,28.309,27.245,27.404,24374130
2020-03-06,26.698,27.093,26.25,26.945,30168770
2020-03-09,25.108,26.027,24.425,24.772,43933600
2020-03-10,25.659,26.368,24.34,26.29,55075310
2020-03-11,25.388,25.649,24.249,24.597,36043720
2020-03-12,22.699,24.276,21.632,21.878,64281110
2020-03-13,22.551,23.447,20.116,23.422,84713690
2020-03-16,20.818,21.88,18.023,18.758,76935020
2020-03-17,19.182,20.001,18.148,19.951,70661560
2020-03-18,18.566,18.748,15.567,16.787,98685830
2020-03-19,16.764,20.747,16.5,19.445,74438210
2020-03-20,20.2,20.868,18.791,19.222,74043670
2020-03-23,19.288,19.597,17.775,19.347,46920520
2020-03-24,20.564,21.871,20.129,21.276,62969770
2020-03-25,21.219,24.4,20.922,21.755,64442450
2020-03-26,22.603,24.48,22.603,24.317,60233430
2020-03-27,23.3,24.209,23.0,23.069,39447710
2020-03-30,23.22,24.136,22.844,24.011,52343490
2020-03-31,23.8,25.271,23.606,23.71,50215310
2020-04-01,22.799,23.441,21.968,22.363,41858320
2020-04-02,22.24,23.795,22.145,23.706,45048830
2020-04-03,23.664,24.255,23.055,23.426,28961480
2020-04-06,24.458,25.341,24.356,25.244,38867860
2020-04-07,26.184,26.55,25.253,25.327,45892070
2020-04-08,25.677,26.22,25.364,26.11,27565460
2020-04-09,26.579,26.75,25.131,25.43,34827590
2020-04-13,25.35,26.152,25.28,25.992,25728580
2020-04-14,26.612,26.838,26.232,26.763,23096320
2020-04-15,26.1,26.232,25.616,25.744,25926480
2020-04-16,26.176,26.176,25.411,25.829,26895920
2020-04-17,26.322,26.743,25.894,26.588,34088800
2020-04-20,26.0,26.526,25.791,25.828,23801220
2020-04-21,25.456,25.479,24.68,24.765,29138050
2020-04-22,25.477,26.222,25.074,25.997,35441840
2020-04-23,26.025,26.52,25.852,25.893,21661690
2020-04-24,25.981,26.507,25.888,26.481,23425110
2020-04-27,26.435,27.122,26.435,26.845,16592490
2020-04-28,27.424,27.641,26.412,26.473,18992250
2020-04-29,27.108,27.699,26.923,27.602,28870690
2020-04-30,27.353,27.405,26.88,27.162,23379430
2020-05-01,26.6,26.785,25.82,25.97,26835610
2020-05-04,25.921,26.243,25.532,26.226,17046090
2020-05-05,26.655,26.894,26.371,26.487,26463590
2020-05-06,26.833,27.048,26.362,26.418,22729930
2020-05-07,27.0,27.047,26.6,26.775,18247050
2020-05-08,27.22,27.555,27.003,27.503,16767000
2020-05-11,27.337,27.674,27.175,27.54,20850970
2020-05-12,27.658,27.772,26.822,26.845,18763820
2020-05-13,27.007,27.033,25.936,26.315,21927400
2020-05-14,26.096,26.695,25.475,26.66,19911930
2020-05-15,25.942,26.406,25.677,26.041,21654220
2020-05-18,26.862,27.673,26.8,27.353,26537230
2020-05-19,27.353,27.603,27.161,27.195,18701790
2020-05-20,27.697,28.131,27.608,27.868,18605400
2020-05-21,27.892,27.95,27.465,27.48,14848950
2020-05-22,27.374,27.725,27.051,27.665,17452840
2020-05-26,28.5,28.709,28.139,28.202,23572860
2020-05-27,28.302,28.78,28.0,28.759,22811610
2020-05-28,28.5,28.93,28.243,28.314,18555170
2020-05-29,28.29,29.2,28.191,29.127,27323830
2020-06-01,29.042,29.11,28.737,28.999,18447880
2020-06-02,29.103,29.832,29.009,29.806,31846920
2020-06-03,30.105,31.085,30.051,30.953,31925830
2020-06-04,30.575,31.3,30.21,30.889,34997390
2020-06-05,31.97,32.811,31.509,31.708,50961950
2020-06-08,31.75,31.884,31.336,31.752,23916100
2020-06-09,31.2,31.888,31.157,31.532,22334770
2020-06-10,31.665,31.921,31.47,31.504,25913650
2020-06-11,30.762,30.855,29.34,29.375,45114770
2020-06-12,30.282,30.395,29.273,30.025,39439170
2020-06-15,29.5,30.675,29.241,30.409,29872290
2020-06-16,31.0,31.455,30.4,31.072,30400100
2020-06-17,31.342,31.671,31.179,31.344,20279210
2020-06-18,31.212,31.912,31.152,31.871,33624570
2020-06-19,31.768,31.81,30.277,30.277,58464640
2020-06-22,30.55,31.418,30.353,31.354,27194720
2020-06-23,31.506,31.744,31.129,31.13,22418980
2020-06-24,30.92,31.097,30.451,30.697,19097290
2020-06-25,30.606,30.948,30.3,30.885,15030110
2020-06-26,31.357,31.578,30.315,30.741,31425340
2020-06-29,30.807,31.041,30.44506,30.978,14516020
2020-06-30,30.995,31.707,30.675,31.561,25125420
2020-07-01,31.511,31.685,31.194,31.273,15667870
2020-07-02,31.775,31.938,31.466,31.547,16665570
2020-07-06,32.0,32.099,31.734,31.879,17560700
2020-07-07,31.734,31.816,31.255,31.312,16153460
2020-07-08,31.614,31.984,31.412,31.957,18022630
2020-07-09,32.001,32.433,31.525,32.15,25227860
2020-07-10,32.191,32.299,31.544,31.944,13281260
2020-07-13,32.168,32.353,31.058,31.131,21549900
2020-07-14,30.899,31.622,30.519,31.508,18363170
2020-07-15,31.595,31.777,31.017,31.378,15252830
2020-07-16,31.061,31.388,30.93,31.134,12930850
2020-07-17,31.415,31.521,31.0,31.271,13355120
2020-07-20,31.185,31.765,31.026,31.713,14178540
2020-07-21,31.923,31.923,31.267,31.434,13898760
2020-07-22,31.501,31.568,31.037,31.38,14404500
2020-07-23,31.337,31.609,30.838,30.967,19417190
2020-07-24,30.659,31.091,30.418,30.579,15634030
2020-07-27,30.83,31.296,30.7485,31.268,20646020
2020-07-28,31.118,31.211,30.616,30.735,13978480
2020-07-29,30.853,31.123,30.744,30.885,16561620
2020-07-30,30.6,31.293,30.6,31.21,21258530
2020-07-31,31.47,31.84,31.14,31.675,24720080
2020-08-03,31.8,32.349,31.728,32.123,20800360
2020-08-04,32.05,32.859,32.039,32.839,25260450
2020-08-05,32.825,33.158,32.58,32.954,22302110
2020-08-06,32.777,33.088,32.54101,32.916,14192960
2020-08-07,32.839,32.973,32.148,32.593,14193320
2020-08-10,32.422,32.927,32.40601,32.736,11990080
2020-08-11,32.757,33.332,32.276,32.403,19315960
2020-08-12,32.585,33.588,32.5355,33.364,18476430
2020-08-13,33.221,33.341,32.785,32.942,15097720
2020-08-14,32.802,32.985,32.6,32.782,10140050
2020-08-17,32.951,33.179,32.9,33.032,10560110
2020-08-18,33.186,33.318,32.814,32.864,8859360
2020-08-19,32.947,33.309,32.824,32.921,11273140
2020-08-20,32.769,32.999,32.606,32.883,8910270
2020-08-21,32.83,33.046,32.5,33.002,11508670
2020-08-24,33.20102,33.619,33.114,33.4,11997510
2020-08-25,33.5,33.709,33.3,33.614,11143340
2020-08-26,33.474,34.151,33.351,33.967,14844030
2020-08-27,34.049,34.13,33.614,33.914,12552110
2020-08-28,33.9,34.482,33.77,34.482,14588730
2020-08-31,34.352,35.058,34.352,34.715,22228980
2020-09-01,35.0,36.207,34.742,35.954,29258970
2020-09-02,36.586,37.896,36.35673,37.501,37053380
2020-09-03,36.601,36.89,35.016,35.209,41794720
2020-09-04,36.097,37.253,35.35,36.295,58513730
2020-09-08,35.266,36.275,35.0,35.054,26685080
2020-09-09,35.616,36.185,35.11,36.003,26273240
2020-09-10,36.213,36.783,35.4385,35.708,22851320
2020-09-11,36.05,36.427,35.46813,35.97,17361980
2020-09-14,36.441,36.589,35.9345,36.22,16448540
2020-09-15,36.63,37.112,36.535,36.691,16617850
2020-09-16,36.818,37.2,36.635,36.704,18512090
2020-09-17,35.5,37.0115,35.5,36.592,22864230
2020-09-18,36.71215,36.784,35.505,35.973,35294810
2020-09-21,35.001,35.196,34.348,35.179,24198340
2020-09-22,35.637,36.18,35.295,36.159,19500250
2020-09-23,36.018,36.121,35.0045,35.159,15545370
2020-09-24,35.02,35.757,34.909,35.252,13613760
2020-09-25,35.205,35.772,34.82801,35.68,18183420
2020-09-28,36.168,36.843,35.903,36.73,22191600
2020-09-29,36.749,37.08,36.3985,36.426,13829970
2020-09-30,36.295,37.1,36.171,36.432,22403280
2020-10-01,36.898,37.071,36.482,36.86,16018680
2020-10-02,36.0,36.492,35.615,35.683,17100210
2020-10-05,36.084,36.685,35.99,36.61,18923280
2020-10-06,36.611,37.2,36.202,36.398,16671930
2020-10-07,36.835,36.986,36.606,36.674,12750080
2020-10-08,36.989,37.429,36.831,37.333,17045350
2020-10-09,37.593,38.0,37.4,37.67,17255470
2020-10-12,38.179,38.51,37.979,38.243,18839480
2020-10-13,38.441,38.78,37.861,38.149,16731450
2020-10-14,38.354,38.3735,37.785,38.03,17301530
2020-10-15,37.505,38.049,37.502,37.993,14373540
2020-10-16,38.328,38.328,37.815,37.865,10297020
2020-10-19,38.124,38.3605,37.515,37.577,14802730
2020-10-20,37.701,38.11352,37.556,37.699,13296920
