date,open,high,low,close,volume
2019-01-02,64.86,65.87,64.44,65.58,7322424
2019-01-03,65.25,65.9,64.64,65.23,7001767
2019-01-04,66.09,67.43,65.95,66.82,7214766
2019-01-07,67.39,69.35,66.72,68.61,8908112
2019-01-08,68.79,69.74,67.26,68.53,10335241
2019-01-09,68.57,68.68,65.31,66.04,14980964
2019-01-10,66.02,66.28,64.56,65.55,15503493
2019-01-11,65.18,65.82,64.36,65.81,11396328
2019-01-14,65.38,65.78,64.9,65.34,9275978
2019-01-15,64.68,64.82,63.14,63.74,15501538
2019-01-16,63.81,64.5,63.67,63.92,13551218
2019-01-17,63.97,64.09,63.27,63.37,12599157
2019-01-18,64.65,65.55,64.3,65.52,15599953
2019-01-22,65.39,65.77,64.6,64.92,8492611
2019-01-23,65.3,66.32,64.9,66.11,9101407
2019-01-24,65.5,65.63,64.56,64.98,7039903
2019-01-25,65.57,65.81,65.14,65.45,8627625
2019-01-28,65.11,65.26,63.58,65.24,8641966
2019-01-29,65.46,66.15,65.18,65.54,7293629
2019-01-30,66.29,66.66,65.77,65.96,7340566
2019-01-31,65.95,66.41,65.55,65.55,10883218
2019-02-01,64.5,65.72,62.88,65.22,16742452
2019-02-04,65.25,65.92,64.87,65.91,7151903
2019-02-05,66.24,66.38,65.39,65.67,6763901
2019-02-06,65.44,66.29,65.36,66.03,6494558
2019-02-07,65.97,66.13,64.95,65.75,6306609
2019-02-08,65.49,65.7,64.36,65.01,7753952
2019-02-11,65.35,65.73,65.01,65.1,9654784
2019-02-12,65.44,67.4,65.3,67.01,7868027
2019-02-13,67.33,68.16,67.13,67.79,9738206
2019-02-14,67.46,68.16,66.77,67.69,6988150
2019-02-15,68.26,69.87,67.85,69.53,10245409
2019-02-19,70.21,70.32,69.28,69.88,13091852
2019-02-20,63.67,65.19,63.3,64.22,43365550
2019-02-21,64.03,64.15,61.96,62.35,26490624
2019-02-22,62.14,62.35,61.17,61.95,20182929
2019-02-25,62.12,62.29,61.2,61.23,12853866
2019-02-26,61.25,61.58,60.59,60.68,12273558
2019-02-27,60.43,60.49,58.46,58.5,20986501
2019-02-28,58.54,58.79,57.56,57.83,17120951
2019-03-01,58.15,58.74,58.06,58.13,14432799
2019-03-04,58.37,58.55,55.8,55.96,17835966
2019-03-05,56.15,56.2,54.37,54.96,27776097
2019-03-06,54.74,55.01,54.0,54.0,15876761
2019-03-07,54.14,54.34,52.17,52.36,23030166
2019-03-08,52.06,53.1,51.93,52.93,21748252
2019-03-11,53.1,53.89,52.31,53.75,14770181
2019-03-12,54.02,54.93,53.72,54.65,16681357
2019-03-13,55.61,56.92,55.31,56.57,22936534
2019-03-14,56.95,57.41,55.67,55.88,15216113
2019-03-15,55.92,56.19,55.27,55.6,24262201
2019-03-18,55.61,56.92,55.56,56.67,12752941
2019-03-19,56.7,57.54,56.48,57.09,12367430
2019-03-20,56.82,56.9,55.81,56.16,11405817
2019-03-21,56.07,57.61,55.78,57.4,10452668
2019-03-22,57.11,57.28,55.92,56.04,10204214
2019-03-25,55.8,56.13,54.4,54.95,12968643
2019-03-26,55.38,56.17,55.08,55.39,11730949
2019-03-27,53.94,54.43,52.83,54.05,21327282
