date,open,high,low,close,volume
2019-01-02,191.5,195.81,191.11,194.47,1485776
2019-01-03,191.25,193.24,188.21,188.52,2016129
2019-01-04,191.81,198.28,189.76,196.0,1736376
2019-01-07,195.33,200.41,195.33,198.99,1175424
2019-01-08,200.83,203.86,198.08,203.76,1654048
2019-01-09,204.06,205.0,200.34,202.66,1643215
2019-01-10,201.75,207.29,201.11,206.06,1507701
2019-01-11,205.44,207.0,204.06,206.15,1479582
2019-01-14,203.75,206.34,202.91,205.15,1058036
2019-01-15,205.38,210.25,205.38,209.81,1559923
2019-01-16,210.99,214.38,209.25,209.99,1340700
2019-01-17,208.51,212.11,208.51,211.73,1106376
2019-01-18,214.18,215.32,210.89,213.87,1622569
2019-01-22,212.84,215.82,210.87,212.34,1656479
2019-01-23,213.0,216.49,209.9,212.24,1454721
2019-01-24,212.34,213.57,210.27,212.16,966155
2019-01-25,214.6,215.51,212.76,214.3,1127456
2019-01-28,212.83,212.9,209.75,211.05,972488
2019-01-29,211.21,211.87,207.69,208.33,995655
2019-01-30,209.72,214.65,209.6,214.1,1251485
2019-01-31,213.6,217.4,213.3,215.82,2792264
2019-02-01,215.74,216.86,212.67,214.45,1934978
2019-02-04,216.88,222.36,215.56,220.91,2256024
2019-02-05,221.43,225.47,221.19,224.49,1818218
2019-02-06,224.15,224.85,221.08,224.58,915885
2019-02-07,222.16,223.44,220.5,220.97,1166408
2019-02-08,219.31,224.91,218.83,224.83,1400610
2019-02-11,226.83,227.32,224.66,225.47,1472858
2019-02-12,227.58,229.26,225.81,228.96,1394948
2019-02-13,230.0,230.5,228.14,228.59,1133054
2019-02-14,227.65,231.4,226.51,230.78,1356398
2019-02-15,233.34,233.73,231.31,233.32,1142467
2019-02-19,233.36,234.77,232.61,234.63,1398782
2019-02-20,235.74,236.47,233.72,235.97,1904415
2019-02-21,235.03,236.76,232.965,235.03,2289152
2019-02-22,236.72,251.57,236.72,250.94,3334050
2019-02-25,247.1,249.66,245.12,247.72,2876918
2019-02-26,246.3,249.32,245.41,248.91,1306854
2019-02-27,247.55,249.87,246.48,249.85,1524777
2019-02-28,249.35,250.41,246.88,247.13,1677818
2019-03-01,250.0,252.02,248.63,250.41,1943127
2019-03-04,250.68,252.2,245.03,249.0,1447404
2019-03-05,248.19,248.84,245.89,247.09,1357493
2019-03-06,247.34,249.04,244.72,246.91,800417
2019-03-07,246.17,247.47,244.26,245.43,960653
2019-03-08,242.82,246.08,240.01,245.88,1080590
2019-03-11,247.46,250.74,246.53,250.54,1467724
2019-03-12,249.76,251.88,248.4,250.3,1326197
2019-03-13,251.09,255.76,251.09,253.65,1374063
2019-03-14,252.96,256.91,252.89,256.77,1497486
2019-03-15,256.5,259.86,256.26,258.13,3495265
2019-03-18,258.25,259.75,256.42,257.72,1427043
2019-03-19,258.62,259.25,254.58,256.06,1477244
2019-03-20,256.18,257.67,253.93,255.99,1129009
2019-03-21,254.63,260.71,254.63,260.62,1176951
2019-03-22,258.36,259.64,252.47,252.68,1544864
2019-03-25,252.36,254.11,250.72,253.83,1525923
2019-03-26,255.66,257.51,254.28,255.99,916903
2019-03-27,257.72,258.26,253.13,255.38,966812
2019-03-28,256.55,259.74,255.18,259.22,1285889
2019-03-29,260.24,261.63,258.98,261.41,1418268
2019-04-01,264.52,266.32,261.32,265.75,1245785
2019-04-02,269.13,269.18,264.82,268.26,1255781
2019-04-03,270.23,272.14,268.42,269.08,1957122
2019-04-04,269.35,269.93,258.61,262.63,1945559
2019-04-05,263.42,264.66,260.99,261.7,1119848
2019-04-08,261.8,262.27,257.62,260.76,1630468
2019-04-09,258.42,261.21,258.42,258.9,1019934
2019-04-10,259.92,261.0,257.73,259.09,2061506
2019-04-11,260.74,260.74,258.71,259.59,1329703
2019-04-12,260.93,261.84,258.29,260.06,2117716
2019-04-15,260.49,261.55,259.69,260.88,1595824
2019-04-16,261.8,262.11,256.14,257.99,1043407
2019-04-17,259.72,260.05,255.15,256.27,1803706
2019-04-18,258.22,258.22,254.6,257.77,1370908
2019-04-22,256.11,261.76,255.83,261.59,1068895
2019-04-23,262.02,266.42,262.02,265.68,1520428
2019-04-24,266.41,267.34,263.86,264.04,1025861
2019-04-25,264.01,264.39,260.44,263.84,987214
2019-04-26,246.42,253.86,238.295,253.58,5424309
2019-04-29,252.77,255.2,246.09,247.73,2419506
2019-04-30,248.38,251.71,247.68,251.06,1480870
2019-05-01,252.49,252.67,243.57,243.85,1372102
2019-05-02,243.6,247.9,243.11,245.95,1463373
2019-05-03,246.11,250.18,246.04,248.86,1202928
2019-05-06,244.01,248.94,243.53,248.48,854920
2019-05-07,245.0,247.03,241.61,244.41,1439471
2019-05-08,243.42,245.95,241.92,244.12,2088914
2019-05-09,241.79,243.12,237.72,241.3,1646342
2019-05-10,240.56,245.6,237.66,244.63,1407865
2019-05-13,237.94,241.11,236.03,236.93,1256416
2019-05-14,238.41,243.35,238.1,240.99,1704767
2019-05-15,239.56,244.39,239.04,243.14,985618
2019-05-16,244.0,249.41,244.0,247.55,1044505
2019-05-17,245.6,249.76,245.13,245.45,1294008
2019-05-20,242.67,245.32,240.63,243.69,957407
2019-05-21,245.76,247.14,244.05,246.08,979635
2019-05-22,244.82,248.1,244.82,247.53,865698
2019-05-23,245.08,246.64,240.14,241.31,1552149
2019-05-24,251.24,258.4,248.65,257.48,2702983
2019-05-28,256.4,259.26,254.17,255.7,3059705
2019-05-29,253.96,255.57,248.58,249.62,1675209
2019-05-30,250.0,251.49,245.86,248.08,1154681
2019-05-31,245.2,246.66,243.59,244.85,1361988
2019-06-03,245.2,248.56,236.75,238.07,1638609
2019-06-04,241.05,247.31,237.78,247.1,1664347
2019-06-05,249.41,252.48,248.31,252.12,1130208
2019-06-06,252.84,254.38,250.11,253.2,1055600
2019-06-07,254.03,260.6,253.81,257.47,1222003
2019-06-10,259.86,263.97,259.23,260.52,1157411
2019-06-11,262.8,264.0,254.95,256.73,1209395
2019-06-12,256.72,258.8,255.64,257.39,825863
2019-06-13,258.81,259.4,255.98,257.19,1756323
2019-06-14,256.37,257.34,253.95,254.13,1234221
2019-06-17,254.03,256.24,253.35,254.74,1282387
2019-06-18,257.31,259.35,256.15,258.22,1216295
2019-06-19,259.29,263.385,258.05,262.65,1032761
2019-06-20,265.8,268.43,263.99,266.66,1750592
2019-06-21,267.84,268.07,261.47,261.51,1856866
2019-06-24,263.07,264.12,261.37,262.34,1188560
2019-06-25,262.7,262.7,256.65,257.49,1015403
2019-06-26,259.29,260.49,256.38,256.5,1293461
2019-06-27,257.66,259.2,256.11,257.99,1459590
2019-06-28,258.1,262.01,257.75,261.33,1479175
2019-07-01,266.03,266.98,263.37,264.2,978036
2019-07-02,265.16,266.36,262.7,266.33,720167
2019-07-03,267.9,270.77,265.77,270.17,774657
2019-07-05,269.0,270.83,265.2,270.54,895216
2019-07-08,269.46,271.31,267.79,271.13,863841
2019-07-09,269.92,270.87,268.86,270.68,1135629
2019-07-10,273.06,275.92,272.7,274.81,1132190
2019-07-11,275.95,278.8,274.17,278.22,1867353
2019-07-12,278.41,281.84,278.23,281.65,1199733
2019-07-15,282.0,282.76,280.0,282.55,990786
2019-07-16,281.5,282.95,280.65,280.88,1155959
2019-07-17,280.9,282.37,280.11,280.63,797079
2019-07-18,279.98,283.03,279.03,282.88,1224029
2019-07-19,284.55,284.55,278.64,279.32,1599081
2019-07-22,280.41,282.49,279.17,281.15,723524
2019-07-23,282.3,283.08,278.28,281.9,1245838
2019-07-24,281.17,282.64,279.71,281.36,1414323
2019-07-25,279.98,282.43,279.16,281.6,868394
2019-07-26,282.16,284.97,281.45,283.77,788656
