date,open,high,low,close,volume
2019-01-02,85.32,88.44,85.0,88.12,3147818
2019-01-03,88.18,88.46,85.1,86.9,3182049
2019-01-04,88.45,91.15,87.95,90.84,3307308
2019-01-07,90.61,92.46,89.56,91.47,3474041
2019-01-08,92.29,92.57,90.17,91.39,2357255
2019-01-09,92.3,92.59,90.32,91.99,2588716
2019-01-10,91.75,92.99,90.37,92.94,2323660
2019-01-11,92.25,93.69,91.87,92.69,2102633
2019-01-14,91.79,93.15,91.32,92.83,2178577
2019-01-15,93.46,93.73,91.94,92.45,1953520
2019-01-16,92.12,93.37,91.86,92.99,2316210
2019-01-17,92.54,94.13,92.31,93.42,3069160
2019-01-18,94.32,95.76,92.9,95.3,4014857
2019-01-22,94.61,95.4,92.82,93.0,4733526
2019-01-23,93.29,93.79,92.21,92.63,2542409
2019-01-24,92.5,93.03,91.33,91.33,3194296
2019-01-25,92.25,93.62,91.61,93.02,2045409
2019-01-28,92.0,93.05,91.91,92.5,2349546
2019-01-29,92.73,93.69,91.89,93.35,2056493
2019-01-30,94.04,95.25,93.65,94.53,3093445
2019-01-31,96.1,96.6,95.07,95.41,4044490
2019-02-01,95.57,95.95,93.41,94.21,2618109
2019-02-04,93.8,94.76,93.21,94.76,2758451
2019-02-05,94.76,95.54,94.4,95.17,2849317
2019-02-06,94.65,95.44,94.34,94.42,3127817
2019-02-07,94.41,95.21,91.36,91.74,5291472
2019-02-08,94.92,95.17,91.72,93.52,4248380
2019-02-11,92.99,95.35,92.87,94.23,4229453
2019-02-12,95.25,95.49,93.91,94.0,2485975
2019-02-13,94.27,96.33,94.09,96.12,2627153
2019-02-14,95.57,96.23,95.09,95.65,2701720
2019-02-15,96.0,96.75,95.21,95.99,2647295
2019-02-19,95.44,96.96,95.39,96.75,2107968
2019-02-20,96.75,98.13,96.07,97.45,3586874
2019-02-21,97.28,98.27,96.4,96.81,2054025
2019-02-22,97.78,98.1,97.0,97.36,2102522
2019-02-25,97.15,97.7,97.01,97.29,1661041
2019-02-26,97.33,98.29,97.18,97.84,2274421
2019-02-27,98.1,98.84,97.33,97.64,1881874
2019-02-28,97.93,98.06,95.94,96.36,2351185
2019-03-01,96.82,97.86,96.46,97.48,2878955
2019-03-04,98.41,98.41,95.65,97.28,2386214
2019-03-05,97.47,97.89,96.82,97.46,2511854
2019-03-06,97.46,98.76,97.04,97.6,2644587
2019-03-07,97.58,97.71,95.89,96.45,3638046
2019-03-08,95.26,95.45,93.84,94.31,3334118
2019-03-11,95.14,96.8,94.82,96.67,2257371
2019-03-12,97.04,98.24,96.75,97.39,2362589
2019-03-13,98.05,98.35,97.38,98.08,2294506
2019-03-14,98.25,98.67,97.65,98.47,1663011
2019-03-15,98.0,99.8,97.9,98.52,3785836
2019-03-18,98.6,99.27,97.75,98.72,2530779
2019-03-19,99.29,100.41,98.56,98.89,2932645
2019-03-20,98.64,99.31,97.85,98.18,3292605
2019-03-21,98.04,99.14,97.87,98.55,2124044
2019-03-22,97.72,97.98,95.48,95.98,1856948
2019-03-25,95.76,95.97,94.93,95.86,1357466
