date,open,high,low,close,volume
2019-01-02,40.7,41.85,40.58,41.58,5835531
2019-01-03,41.35,41.7,40.49,40.72,10235967
2019-01-04,41.53,42.63,41.51,42.44,7058675
2019-01-07,42.22,43.07,42.0,42.74,8543657
2019-01-08,43.37,43.63,42.66,43.28,7784663
2019-01-09,43.55,43.92,43.32,43.83,5166136
2019-01-10,43.47,43.93,43.27,43.71,5205495
2019-01-11,43.31,44.06,43.18,43.82,4217453
2019-01-14,43.45,44.11,43.3,43.8,5815545
2019-01-15,43.55,44.29,43.35,44.25,6481807
2019-01-16,45.65,47.18,44.99,46.7,12599700
2019-01-17,46.37,47.25,46.03,46.92,7783191
2019-01-18,47.22,48.2,46.93,47.98,7954753
2019-01-22,47.65,47.979,47.18,47.47,9036568
2019-01-23,47.96,47.96,46.81,47.32,6993053
2019-01-24,47.21,47.85,47.14,47.38,4317676
2019-01-25,48.15,48.23,47.55,47.97,7786884
2019-01-28,47.46,47.87,47.26,47.52,7852529
2019-01-29,47.44,47.81,47.07,47.72,5303571
2019-01-30,47.81,47.81,46.76,46.87,7874970
2019-01-31,46.72,46.95,46.43,46.77,8322170
2019-02-01,46.88,47.52,46.77,47.03,6323278
2019-02-04,47.0,47.22,46.81,47.2,5377660
2019-02-05,47.2,47.5,46.12,46.59,11507321
2019-02-06,46.33,46.69,45.8,46.11,6299684
2019-02-07,45.76,46.0,44.77,45.18,6526143
2019-02-08,44.84,45.0,43.88,44.76,6512073
2019-02-11,45.04,45.21,44.5,44.74,4456229
2019-02-12,45.25,46.14,45.12,45.88,7018163
2019-02-13,46.12,46.61,45.87,45.98,6148408
2019-02-14,45.3,45.56,44.74,45.29,6082474
2019-02-15,45.75,46.38,45.64,46.36,7000238
2019-02-19,46.0,47.2,46.0,47.06,4977802
2019-02-20,46.06,46.52,45.7,46.45,8832256
2019-02-21,46.25,46.45,45.59,45.72,5519555
2019-02-22,45.91,46.18,45.745,46.17,3571792
2019-02-25,46.64,46.96,45.97,46.01,5390953
2019-02-26,45.77,46.94,45.76,46.56,3938111
2019-02-27,46.57,46.88,46.41,46.57,3582506
2019-02-28,46.55,46.69,45.98,46.01,5900400
2019-03-01,46.49,47.1,46.44,46.81,7008992
2019-03-04,47.0,47.06,45.14,45.65,6353859
2019-03-05,45.75,46.03,45.22,45.88,4432296
2019-03-06,45.84,46.16,45.23,45.26,3776283
2019-03-07,44.96,45.01,43.49,44.02,7948290
2019-03-08,43.63,43.67,43.11,43.45,6597850
2019-03-11,43.75,44.18,43.52,43.79,6048549
2019-03-12,43.94,44.16,43.73,43.99,4524196
2019-03-13,44.37,44.63,44.16,44.41,5602402
2019-03-14,44.27,45.36,44.01,45.3,9023410
2019-03-15,45.2,45.69,45.2,45.45,7283885
2019-03-18,45.67,46.0,45.61,45.9,3489078
2019-03-19,46.28,46.68,45.59,45.74,4461963
2019-03-20,45.58,45.92,44.5,44.56,8102205
2019-03-21,44.24,44.49,43.78,43.81,8840367
2019-03-22,43.13,43.35,41.55,41.8,11708681
2019-03-25,41.85,42.25,41.46,41.83,7921708
2019-03-26,42.31,42.75,42.21,42.55,10285454
2019-03-27,42.5,42.53,41.59,41.91,6557265
2019-03-28,42.04,42.69,41.76,42.69,8216982
2019-03-29,43.21,43.29,42.71,42.76,6539723
2019-04-01,43.35,44.24,43.2,44.13,5281304
2019-04-02,43.88,44.42,43.68,44.38,4147788
2019-04-03,44.89,44.95,44.42,44.63,5965476
2019-04-04,44.63,44.97,44.63,44.87,9045088
2019-04-05,44.95,44.99,44.41,44.55,6729074
2019-04-08,44.34,44.79,44.13,44.78,8415966
2019-04-09,44.3,44.63,44.08,44.45,6747875
2019-04-10,44.47,44.47,43.97,44.27,5796424
2019-04-11,44.48,44.74,44.05,44.26,6533527
2019-04-12,45.0,45.79,44.95,45.35,6815756
2019-04-15,46.75,46.75,44.5,45.03,8764674
2019-04-16,45.26,45.765,45.16,45.66,6166219
2019-04-17,45.92,46.19,45.3,46.1,7101961
2019-04-18,45.8,46.0,44.92,45.55,5666689
2019-04-22,45.49,45.55,45.18,45.45,4923474
2019-04-23,45.32,45.86,45.08,45.56,6883302
2019-04-24,45.34,45.34,44.37,45.07,4959905
2019-04-25,44.95,45.77,44.77,45.31,4214622
2019-04-26,45.29,45.4,44.41,44.9,6664201
2019-04-29,45.12,46.08,45.05,45.9,5292166
2019-04-30,45.85,46.14,45.11,45.78,6629027
2019-05-01,45.96,46.18,45.09,45.56,7019289
2019-05-02,45.49,46.33,45.41,45.88,4387342
2019-05-03,46.06,46.54,45.91,46.24,4086103
2019-05-06,45.39,46.41,45.1,46.26,4663680
2019-05-07,45.67,46.145,45.3,45.68,7113880
2019-05-08,45.55,46.15,45.52,45.58,3600677
2019-05-09,44.9,45.86,44.49,45.82,6288765
2019-05-10,45.59,46.15,44.72,45.85,6131874
2019-05-13,44.82,44.96,43.62,43.81,7828980
2019-05-14,43.71,44.79,43.62,44.34,5098176
2019-05-15,43.66,43.77,42.73,42.74,10343621
2019-05-16,43.01,44.11,42.96,43.74,8458499
2019-05-17,43.26,43.9,43.04,43.21,8971242
2019-05-20,43.13,43.78,43.08,43.55,7054979
2019-05-21,43.82,44.26,43.7,44.02,5868630
2019-05-22,43.74,43.84,43.41,43.57,5378599
2019-05-23,43.06,43.06,42.22,42.54,9351867
2019-05-24,42.72,43.34,42.72,43.25,4153236
2019-05-28,43.18,43.36,42.76,42.79,5174806
2019-05-29,42.42,42.92,41.95,42.77,6469811
2019-05-30,42.96,43.29,42.36,42.55,6269962
2019-05-31,41.91,42.14,41.45,41.61,9217868
2019-06-03,41.44,42.25,41.35,41.63,7054514
2019-06-04,42.36,43.95,42.34,43.84,8709584
2019-06-05,43.86,44.05,43.31,43.78,6189664
2019-06-06,43.72,44.15,43.48,43.93,5798684
2019-06-07,43.89,43.98,42.86,43.0,7468434
2019-06-10,43.45,44.04,43.19,43.31,7054767
2019-06-11,43.75,43.88,42.7,42.85,7601265
2019-06-12,42.73,42.88,41.68,42.1,7755376
2019-06-13,42.18,42.665,42.18,42.36,7258129
2019-06-14,42.33,42.46,40.62,41.01,14013632
2019-06-17,41.03,41.46,40.49,40.61,9341714
2019-06-18,40.16,41.44,40.06,40.91,10194219
2019-06-19,41.03,41.26,39.755,39.89,12627626
2019-06-20,40.18,40.32,39.36,40.03,12498797
2019-06-21,40.29,40.79,40.12,40.63,11441287
2019-06-24,40.19,40.34,39.13,39.15,9905502
2019-06-25,39.01,39.53,38.33,39.23,14207521
2019-06-26,39.37,39.99,39.31,39.67,8437843
2019-06-27,39.71,40.74,39.71,40.2,10128148
2019-06-28,40.66,41.21,40.12,40.19,15515652
2019-07-01,40.88,41.18,40.42,40.76,21533526
2019-07-02,40.46,40.74,40.13,40.19,6426921
2019-07-03,40.41,40.59,40.15,40.45,3019524
2019-07-05,40.82,41.48,40.73,40.86,6522313
2019-07-08,40.38,40.83,39.91,39.99,7209406
2019-07-09,39.75,40.31,39.61,40.27,7138845
2019-07-10,39.89,40.42,39.3,39.66,8562394
2019-07-11,39.85,40.54,39.66,40.46,6566220
2019-07-12,40.25,40.37,39.9,40.13,9983672
2019-07-15,40.2,42.13,39.87,40.3,8655043
2019-07-16,41.0,42.14,40.9,41.63,16155394
2019-07-17,41.46,41.61,40.81,41.21,7673782
2019-07-18,41.31,42.09,41.15,41.48,10956806
2019-07-19,41.75,43.04,41.63,42.72,12138906
2019-07-22,42.76,43.45,42.56,43.16,8774205
2019-07-23,43.26,43.75,43.22,43.53,10276961
2019-07-24,43.49,44.28,43.46,44.28,11347340
2019-07-25,44.45,44.55,43.76,44.07,8571957
2019-07-26,44.08,44.24,43.71,44.05,12260577
2019-07-29,43.9,44.09,43.51,43.71,7837476
2019-07-30,43.31,43.39,42.8,43.02,6223447
2019-07-31,43.17,43.49,42.8,43.22,9018404
2019-08-01,42.93,43.02,41.12,41.29,21228901
2019-08-02,41.32,41.55,40.33,40.75,8811908
2019-08-05,39.82,39.9,38.45,38.84,13878256
2019-08-06,39.36,39.57,38.73,39.41,9929988
2019-08-07,38.38,38.43,37.1,37.58,21892114
2019-08-08,37.69,37.8,37.16,37.45,14452080
2019-08-09,37.19,37.34,36.49,36.87,13647576
2019-08-12,36.35,36.53,36.01,36.41,9628652
2019-08-13,36.33,38.02,36.28,37.68,11458292
2019-08-14,36.52,37.13,36.09,36.59,13862219
2019-08-15,36.85,37.04,36.1,36.56,7587123
2019-08-16,36.85,37.53,36.78,37.14,6311761
2019-08-19,37.85,38.09,37.46,37.7,5361664
2019-08-20,37.4,37.59,37.01,37.32,6790544
2019-08-21,37.87,37.9,37.35,37.61,4950378
2019-08-22,37.99,38.16,37.62,37.87,6901632
2019-08-23,37.55,38.03,36.35,36.58,8736678
2019-08-26,37.0,37.15,36.52,36.67,5920464
2019-08-27,36.84,37.1,36.11,36.12,9081812
2019-08-28,35.87,36.82,35.85,36.73,10093428
2019-08-29,37.09,37.95,37.06,37.76,7658240
2019-08-30,38.18,38.42,37.91,38.27,6896913
2019-09-03,38.01,38.11,37.3,37.96,7749754
2019-09-04,38.53,38.73,38.33,38.67,6904044
2019-09-05,39.49,40.37,39.32,39.62,9395037
2019-09-06,39.59,40.1,39.44,39.9,7042223
2019-09-09,40.28,41.32,40.28,41.1,7962476
