date,open,high,low,close,volume
2019-01-02,169.27,171.27,167.0,169.85,1362231
2019-01-03,169.29,169.4,163.99,164.37,1569497
2019-01-04,167.03,172.92,166.64,172.26,1946771
2019-01-07,171.91,175.32,171.91,173.64,1820516
2019-01-08,174.76,175.25,173.05,175.23,1426664
2019-01-09,175.14,176.29,173.28,173.66,1280085
2019-01-10,173.42,177.3,172.9,177.15,1406091
2019-01-11,176.91,177.72,175.17,175.98,1018802
2019-01-14,174.33,177.58,174.01,177.02,1396919
2019-01-15,176.42,181.77,176.12,181.62,1454973
2019-01-16,182.4,185.74,182.0,185.0,1995328
2019-01-17,183.74,186.0,183.35,185.32,1178585
2019-01-18,186.51,188.81,185.61,188.64,1424163
2019-01-22,187.93,188.47,186.26,187.29,4011417
2019-01-23,187.54,188.72,186.76,187.6,2519269
2019-01-24,187.5,189.56,187.22,188.57,1684785
2019-01-25,189.89,190.56,188.52,189.31,1070849
2019-01-28,188.07,188.35,185.08,188.16,1763755
2019-01-29,187.73,188.13,185.76,186.35,1220821
2019-01-30,186.99,189.4,185.59,189.01,1215559
2019-01-31,188.64,191.85,187.52,191.65,1623954
2019-02-01,192.1,195.16,191.16,193.83,1147280
2019-02-04,194.09,194.89,192.11,194.41,1502732
2019-02-05,194.6,195.58,193.9,194.9,1420652
2019-02-06,194.72,195.09,192.85,192.95,1721267
2019-02-07,191.0,197.03,187.31,195.0,2398522
2019-02-08,189.77,193.72,189.21,193.59,1845236
2019-02-11,193.73,195.47,192.84,194.13,1519912
2019-02-12,195.74,196.31,194.68,195.25,1136749
2019-02-13,196.0,197.8,195.33,197.18,1410853
2019-02-14,195.95,196.74,194.81,195.87,1032986
2019-02-15,197.46,198.99,196.61,198.32,1106784
2019-02-19,197.89,198.31,197.35,197.65,1013626
2019-02-20,198.14,198.46,197.12,198.02,1266899
2019-02-21,197.52,198.54,197.0,198.15,1100042
2019-02-22,199.15,202.0,198.9,201.88,987631
2019-02-25,202.97,204.27,201.54,201.94,1166759
2019-02-26,201.5,202.62,201.02,201.48,1054035
2019-02-27,201.12,202.29,200.24,201.72,1054906
2019-02-28,201.9,202.98,200.21,200.37,1329947
2019-03-01,202.13,203.49,201.38,201.84,1098422
2019-03-04,202.98,203.49,198.38,199.89,1019126
2019-03-05,200.39,200.93,197.89,197.96,938387
2019-03-06,198.02,198.7,196.11,197.32,890084
2019-03-07,196.55,196.92,194.95,196.48,1103010
2019-03-08,195.04,196.6,194.99,196.33,664438
2019-03-11,197.14,198.64,196.63,197.24,856063
2019-03-12,197.8,198.41,197.18,197.5,1050374
2019-03-13,196.87,200.14,196.61,199.7,1115545
2019-03-14,199.79,201.65,198.98,201.6,1424021
2019-03-15,201.65,203.26,200.39,203.18,2047748
2019-03-18,203.44,206.73,203.44,205.72,1778441
2019-03-19,207.41,208.71,206.32,207.86,2051023
2019-03-20,206.86,208.08,204.74,206.28,1534833
2019-03-21,205.32,210.54,204.52,209.77,1275592
2019-03-22,207.32,208.81,205.22,205.49,882685
2019-03-25,206.03,206.09,203.86,205.01,760869
2019-03-26,206.15,206.81,204.63,206.13,815049
2019-03-27,205.8,206.66,204.24,205.18,1095770
2019-03-28,205.88,207.92,205.5,207.66,716401
2019-03-29,208.99,211.27,208.08,210.55,1400155
2019-04-01,212.02,213.62,211.33,212.9,1135966
2019-04-02,213.01,213.5,210.16,213.22,719883
2019-04-03,214.5,214.93,213.0,213.6,896437
2019-04-04,214.01,214.27,212.46,212.65,605215
2019-04-05,213.6,214.99,213.07,214.53,743472
2019-04-08,214.29,214.5,212.7,213.65,634292
2019-04-09,212.42,215.25,212.01,214.81,990080
2019-04-10,215.36,215.7,212.43,212.68,850218
2019-04-11,214.14,214.14,212.65,213.13,1403658
2019-04-12,214.7,214.93,213.22,214.93,793052
2019-04-15,215.43,216.53,214.57,216.47,667148
2019-04-16,217.15,217.94,216.72,216.95,607431
2019-04-17,217.67,217.67,214.3,215.39,716482
2019-04-18,215.07,217.55,214.08,217.2,758691
2019-04-22,216.42,217.77,216.06,217.16,872899
2019-04-23,216.99,218.05,215.9,217.99,1059042
2019-04-24,216.18,219.2,216.18,218.38,861517
2019-04-25,217.88,219.86,216.68,219.2,651036
2019-04-26,219.2,220.3,217.535,220.27,565178
2019-04-29,220.18,220.92,219.47,219.7,1016097
2019-04-30,220.0,220.87,218.69,220.66,1066164
2019-05-01,220.99,222.0,219.3,219.45,1113928
2019-05-02,215.99,219.81,212.74,217.17,1373589
2019-05-03,217.03,218.61,215.42,217.88,1128985
2019-05-06,214.44,220.04,213.59,219.61,973056
2019-05-07,217.57,217.57,212.59,214.6,1078589
2019-05-08,213.37,216.67,213.35,214.73,1242114
2019-05-09,212.58,213.74,210.5,213.12,1331311
2019-05-10,212.39,214.68,209.41,214.33,900201
2019-05-13,211.17,211.69,205.93,208.68,1538223
2019-05-14,209.27,214.62,209.27,211.83,1117629
2019-05-15,210.67,213.34,209.85,211.72,1232544
2019-05-16,212.88,216.39,208.72,215.29,885272
2019-05-17,213.23,215.31,212.51,212.94,1686721
2019-05-20,211.92,213.36,210.6,211.83,1067487
2019-05-21,216.58,217.22,213.74,216.93,1696771
2019-05-22,216.77,220.34,216.71,217.6,1288293
2019-05-23,216.16,216.47,212.57,213.99,1046544
2019-05-24,215.33,215.33,211.89,214.33,1275478
2019-05-28,214.37,217.3,214.11,214.52,1593566
2019-05-29,214.23,217.96,214.19,216.54,1237945
2019-05-30,216.55,219.63,216.21,217.16,733769
2019-05-31,215.77,215.87,213.29,213.88,1095507
2019-06-03,214.39,216.03,211.35,212.97,849831
2019-06-04,215.38,215.74,210.49,214.83,1254198
2019-06-05,216.36,220.89,216.17,220.27,1313044
2019-06-06,221.38,222.45,220.37,222.01,763678
2019-06-07,222.5,225.22,222.04,224.67,948869
2019-06-10,225.9,227.64,225.05,227.13,833956
2019-06-11,228.68,229.0,221.37,222.69,839636
2019-06-12,222.73,224.5,222.12,224.2,530501
2019-06-13,224.63,225.52,222.88,224.45,559682
2019-06-14,224.64,225.7,222.22,224.9,717882
2019-06-17,225.23,225.84,223.95,224.17,823064
2019-06-18,225.28,227.07,225.0,226.23,796166
2019-06-19,227.05,231.25,226.37,230.57,1130424
2019-06-20,232.52,235.58,230.38,231.28,1339850
2019-06-21,230.86,231.18,228.58,228.7,1519541
2019-06-24,228.94,230.0,228.48,228.85,799303
2019-06-25,229.66,230.7,227.89,227.98,1152261
2019-06-26,228.55,229.22,225.38,226.4,918898
2019-06-27,226.93,227.81,225.68,226.99,666796
2019-06-28,227.89,229.44,227.07,227.79,1813501
2019-07-01,230.59,233.3,229.77,232.26,959157
2019-07-02,231.97,235.67,231.97,234.98,914503
2019-07-03,236.22,238.18,234.78,238.14,868469
2019-07-05,238.65,238.99,234.74,237.0,775149
2019-07-08,235.18,235.54,231.02,232.39,740611
2019-07-09,230.44,231.88,229.79,231.48,1065197
2019-07-10,233.21,236.0,233.21,234.76,916546
2019-07-11,235.47,238.56,234.5,238.44,720448
2019-07-12,239.48,241.29,238.01,241.26,1338433
2019-07-15,240.95,241.92,239.76,240.89,565121
2019-07-16,239.69,240.94,239.06,240.03,606861
2019-07-17,240.07,241.76,239.71,240.42,1011591
2019-07-18,240.62,242.41,239.86,241.11,865736
2019-07-19,242.09,242.8,239.61,239.93,1279442
2019-07-22,240.52,242.45,239.71,241.46,989678
2019-07-23,242.11,243.94,240.53,243.42,997125
2019-07-24,242.31,243.24,238.86,243.09,1059319
2019-07-25,242.72,243.0,240.76,242.35,894677
2019-07-26,243.04,244.53,242.52,244.35,760660
2019-07-29,244.38,244.98,242.98,243.3,677180
2019-07-30,242.74,242.74,241.15,241.93,860544
2019-07-31,242.55,248.71,242.05,244.95,2239594
2019-08-01,252.66,262.83,252.21,257.22,2297290
2019-08-02,256.95,258.13,252.68,253.95,1335243
2019-08-05,251.37,251.37,242.24,244.18,1736882
2019-08-06,245.34,247.05,242.53,245.82,2488716
