date,open,high,low,close,volume
2019-01-02,160.06,165.51,159.3,164.04,1747222
2019-01-03,163.1,164.32,160.92,161.6,2391979
2019-01-04,163.02,166.72,162.16,166.62,3369603
2019-01-07,169.45,172.33,168.08,170.12,3553084
2019-01-08,171.65,173.4,170.11,172.34,3418558
2019-01-09,152.61,161.26,150.37,150.94,17157524
2019-01-10,156.5,161.48,155.56,159.93,7659016
2019-01-11,160.0,160.73,157.2,159.21,3835386
2019-01-14,158.22,161.75,158.22,160.86,2874460
2019-01-15,161.09,161.09,158.87,160.53,1824000
2019-01-16,160.24,161.67,158.82,159.88,1918217
2019-01-17,159.09,160.85,157.14,160.36,1725458
2019-01-18,161.79,166.1,161.5,164.15,2952476
2019-01-22,165.98,167.92,163.47,164.73,2553825
2019-01-23,165.27,165.96,164.27,165.59,2700396
2019-01-24,165.39,165.75,163.71,164.79,2163388
2019-01-25,166.0,167.31,165.86,166.8,2349477
2019-01-28,166.56,168.58,165.7,167.9,2636487
2019-01-29,167.92,168.5,167.24,168.15,3067198
2019-01-30,168.58,170.67,168.13,170.61,2486860
2019-01-31,171.1,173.77,170.15,173.66,2457264
2019-02-01,174.15,174.58,172.74,173.75,2531434
2019-02-04,174.25,174.3,171.96,172.81,1483413
2019-02-05,173.7,176.46,173.34,174.72,2604569
2019-02-06,174.34,174.68,171.35,172.29,1651796
2019-02-07,171.62,174.68,171.31,174.05,1896369
2019-02-08,174.1,175.22,173.55,175.22,1344186
2019-02-11,174.58,175.87,171.66,172.77,2021302
2019-02-12,172.31,173.03,170.87,171.94,1979961
2019-02-13,173.93,176.13,173.01,174.77,4736453
2019-02-14,174.91,175.0,173.05,173.96,2484491
2019-02-15,175.26,176.19,173.56,174.91,1965554
2019-02-19,174.98,176.39,174.05,174.72,2072329
2019-02-20,175.41,176.78,166.36,166.98,5401775
2019-02-21,167.35,167.75,163.99,165.65,5426664
2019-02-22,165.72,169.365,165.5,169.06,3913931
2019-02-25,170.3,170.75,166.85,167.15,1695090
2019-02-26,167.08,169.78,167.08,169.41,1495989
2019-02-27,168.75,169.33,167.85,169.25,1112449
2019-02-28,169.94,170.44,168.69,169.16,1540589
2019-03-01,170.2,171.95,169.95,171.94,1508795
2019-03-04,172.57,172.79,169.05,170.63,1828667
2019-03-05,170.22,170.22,167.1,167.47,2601723
2019-03-06,167.6,168.91,165.72,166.06,1292758
2019-03-07,168.45,169.57,166.36,167.64,1595857
2019-03-08,166.85,167.86,165.32,166.19,1146304
2019-03-11,167.06,168.76,166.45,168.33,1043499
2019-03-12,168.54,169.45,167.85,168.81,997877
2019-03-13,169.83,171.9,169.71,170.66,1379291
2019-03-14,170.5,171.29,169.31,170.61,1239988
2019-03-15,171.48,172.81,169.8,170.45,2682758
2019-03-18,171.08,171.38,170.3,171.08,856377
2019-03-19,171.21,171.23,166.01,167.33,2187165
2019-03-20,167.33,167.61,163.52,164.6,2815881
2019-03-21,164.22,169.51,164.17,169.39,1622562
2019-03-22,168.41,170.42,167.52,169.53,1553191
2019-03-25,168.64,169.15,166.75,168.04,1384114
2019-03-26,168.54,171.87,168.28,171.71,2077030
2019-03-27,170.23,171.89,169.44,170.12,1217417
2019-03-28,170.25,172.52,169.89,172.5,1170905
2019-03-29,172.97,176.46,172.76,175.33,2193855
2019-04-01,176.91,178.59,174.52,177.59,2908797
2019-04-02,178.25,178.61,175.5,176.71,2237676
2019-04-03,177.26,179.77,176.81,179.69,2644064
2019-04-04,178.51,193.19,178.12,191.45,7719566
2019-04-05,191.5,193.71,189.16,193.3,4639917
2019-04-08,192.5,192.66,190.56,192.34,2866400
2019-04-09,191.34,192.33,189.56,190.89,1917902
2019-04-10,191.0,191.6,188.63,190.1,1399082
2019-04-11,190.03,191.6,189.11,191.17,1847321
2019-04-12,192.2,192.52,190.23,190.53,948635
2019-04-15,190.69,191.0,189.32,190.92,1447770
2019-04-16,191.01,191.46,189.55,190.01,2025442
2019-04-17,190.95,192.87,189.85,191.58,1090926
2019-04-18,193.34,199.88,193.34,198.8,2881485
2019-04-22,198.53,205.75,198.26,205.46,2196943
2019-04-23,206.83,209.2,204.93,207.48,2256729
2019-04-24,208.15,210.42,207.9,210.14,1666897
2019-04-25,208.81,214.48,208.81,212.16,1900975
2019-04-26,213.0,214.36,211.5,212.16,1329576
2019-04-29,212.36,213.34,210.68,212.54,1078610
2019-04-30,212.1,212.77,209.91,211.67,1532818
2019-05-01,211.6,213.7,211.21,212.09,876761
2019-05-02,211.14,211.69,207.66,209.12,1569378
2019-05-03,210.13,212.06,209.79,211.4,1114028
2019-05-06,208.28,211.3,208.0,210.41,1166519
2019-05-07,209.13,209.64,206.74,207.87,1227879
