date,open,high,low,close,volume
2019-01-02,155.87,157.72,153.43,154.5,1749957
2019-01-03,155.02,155.78,151.63,152.46,2320100
2019-01-04,154.24,158.86,154.24,157.06,1785159
2019-01-07,156.78,159.68,156.35,157.0,1617581
2019-01-08,158.05,159.47,156.54,158.9,1499782
2019-01-09,160.03,161.88,159.43,159.8,1216154
2019-01-10,159.01,161.45,158.21,161.34,1015672
2019-01-11,160.06,160.62,158.9,159.49,1116072
2019-01-14,158.23,159.41,157.55,157.66,1327213
2019-01-15,157.52,162.22,157.43,162.14,1700682
2019-01-16,161.84,164.34,161.52,163.4,1792609
2019-01-17,162.75,164.91,162.73,164.41,1164182
2019-01-18,165.75,168.19,164.82,167.55,2021972
2019-01-22,166.86,167.72,164.52,165.88,2400559
2019-01-23,165.98,167.35,164.34,165.78,1177013
2019-01-24,166.08,167.45,165.37,167.3,1209895
2019-01-25,168.08,168.12,165.44,165.76,1467200
2019-01-28,164.72,165.21,161.89,162.0,1927266
2019-01-29,162.13,163.43,160.79,161.07,1823085
2019-01-30,176.01,181.18,174.79,179.39,5426212
2019-01-31,178.34,179.48,176.85,177.57,2909618
2019-02-01,177.89,178.99,176.47,177.31,1546844
2019-02-04,176.98,177.72,175.74,177.14,1376818
2019-02-05,177.9,179.85,177.48,179.35,1261782
2019-02-06,179.14,180.8,178.5,180.7,950225
2019-02-07,179.24,180.81,179.05,180.75,1351867
2019-02-08,179.62,182.69,179.56,182.66,1317717
2019-02-11,183.61,183.96,182.55,183.53,1480372
2019-02-12,184.86,185.81,183.12,185.66,1372195
2019-02-13,185.9,186.17,183.42,185.29,1256967
2019-02-14,185.0,186.75,184.36,185.54,866866
2019-02-15,187.4,187.69,186.33,186.83,1802792
2019-02-19,186.84,187.4,185.73,186.11,1356942
2019-02-20,186.24,188.09,186.11,187.64,1157260
2019-02-21,186.94,188.27,186.54,187.58,1010536
2019-02-22,187.85,188.79,187.42,188.67,813101
2019-02-25,189.14,189.69,186.23,187.48,1868977
2019-02-26,187.32,187.32,184.18,185.24,2152791
2019-02-27,184.33,187.56,184.33,186.77,1140439
2019-02-28,186.48,189.57,186.07,188.51,1358453
2019-03-01,189.62,191.84,189.09,191.58,1344179
2019-03-04,192.63,193.0,187.45,190.67,1111492
2019-03-05,190.56,190.67,188.7,189.93,828609
2019-03-06,190.01,190.33,187.47,188.34,764379
2019-03-07,188.33,188.96,186.58,187.06,1168694
2019-03-08,186.11,187.34,184.5,187.23,968816
2019-03-11,188.39,189.46,187.26,189.22,819745
2019-03-12,189.78,191.23,189.33,190.8,891435
2019-03-13,191.5,192.95,191.05,191.84,842829
2019-03-14,192.84,193.35,191.12,193.35,998374
2019-03-15,193.07,194.8,192.91,194.04,1734335
2019-03-18,194.61,194.61,192.5,193.58,1801072
2019-03-19,194.88,196.27,193.28,196.12,1212562
2019-03-20,196.13,198.75,195.39,197.14,1265201
2019-03-21,196.06,198.71,196.06,198.0,897176
2019-03-22,197.13,197.71,194.4,194.44,932722
2019-03-25,194.73,195.4,193.32,195.17,916094
2019-03-26,196.76,197.32,195.36,196.08,800589
2019-03-27,195.9,196.78,193.57,196.2,917377
2019-03-28,196.21,196.43,194.36,196.12,555169
2019-03-29,197.01,197.87,195.86,197.52,1023774
2019-04-01,199.25,199.85,195.46,196.1,1625942
2019-04-02,196.0,196.42,194.83,195.17,919683
2019-04-03,196.27,196.88,194.09,194.84,1154670
2019-04-04,195.19,195.45,193.32,193.71,729266
2019-04-05,194.3,196.0,193.78,195.24,640145
2019-04-08,195.43,196.04,192.79,195.74,1162140
2019-04-09,195.07,196.69,194.51,195.97,701925
2019-04-10,195.65,197.83,194.83,196.14,774545
2019-04-11,196.26,196.26,194.7,195.33,667172
2019-04-12,196.22,196.37,192.52,192.67,1457745
2019-04-15,193.13,193.9,192.4,193.42,1445574
2019-04-16,194.72,194.87,187.89,189.04,1683602
2019-04-17,189.42,189.5,180.0,180.24,3369540
2019-04-18,180.08,180.83,174.84,180.26,3396733
2019-04-22,180.29,183.69,179.45,182.16,1896425
2019-04-23,183.0,187.33,182.02,186.96,2931543
2019-04-24,183.62,188.89,181.93,185.04,2735884
2019-04-25,183.6,187.82,183.6,187.17,1493239
2019-04-26,187.9,188.67,185.68,188.28,890343
2019-04-29,187.83,188.16,185.95,187.29,897984
2019-04-30,187.54,189.15,186.75,188.91,1063285
2019-05-01,188.75,188.9,186.08,186.7,972012
2019-05-02,186.92,189.11,186.52,188.85,1126312
