date,open,high,low,close,volume
2019-01-02,50.68,53.74,50.67,53.53,21646296
2019-01-03,53.41,53.62,52.22,52.56,21183012
2019-01-04,54.01,55.38,53.66,55.13,24205106
2019-01-07,55.33,56.21,54.8,55.61,20634140
2019-01-08,56.03,56.19,54.76,55.46,18840135
2019-01-09,55.71,56.74,55.61,56.38,19359050
2019-01-10,55.99,56.96,55.7,56.44,16910049
2019-01-11,56.46,57.42,56.03,56.69,23087497
2019-01-14,56.1,59.3,55.7,58.93,34783396
2019-01-15,59.89,61.82,59.55,61.38,42694236
2019-01-16,61.95,62.82,61.24,62.19,27628897
2019-01-17,61.63,62.75,61.33,62.47,22728884
2019-01-18,62.86,63.19,62.01,63.12,19947263
2019-01-22,62.67,62.81,61.43,61.85,24608659
2019-01-23,62.27,62.48,61.15,62.13,16819784
2019-01-24,61.74,62.92,61.74,62.71,14962224
2019-01-25,63.33,64.45,63.23,64.02,15827738
2019-01-28,63.19,64.06,63.1,63.85,12683535
2019-01-29,63.71,64.07,63.15,63.21,13472044
2019-01-30,63.46,64.74,62.99,64.22,15929637
2019-01-31,63.65,64.6,63.64,64.46,19442632
2019-02-01,64.25,64.66,63.59,63.67,16991809
2019-02-04,63.5,64.06,63.2,64.06,11515532
2019-02-05,64.19,64.2,63.35,63.81,13310928
2019-02-06,63.83,64.61,63.56,63.89,13774373
2019-02-07,63.61,63.63,61.91,62.81,17922418
2019-02-08,62.13,62.52,61.01,62.01,15770774
2019-02-11,62.41,62.43,61.42,61.61,14614108
2019-02-12,62.15,63.34,62.15,62.67,14347375
2019-02-13,63.3,63.75,62.97,63.04,10710490
2019-02-14,62.35,62.86,61.42,62.42,12855299
2019-02-15,63.14,64.58,63.01,64.27,17908930
2019-02-19,63.73,64.65,63.52,64.38,11013857
2019-02-20,64.5,64.7,64.14,64.64,10545040
2019-02-21,64.55,64.94,64.035,64.32,10696370
2019-02-22,64.63,65.14,63.84,64.14,14003814
2019-02-25,64.59,65.43,64.45,64.53,12853042
2019-02-26,64.09,64.67,63.89,64.12,12912844
2019-02-27,64.24,64.58,63.68,64.4,13495687
2019-02-28,64.46,64.66,63.84,63.98,14209279
2019-03-01,64.78,65.69,64.11,64.47,14375999
2019-03-04,64.53,65.3,63.11,63.75,15786620
2019-03-05,63.66,63.66,61.91,62.93,18754938
2019-03-06,62.7,63.07,62.1,62.51,12711218
2019-03-07,62.03,62.12,61.21,61.9,15788882
2019-03-08,60.96,62.12,60.76,62.06,14304390
2019-03-11,62.53,62.96,62.18,62.31,14167594
2019-03-12,62.3,62.94,61.96,62.81,14772224
2019-03-13,63.14,64.23,63.0,63.65,13781080
2019-03-14,63.69,64.27,63.42,64.11,12193611
2019-03-15,64.16,65.27,64.02,65.19,37840256
2019-03-18,65.21,66.18,65.21,65.93,15601081
2019-03-19,66.46,66.83,65.35,65.63,12723634
2019-03-20,65.26,65.6,64.22,64.3,17494005
2019-03-21,63.67,64.31,62.92,63.91,18638315
2019-03-22,62.98,63.23,60.45,60.98,27527409
2019-03-25,60.98,61.66,60.05,60.33,20899330
2019-03-26,60.99,61.35,60.53,61.22,14740326
2019-03-27,61.38,61.66,60.72,60.73,16359644
2019-03-28,60.95,62.0,60.82,61.98,12081006
2019-03-29,62.33,62.81,61.96,62.22,13406277
2019-04-01,62.85,64.63,62.82,64.36,17736349
2019-04-02,64.24,64.86,63.92,64.42,9915808
2019-04-03,64.99,65.35,64.53,65.06,11560760
2019-04-04,64.81,66.2,64.81,65.82,11915953
2019-04-05,65.93,66.41,65.19,65.55,11062395
2019-04-08,65.13,66.1,65.02,66.07,10466431
2019-04-09,65.6,65.6,64.68,65.2,10221046
2019-04-10,65.48,65.69,64.78,65.52,12293298
2019-04-11,65.8,66.44,65.31,65.91,11358655
2019-04-12,67.08,68.31,66.64,67.42,19238667
2019-04-15,67.39,67.78,66.27,67.38,19493878
2019-04-16,67.5,69.42,67.39,69.31,18635743
