date,open,high,low,close,volume
2019-01-02,77.22,80.64,77.2,80.37,3176781
2019-01-03,79.45,80.35,77.62,78.71,3747137
2019-01-04,80.82,85.25,80.04,84.42,7254381
2019-01-07,84.89,88.1,83.44,87.59,6611453
2019-01-08,88.46,89.74,87.69,89.02,6468299
2019-01-09,89.81,90.99,87.89,88.91,4178767
2019-01-10,88.79,91.44,88.52,91.01,4745577
2019-01-11,90.67,91.59,89.91,90.7,3757614
2019-01-14,89.62,89.98,88.42,88.58,3351586
2019-01-15,88.96,89.58,88.37,89.49,2794651
2019-01-16,88.0,90.09,85.96,89.92,6613145
2019-01-17,87.95,89.85,87.65,89.31,4283301
2019-01-18,90.31,93.16,90.23,92.52,5403618
2019-01-22,91.68,91.99,90.01,91.31,4474677
2019-01-23,91.93,92.0,88.44,89.13,4085955
2019-01-24,89.36,91.55,88.53,91.48,3167912
2019-01-25,92.45,92.98,90.87,91.74,4168627
2019-01-28,89.45,90.65,88.65,90.47,4339507
2019-01-29,89.89,89.89,86.82,87.24,3961361
2019-01-30,87.62,89.27,86.85,89.23,3797870
2019-01-31,89.98,92.8,89.55,92.24,4148221
2019-02-01,92.2,92.8,90.83,91.22,2890254
2019-02-04,91.06,91.07,88.19,88.43,5982459
2019-02-05,89.06,92.85,88.89,92.52,11931365
2019-02-06,79.14,81.59,78.0,80.21,30198566
2019-02-07,79.9,85.59,79.9,84.1,11391297
2019-02-08,86.51,97.65,85.0,97.6,26898538
2019-02-11,102.16,106.95,96.73,97.24,38704497
2019-02-12,106.31,106.7,99.02,102.33,31161274
2019-02-13,104.56,105.24,100.68,102.25,15890024
2019-02-14,101.41,105.87,101.0,105.25,10547006
2019-02-15,107.4,108.8,104.73,106.84,11254941
2019-02-19,105.75,105.75,101.29,102.96,10882724
2019-02-20,102.43,102.91,97.55,98.63,10649055
2019-02-21,98.77,98.99,96.0,96.86,8104311
2019-02-22,97.06,97.31,92.85,95.92,11616973
2019-02-25,96.32,96.63,93.64,95.86,7046593
2019-02-26,95.65,99.61,94.82,98.5,8701117
2019-02-27,98.82,100.81,97.4,97.84,5207571
2019-02-28,97.96,98.64,95.67,95.78,5695040
2019-03-01,96.83,97.94,95.31,97.41,4443555
2019-03-04,98.31,99.43,95.57,97.29,7187191
2019-03-05,96.26,97.06,95.15,95.72,6041906
2019-03-06,95.32,96.38,94.13,94.77,3987900
2019-03-07,95.0,99.56,94.47,99.36,8866789
2019-03-08,97.96,99.75,97.48,98.36,7357914
2019-03-11,98.6,99.96,97.94,99.04,4623846
2019-03-12,99.4,99.5,98.15,98.59,3737617
2019-03-13,98.69,101.08,97.77,100.13,6979996
2019-03-14,100.22,100.34,97.54,98.83,5908938
2019-03-15,99.66,100.15,98.24,98.98,5140900
2019-03-18,99.16,99.89,96.73,99.66,5112965
2019-03-19,100.33,100.55,97.0,97.51,6156778
2019-03-20,97.44,98.39,96.35,97.03,4824238
2019-03-21,96.49,105.0,96.49,104.88,9533430
2019-03-22,104.43,104.48,101.16,102.34,7159188
2019-03-25,102.4,103.54,100.87,101.73,3812422
2019-03-26,102.66,104.55,101.5,102.32,4059325
2019-03-27,102.7,102.86,100.28,100.67,2900802
2019-03-28,100.71,102.47,100.28,102.2,2347131
2019-03-29,102.65,102.97,101.24,101.63,3180841
2019-04-01,103.03,103.95,101.62,102.67,2879586
2019-04-02,103.01,103.1,100.16,100.84,3157478
2019-04-03,100.91,102.16,100.07,100.15,3522844
2019-04-04,99.99,100.3,97.59,97.94,4308700
2019-04-05,98.5,99.89,97.96,99.43,3737973
2019-04-08,99.01,99.42,95.66,97.95,3951412
2019-04-09,97.54,99.15,97.4,98.25,2543247
2019-04-10,98.58,100.35,98.38,99.63,2199499
2019-04-11,100.0,101.4,99.63,100.58,2530518
2019-04-12,101.13,102.39,100.32,101.83,2375867
2019-04-15,100.55,100.99,97.12,97.85,3965643
2019-04-16,97.41,97.5,92.8,93.83,7638941
2019-04-17,94.46,94.46,91.0,91.95,9779037
2019-04-18,92.07,93.58,91.1,93.14,4262167
2019-04-22,92.75,93.04,91.88,92.52,3011254
2019-04-23,93.1,94.96,92.84,94.63,3850762
2019-04-24,94.9,95.28,93.87,94.15,3041453
2019-04-25,94.15,94.2,92.68,92.98,2993048
2019-04-26,93.46,94.58,92.82,94.47,3496275
2019-04-29,94.89,95.59,94.15,94.73,3122574
2019-04-30,94.49,95.08,93.8,94.65,2824595
2019-05-01,95.01,97.2,94.74,94.86,4264341
2019-05-02,95.25,96.33,93.89,94.4,3609504
2019-05-03,93.7,93.88,90.7,92.5,6385830
2019-05-06,91.1,93.99,90.52,93.76,4413673
2019-05-07,93.11,93.4,91.83,92.73,7090922
2019-05-08,99.11,99.57,92.18,93.88,17468496
2019-05-09,92.52,94.24,92.2,93.32,5159057
2019-05-10,93.03,94.16,91.01,93.88,3979135
2019-05-13,92.01,93.12,89.91,90.42,3685460
2019-05-14,90.92,95.52,90.75,94.57,5769319
2019-05-15,93.8,98.32,93.66,96.77,4694707
2019-05-16,96.74,99.05,96.11,99.0,3728643
2019-05-17,98.26,98.95,96.65,97.26,3031453
2019-05-20,95.44,96.0,92.31,92.69,3842911
2019-05-21,93.4,96.25,93.25,95.65,3958210
2019-05-22,94.84,95.6,93.63,93.84,1831462
2019-05-23,93.34,94.74,91.36,92.11,3072471
2019-05-24,92.67,93.31,91.49,92.27,2262634
2019-05-28,92.98,94.21,92.64,93.5,2729288
2019-05-29,92.76,93.81,91.81,92.55,1889406
2019-05-30,92.74,93.04,91.5,92.13,2513477
2019-05-31,90.9,93.28,90.89,93.08,2818733
2019-06-03,93.29,94.24,90.78,91.31,3405405
2019-06-04,91.59,94.21,90.19,94.13,2833472
2019-06-05,93.69,95.99,93.69,95.25,2584353
2019-06-06,95.96,97.38,95.06,96.39,2654213
2019-06-07,97.0,98.69,96.57,96.99,2021498
2019-06-10,98.0,98.13,94.05,95.51,2503249
2019-06-11,96.38,96.5,94.25,94.58,2097828
2019-06-12,94.8,94.96,91.72,92.67,2579225
2019-06-13,92.92,94.34,92.41,93.57,2526846
2019-06-14,93.56,93.79,90.46,92.73,3297391
2019-06-17,92.62,93.51,92.0,92.44,2431950
2019-06-18,93.48,95.3,91.94,92.03,3955867
2019-06-19,92.39,93.18,91.32,92.58,2795310
2019-06-20,93.75,94.89,93.07,93.19,2578264
2019-06-21,92.98,95.98,91.4,95.33,6237433
2019-06-24,95.66,99.56,95.23,99.0,5066835
2019-06-25,98.77,99.11,96.08,96.9,3364203
2019-06-26,97.51,98.04,95.62,97.32,2827051
2019-06-27,97.67,99.68,96.85,99.14,2907748
2019-06-28,100.74,101.45,99.23,101.26,5185192
2019-07-01,102.65,102.88,99.82,100.89,3452380
2019-07-02,101.76,103.59,100.79,102.72,3935328
2019-07-03,103.0,103.19,97.59,98.11,4659692
2019-07-05,97.77,97.83,91.35,93.6,11794145
2019-07-08,93.44,93.63,91.42,93.44,4512647
2019-07-09,92.5,92.7,90.54,92.05,4747034
2019-07-10,92.16,94.14,91.64,93.96,4561634
2019-07-11,93.79,94.85,92.57,93.49,3320686
2019-07-12,93.68,93.97,92.35,92.82,2657567
2019-07-15,92.75,93.01,91.83,92.22,2817028
2019-07-16,92.31,92.41,88.43,89.55,6090525
2019-07-17,89.75,90.85,89.31,89.7,3097441
2019-07-18,88.9,89.47,88.02,89.19,4105733
2019-07-19,89.35,89.41,87.47,87.5,3676672
2019-07-22,88.02,89.13,87.51,88.14,3200046
2019-07-23,88.88,89.14,87.71,88.22,2428996
2019-07-24,88.04,89.94,88.0,89.78,2137376
2019-07-25,88.45,89.77,87.88,89.16,2891202
2019-07-26,89.5,90.49,89.28,89.51,2281391
2019-07-29,89.41,89.79,86.95,88.87,5162894
2019-07-30,87.93,89.01,86.24,88.57,5666045
2019-07-31,94.0,96.54,91.04,92.5,11152837
2019-08-01,93.25,97.07,93.08,94.6,5870434
2019-08-02,94.75,95.37,91.83,92.89,2764932
2019-08-05,90.31,91.76,88.22,88.59,5117083
2019-08-06,90.81,91.56,89.62,90.1,3604547
2019-08-07,89.12,92.35,88.7,92.27,4498073
2019-08-08,92.95,95.29,92.48,95.23,3849339
2019-08-09,94.37,94.87,91.4,91.97,3496674
2019-08-12,91.5,92.56,91.04,91.77,1845919
2019-08-13,91.96,93.56,91.25,92.34,2424721
2019-08-14,90.41,90.75,87.5,88.1,5459040
2019-08-15,88.95,88.95,87.23,87.88,2825204
2019-08-16,88.56,90.38,88.07,89.56,2843040
2019-08-19,91.24,91.7,90.12,90.91,2511990
2019-08-20,90.58,93.57,90.28,92.7,4328017
2019-08-21,93.55,94.98,92.62,94.04,3007232
2019-08-22,94.44,94.95,92.72,94.62,2723601
2019-08-23,94.59,95.73,92.62,92.91,4213321
2019-08-26,93.77,94.53,93.25,94.38,2919459
2019-08-27,94.75,96.3,94.06,94.06,3773075
2019-08-28,93.77,94.04,91.57,92.4,3646131
2019-08-29,93.29,93.73,92.59,93.03,2601236
2019-08-30,93.53,94.21,92.98,93.68,1704351
2019-09-03,92.73,95.17,92.65,94.83,3263426
2019-09-04,95.24,98.12,94.76,97.95,3436686
2019-09-05,98.7,99.48,96.56,97.45,3020383
2019-09-06,98.03,99.82,97.65,98.53,2885966
2019-09-09,99.01,99.88,97.44,98.68,3116060
2019-09-10,98.45,101.23,97.77,99.5,4010541
2019-09-11,100.03,100.65,98.76,99.11,2409250
2019-09-12,99.89,101.78,98.05,98.34,4123008
2019-09-13,98.57,99.35,98.16,98.48,1719377
2019-09-16,98.03,99.24,97.52,99.12,1820439
2019-09-17,99.48,99.55,97.54,98.42,1817654
2019-09-18,97.73,98.34,96.53,98.28,1822382
2019-09-19,98.28,99.9,98.28,99.69,2691393
2019-09-20,100.2,100.52,98.27,98.7,3540806
2019-09-23,98.23,99.41,97.86,98.18,2084530
2019-09-24,98.08,98.38,96.73,97.36,2869115
2019-09-25,97.1,97.82,95.83,97.63,1983252
2019-09-26,97.61,97.97,95.66,96.62,1965499
2019-09-27,97.02,97.75,95.05,95.67,1968060
2019-09-30,95.85,97.99,95.68,97.82,2548273
2019-10-01,97.81,98.0,95.13,96.75,3732175
2019-10-02,96.0,96.0,92.44,94.25,4116515
2019-10-03,93.53,95.03,92.88,94.34,3926918
2019-10-04,94.34,95.77,94.34,95.61,2246287
