date,open,high,low,close,volume
2019-01-02,61.76,64.01,61.5,63.44,7839436
2019-01-03,66.29,67.25,65.14,65.25,14631335
2019-01-04,66.25,68.43,66.04,68.25,9639546
2019-01-07,68.1,68.93,67.37,68.56,10504091
2019-01-08,68.85,69.15,67.09,68.09,7527385
2019-01-09,68.2,68.66,67.54,67.94,5770046
2019-01-10,67.74,68.27,67.09,68.04,5715891
2019-01-11,67.8,68.4,67.44,68.16,5663087
2019-01-14,67.77,67.94,67.11,67.25,9172523
2019-01-15,67.19,68.71,67.03,68.52,7199460
2019-01-16,68.27,68.87,67.55,67.64,6142336
2019-01-17,67.54,68.96,67.46,68.65,5224528
2019-01-18,69.24,69.58,68.51,69.18,8358808
2019-01-22,68.74,68.82,68.02,68.55,9827443
2019-01-23,68.52,69.51,67.82,68.25,6952595
2019-01-24,68.43,68.46,67.52,67.86,7750961
2019-01-25,68.17,69.28,68.1,68.9,8809639
2019-01-28,68.42,69.0,67.36,67.91,7119989
2019-01-29,68.07,69.96,68.04,69.59,6989320
2019-01-30,69.42,70.3,68.6,69.83,5113747
2019-01-31,69.81,70.32,69.08,70.01,8343715
2019-02-01,70.0,70.5,69.36,70.05,6502096
2019-02-04,69.86,70.26,69.22,70.05,6913816
2019-02-05,67.75,69.02,66.75,67.68,14500646
2019-02-06,67.58,69.31,67.27,68.75,7580170
2019-02-07,68.43,68.77,66.92,67.28,6643439
2019-02-08,66.92,67.61,66.34,67.47,5522199
2019-02-11,67.62,67.97,67.29,67.62,5505532
2019-02-12,64.78,65.44,63.96,65.4,15927924
2019-02-13,65.57,66.67,65.49,65.94,9047496
2019-02-14,66.13,66.79,65.68,66.37,5737099
2019-02-15,66.71,67.69,66.5,67.59,6214220
2019-02-19,67.34,67.77,66.65,66.76,6396202
2019-02-20,66.67,67.29,66.52,66.98,5679808
2019-02-21,66.93,66.96,65.235,65.55,5607851
2019-02-22,65.61,65.96,65.327,65.74,4925489
2019-02-25,66.06,66.06,65.23,65.35,7090495
2019-02-26,65.25,65.82,65.09,65.28,5957793
2019-02-27,65.11,66.11,65.01,65.57,7645419
2019-02-28,65.2,65.66,64.73,65.02,7227329
2019-03-01,65.62,66.28,65.4,66.01,6002495
2019-03-04,66.2,66.47,64.9,65.45,8409588
2019-03-05,65.23,65.65,64.35,64.39,7405354
2019-03-06,64.45,64.59,62.76,62.92,9442516
2019-03-07,62.93,63.19,61.96,62.53,7618499
2019-03-08,62.23,63.41,62.0,63.23,7639655
2019-03-11,63.37,64.54,63.07,64.34,5207902
2019-03-12,64.54,65.28,64.16,64.83,5235595
2019-03-13,65.19,65.95,64.88,65.75,6276298
2019-03-14,65.04,65.3,64.35,64.79,7958522
2019-03-15,64.73,65.79,64.73,65.63,11970914
2019-03-18,65.79,65.9,64.83,65.02,8067223
2019-03-19,65.0,66.1,64.9,65.49,6860831
2019-03-20,65.07,65.25,64.38,64.6,8408589
2019-03-21,64.14,65.02,63.0,64.92,9069470
2019-03-22,64.86,65.1,63.7,63.77,5911958
2019-03-25,63.8,63.99,62.93,63.79,7686772
2019-03-26,64.05,64.95,63.95,64.24,6332367
2019-03-27,64.14,64.56,63.46,63.66,5919592
2019-03-28,63.92,63.94,63.17,63.69,5256043
2019-03-29,64.9,65.63,64.65,65.01,9601371
2019-04-01,65.54,66.24,65.25,65.88,5757284
2019-04-02,65.69,66.78,65.69,66.24,6932062
2019-04-03,66.68,66.78,66.18,66.66,6687036
2019-04-04,66.63,67.24,66.53,66.84,5713794
2019-04-05,67.2,68.07,66.91,67.54,5401075
2019-04-08,67.39,67.81,66.9,67.38,5308575
2019-04-09,67.27,67.62,65.94,66.09,5908038
2019-04-10,67.23,67.57,66.78,67.4,7451380
2019-04-11,67.84,68.0,66.03,66.31,5994412
2019-04-12,66.76,66.84,65.08,65.28,6975359
2019-04-15,65.4,65.96,64.5,65.43,4766402
2019-04-16,65.85,66.15,64.35,64.54,5820895
2019-04-17,64.58,64.7,63.15,63.25,7888410
2019-04-18,63.61,63.61,61.56,62.95,11552923
2019-04-22,62.78,63.33,61.55,61.87,11480645
2019-04-23,62.07,63.35,61.89,63.04,10286569
2019-04-24,63.16,63.19,62.2,62.8,6130172
2019-04-25,62.47,64.33,62.05,64.14,7944694
2019-04-26,64.43,65.32,64.31,65.15,8144920
2019-04-29,65.06,65.6,64.81,64.92,5252526
2019-04-30,64.95,65.26,63.95,65.04,7164875
2019-05-01,64.82,65.61,64.46,64.87,5779712
2019-05-02,64.71,65.39,64.2,65.3,5735764
2019-05-03,65.97,67.74,65.9,67.13,8822456
2019-05-06,66.33,67.8,66.04,67.69,6304667
2019-05-07,67.05,67.5,65.93,66.4,7281275
2019-05-08,66.18,66.44,65.21,66.07,6509549
2019-05-09,65.57,66.49,64.76,66.13,6116920
2019-05-10,66.04,66.28,64.12,65.57,5953374
2019-05-13,64.42,64.53,63.16,64.17,8146161
2019-05-14,64.24,65.61,64.1,65.08,6810888
2019-05-15,64.67,65.78,64.39,65.3,5381485
2019-05-16,65.59,66.71,65.49,65.78,7535392
2019-05-17,65.77,67.22,65.6,66.36,6660945
2019-05-20,65.99,66.23,65.57,65.86,4473887
2019-05-21,66.22,66.72,65.81,66.52,5118549
2019-05-22,66.26,66.8,65.73,66.5,5764757
2019-05-23,66.75,67.46,66.37,67.17,6707321
2019-05-24,67.3,67.47,66.45,66.89,4197968
2019-05-28,65.31,65.79,63.95,63.97,9821611
2019-05-29,63.61,63.73,62.84,63.37,7193883
2019-05-30,63.46,63.64,62.81,63.34,4311874
2019-05-31,62.77,63.06,62.17,62.25,4871870
2019-06-03,62.5,64.44,62.18,63.63,9150896
2019-06-04,63.97,64.72,63.66,64.32,5648000
2019-06-05,64.8,64.84,63.6,64.44,5226709
2019-06-06,64.45,64.8,63.57,63.73,4982544
2019-06-07,64.14,65.63,63.47,65.35,6255175
2019-06-10,65.4,66.27,65.275,66.12,5942691
2019-06-11,66.13,66.83,65.95,66.1,5144617
2019-06-12,66.38,67.46,66.21,66.78,6407212
2019-06-13,66.31,67.25,66.3,66.99,4452859
2019-06-14,66.91,66.98,66.2,66.36,5333804
2019-06-17,66.47,67.45,66.07,67.1,5287314
2019-06-18,67.65,68.9,67.38,68.2,7385682
2019-06-19,68.03,68.4,67.645,68.26,4643103
2019-06-20,68.79,69.32,67.71,68.57,4968338
2019-06-21,68.53,69.47,68.27,69.38,8718528
2019-06-24,69.13,69.48,68.7,68.84,4013715
2019-06-25,68.75,69.98,68.13,68.48,6293231
2019-06-26,68.5,68.54,66.58,66.68,9479033
2019-06-27,66.64,67.39,66.26,67.08,5997026
2019-06-28,67.15,68.02,66.86,67.56,19742740
2019-07-01,68.0,68.86,67.28,67.83,6020119
2019-07-02,68.64,68.94,67.96,68.84,6010167
2019-07-03,69.07,69.07,68.32,69.0,2905965
2019-07-05,68.56,69.35,68.35,68.53,4118344
2019-07-08,68.27,68.47,66.36,67.48,7191911
2019-07-09,67.18,68.18,66.75,67.75,5201387
2019-07-10,68.0,68.53,66.9,67.46,4072325
2019-07-11,67.01,67.39,65.54,66.19,5833123
2019-07-12,66.17,66.68,65.89,66.26,4740688
2019-07-15,66.98,68.25,66.84,68.07,7495131
2019-07-16,68.07,68.2,66.51,66.94,5573167
2019-07-17,67.13,67.42,66.81,66.92,4858469
2019-07-18,66.63,67.6,66.3,67.21,4002492
2019-07-19,67.52,67.53,64.91,65.04,8876391
2019-07-22,65.3,65.82,64.75,64.91,6302747
2019-07-23,65.07,66.44,64.68,66.4,7854326
2019-07-24,66.48,66.82,65.83,66.64,4592373
2019-07-25,66.57,67.07,66.2,66.32,4061245
2019-07-26,66.35,67.04,65.92,66.92,4790598
2019-07-29,68.09,68.4,67.3,67.87,5571668
2019-07-30,67.8,67.83,66.66,67.09,6694549
2019-07-31,65.65,66.72,64.16,65.52,10366344
2019-08-01,65.66,66.78,65.08,65.47,8260162
2019-08-02,65.19,65.46,64.25,64.95,6753078
2019-08-05,64.3,64.62,62.87,63.36,7230012
2019-08-06,63.46,64.15,62.64,63.98,7052092
2019-08-07,63.34,64.2,62.54,63.88,5450410
2019-08-08,63.72,64.9,63.61,64.82,5188856
2019-08-09,64.7,65.72,64.36,65.24,5233009
2019-08-12,64.93,65.47,63.49,63.98,5703448
2019-08-13,63.72,64.99,63.72,64.3,4822137
2019-08-14,63.69,63.8,62.92,63.12,6382051
2019-08-15,63.28,63.81,62.84,62.87,4758927
2019-08-16,63.41,63.51,62.84,63.14,7593275
2019-08-19,63.69,64.42,63.69,64.11,6163388
2019-08-20,64.04,64.31,63.38,63.44,5286556
2019-08-21,64.04,64.26,63.67,64.13,4494153
2019-08-22,64.31,64.7,63.54,64.22,5084984
2019-08-23,64.07,64.67,62.19,62.51,7488696
2019-08-26,63.3,63.33,62.33,63.0,4053539
2019-08-27,63.51,63.89,62.94,63.31,5226975
2019-08-28,63.04,64.19,62.73,63.64,5374014
2019-08-29,64.27,64.42,63.29,63.75,4758566
2019-08-30,63.99,64.01,62.85,63.54,5301247
2019-09-03,63.15,63.34,62.27,62.97,4909512
2019-09-04,63.36,63.67,62.39,63.27,5902025
2019-09-05,63.44,64.5,63.33,64.06,6011052
2019-09-06,64.3,65.0,63.92,64.82,6833325
2019-09-09,64.65,66.57,64.63,66.33,8700967
2019-09-10,66.08,67.18,65.77,67.08,7419804
2019-09-11,66.99,68.16,66.99,68.08,8853340
2019-09-12,67.5,67.54,66.26,66.36,6495533
2019-09-13,66.75,67.49,65.96,66.52,4814680
2019-09-16,66.29,66.43,65.66,65.88,4644135
2019-09-17,65.9,66.24,65.28,66.17,4830276
2019-09-18,66.01,66.15,65.11,65.72,4349705
2019-09-19,65.85,66.44,65.64,65.96,4199770
2019-09-20,65.89,67.02,65.89,66.42,9775357
2019-09-23,66.25,66.33,64.88,65.73,5566567
2019-09-24,65.99,66.03,64.24,64.56,5875501
2019-09-25,64.5,64.84,64.02,64.2,4950634
2019-09-26,64.42,64.42,63.09,63.3,6508116
2019-09-27,63.57,63.92,62.57,62.9,7411390
2019-09-30,63.0,63.81,62.86,63.38,8660980
2019-10-01,63.6,64.33,62.96,63.22,4904759
2019-10-02,62.94,62.94,61.52,61.62,6656097
2019-10-03,61.74,62.34,60.89,62.23,6544306
2019-10-04,62.45,62.72,61.92,62.56,5195798
2019-10-07,62.55,63.58,62.28,62.73,6049800
2019-10-08,62.33,62.49,61.37,61.69,4641075
2019-10-09,62.29,62.43,61.76,61.98,3655779
2019-10-10,62.12,63.41,62.0,63.26,5847015
2019-10-11,63.95,64.49,63.67,63.99,5650620
2019-10-14,63.83,65.02,63.83,64.51,4558996
2019-10-15,64.83,65.74,64.61,65.3,5730401
2019-10-16,65.06,65.88,65.0,65.35,4861533
2019-10-17,65.3,65.69,64.78,65.23,4689297
2019-10-18,65.4,65.45,64.2,64.91,8709961
2019-10-21,64.94,65.37,64.8,65.21,3737043
2019-10-22,65.71,66.59,65.67,65.86,6084316
2019-10-23,65.72,66.65,65.53,66.58,6094254
2019-10-24,66.75,66.75,65.63,66.0,5602506
2019-10-25,63.0,64.27,62.52,63.32,12014712
2019-10-28,63.63,63.95,62.78,63.73,7679718
2019-10-29,64.0,64.0,63.25,63.45,5534229
2019-10-30,63.45,63.6,62.67,63.15,6289188
2019-10-31,62.91,63.82,62.74,63.71,6438062
2019-11-01,63.97,64.99,63.76,64.66,4956821
2019-11-04,65.16,65.48,64.03,65.21,7008716
2019-11-05,65.41,66.27,65.19,65.39,6599117
2019-11-06,65.63,66.17,65.07,65.41,6010492
2019-11-07,65.02,65.17,63.44,63.96,7746046
2019-11-08,63.53,65.52,63.52,65.38,4953194
2019-11-11,65.02,65.15,64.33,64.64,3696404
2019-11-12,64.56,64.86,64.15,64.32,4243339
2019-11-13,64.15,64.15,63.1,63.33,4576594
2019-11-14,63.23,64.0,62.38,63.81,7548288
2019-11-15,64.16,65.22,64.0,65.07,6908607
2019-11-18,64.88,65.17,63.72,64.29,6165734
2019-11-19,64.73,65.05,64.5,65.0,6135134
2019-11-20,64.78,65.3,64.48,64.88,7637912
2019-11-21,65.1,65.8,64.51,65.73,5392021
2019-11-22,65.79,65.94,65.19,65.26,4589261
2019-11-25,65.55,67.28,65.49,67.22,7493928
2019-11-26,66.97,67.65,66.68,67.28,6931471
2019-11-27,67.28,67.49,66.7,67.12,4980971
2019-11-29,67.04,67.36,66.81,67.24,2658811
2019-12-02,67.25,67.52,65.94,66.12,7642376
2019-12-03,65.79,66.2,65.17,66.07,5383973
2019-12-04,66.3,67.22,66.06,66.75,5093421
2019-12-05,66.9,66.95,65.4,65.93,5847764
2019-12-06,66.43,67.55,66.08,67.08,4140488
2019-12-09,67.18,67.88,66.83,66.93,6037516
2019-12-10,66.85,67.18,66.13,67.08,4273576
2019-12-11,67.36,67.99,67.11,67.78,5590164
2019-12-12,67.16,68.16,67.02,67.63,5732171
2019-12-13,66.25,66.81,65.46,65.77,8199076
2019-12-16,66.25,66.79,66.09,66.12,11647699
2019-12-17,66.18,66.41,65.79,66.2,7881385
2019-12-18,66.31,66.5,65.26,65.68,10105563
2019-12-19,65.91,65.91,65.16,65.29,10202439
2019-12-20,65.59,67.0,65.17,66.85,23449401
2019-12-23,66.7,67.4,66.54,66.75,7038753
2019-12-24,66.81,66.94,66.29,66.72,1965785
2019-12-26,66.71,66.91,66.15,66.39,3528962
2019-12-27,66.38,66.49,65.71,65.95,4464424
2019-12-30,65.73,66.1,64.81,64.93,5865520
2019-12-31,64.66,65.06,64.35,64.98,6985161
2020-01-02,65.53,65.74,65.04,65.23,4653342
2020-01-03,64.63,65.37,64.56,65.07,4689788
2020-01-06,64.67,65.83,64.66,65.65,8248705
2020-01-07,65.26,65.29,64.17,65.12,8085147
2020-01-08,65.11,66.24,64.81,65.8,6608066
2020-01-09,65.81,66.07,65.3,65.84,5942291
2020-01-10,66.0,66.09,64.98,65.03,5154055
2020-01-13,65.05,65.26,64.08,64.31,6762492
2020-01-14,64.41,64.56,63.91,64.2,9932253
2020-01-15,64.07,64.93,63.98,64.1,7080575
2020-01-16,64.29,64.38,63.12,63.2,10633877
2020-01-17,63.5,63.5,62.57,62.98,13457606
2020-01-21,62.91,62.92,62.23,62.63,12022989
2020-01-22,62.8,63.43,62.6,63.4,7906261
2020-01-23,63.25,64.06,62.74,63.94,14648720
2020-01-24,64.07,64.2,62.84,63.15,18685066
2020-01-27,63.0,64.28,62.8,63.83,10421651
2020-01-28,64.25,64.88,64.09,64.36,10241423
2020-01-29,64.42,65.14,64.22,64.3,7074791
2020-01-30,63.9,64.1,63.03,64.03,8771797
2020-01-31,63.8,63.93,62.6,63.2,11416828
2020-02-03,67.74,68.68,65.49,66.36,35561977
2020-02-04,68.0,68.01,66.88,67.4,15904094
2020-02-05,66.22,66.55,64.07,65.87,21184503
2020-02-06,67.29,69.9,66.05,68.21,28805541
2020-02-07,69.98,71.19,68.39,68.87,27320131
2020-02-10,69.32,69.4,67.61,68.99,24347753
2020-02-11,68.93,68.99,67.5,67.76,12858696
2020-02-12,67.5,67.82,66.32,66.95,13927128
2020-02-13,67.13,67.77,66.52,66.8,8030977
2020-02-14,67.41,67.66,67.04,67.56,9109093
2020-02-18,67.56,67.8,66.71,67.01,9922962
2020-02-19,67.2,67.54,66.82,67.35,7754027
2020-02-20,67.26,67.36,66.1,67.0,8697155
2020-02-21,67.18,69.78,66.81,69.7,22562012
2020-02-24,73.89,74.52,71.59,72.9,42905034
2020-02-25,73.73,73.85,69.02,70.1,39199212
2020-02-26,71.32,75.47,70.72,74.7,35415184
2020-02-27,78.31,78.88,72.26,72.66,51482511
2020-02-28,70.17,71.08,66.63,69.36,33804796
2020-03-02,70.32,75.41,70.08,75.4,31112986
2020-03-03,74.27,74.82,71.51,74.21,24481979
2020-03-04,74.9,76.01,72.59,76.01,23741669
2020-03-05,75.0,77.5,74.53,76.13,22727606
2020-03-06,75.32,80.4,75.1,80.22,31704662
2020-03-09,77.92,78.19,73.09,73.52,32839430
2020-03-10,75.51,75.56,68.78,72.34,27659952
2020-03-11,73.9,75.38,72.78,73.7,32056873
2020-03-12,70.44,72.86,67.88,68.58,26364595
2020-03-13,71.93,72.0,67.5,70.75,30116086
2020-03-16,67.24,72.8,64.41,68.9,26764609
2020-03-17,70.0,76.08,69.0,74.52,28823718
2020-03-18,73.61,80.0,72.97,79.42,34965866
2020-03-19,80.98,85.97,78.29,78.55,46268223
2020-03-20,79.5,81.6,72.17,73.26,35110162
