date,open,high,low,close,volume
2019-01-02,106.72,108.585,105.285,107.46,1802155
2019-01-03,106.35,107.0,101.57,101.74,3344269
2019-01-04,103.14,107.92,103.14,107.81,3045321
2019-01-07,107.41,108.88,105.95,108.01,1529004
2019-01-08,108.86,110.07,107.82,109.76,1631126
2019-01-09,109.93,110.53,108.59,109.2,2750124
2019-01-10,108.32,111.17,108.0,110.05,1682896
2019-01-11,109.27,109.45,107.33,109.42,1819654
2019-01-14,108.63,109.1,107.83,108.13,1411420
2019-01-15,108.28,110.24,107.54,110.18,1788122
2019-01-16,109.87,111.37,109.09,109.28,2817140
2019-01-17,108.8,109.89,108.18,108.47,2143886
2019-01-18,109.8,109.8,108.26,109.05,2361291
2019-01-22,108.71,108.85,106.02,107.26,2799296
2019-01-23,107.45,108.37,106.58,108.09,1660319
2019-01-24,108.06,108.95,107.4,108.24,769173
2019-01-25,109.18,109.93,107.81,109.85,1586916
2019-01-28,109.11,110.84,108.74,110.53,1355474
2019-01-29,110.47,111.34,109.98,111.12,1186659
2019-01-30,111.75,113.78,111.02,113.64,2514621
2019-01-31,113.6,115.03,112.68,114.53,2281067
2019-02-01,114.79,115.2,114.01,114.57,1540808
2019-02-04,114.68,115.69,114.43,115.65,1070236
2019-02-05,115.97,117.0,115.77,116.91,1448931
2019-02-06,116.77,117.75,116.67,117.27,1555807
2019-02-07,116.42,116.83,114.76,115.52,1360028
2019-02-08,114.58,115.51,114.58,115.48,1381292
2019-02-11,115.86,116.69,115.46,115.65,1022242
2019-02-12,116.41,116.77,114.49,114.74,2374486
2019-02-13,116.0,119.61,115.93,118.86,2296117
2019-02-14,118.14,118.81,116.64,118.62,1785429
2019-02-15,119.8,121.6,118.81,121.05,2012943
2019-02-19,120.29,122.4,120.15,122.03,2625589
2019-02-20,122.54,127.27,121.95,126.97,3337553
2019-02-21,127.04,128.25,125.45,127.37,2892987
2019-02-22,127.93,129.72,127.57,128.84,2085873
2019-02-25,129.69,130.16,128.42,128.48,2325103
2019-02-26,128.19,129.9,128.17,128.57,1979231
2019-02-27,127.65,128.64,126.64,126.93,2168622
2019-02-28,126.76,127.0,125.01,125.27,3312905
