date,open,high,low,close,volume
2019-01-02,96.12,97.36,95.78,97.21,3297520
2019-01-03,96.47,96.65,94.19,94.45,2705032
2019-01-04,96.19,97.93,95.83,97.74,3347302
2019-01-07,97.48,98.15,96.18,97.41,3795650
2019-01-08,98.46,99.11,96.53,97.42,3034282
2019-01-09,97.59,98.33,97.16,97.92,3678230
2019-01-10,97.4,99.14,96.85,98.91,2432217
2019-01-11,98.29,98.96,97.31,97.91,5282804
2019-01-14,97.33,99.65,96.63,99.14,4731266
2019-01-15,99.14,99.14,96.82,97.56,4777103
2019-01-16,97.9,98.95,96.87,96.99,4463447
2019-01-17,96.95,99.65,96.8,99.58,4004283
2019-01-18,100.43,101.87,100.11,101.6,4249091
2019-01-22,101.5,103.0,101.15,102.68,5594315
2019-01-23,103.04,103.13,99.24,100.92,4573263
2019-01-24,100.36,100.64,98.83,99.7,2807393
2019-01-25,100.7,101.74,100.0,100.83,3445551
2019-01-28,99.87,100.62,98.91,100.33,3126239
2019-01-29,100.37,101.33,99.78,101.3,2209103
2019-01-30,101.89,102.05,100.25,101.19,4013005
2019-01-31,105.5,108.0,102.75,105.4,7327400
2019-02-01,105.72,106.5,105.26,106.09,3526127
2019-02-04,106.0,106.59,105.42,106.58,3184663
2019-02-05,106.81,107.71,106.04,107.66,3690385
2019-02-06,107.45,108.84,107.17,108.82,4490558
2019-02-07,108.35,108.95,107.39,107.94,3395683
2019-02-08,107.39,108.12,106.74,108.1,2951012
2019-02-11,108.21,109.02,107.89,108.93,2765281
2019-02-12,109.56,110.79,109.56,110.66,2881875
2019-02-13,111.0,112.06,110.48,112.01,2731606
2019-02-14,111.41,112.17,110.61,111.8,2359424
2019-02-15,110.93,111.95,109.62,110.87,4273403
2019-02-19,110.9,111.75,110.165,110.77,2658706
2019-02-20,110.93,111.16,110.4,111.07,3346687
2019-02-21,110.77,112.28,110.71,111.76,2260051
2019-02-22,111.89,111.89,107.85,110.36,4084975
2019-02-25,109.9,111.23,109.65,110.86,3112674
2019-02-26,110.72,111.9,110.67,111.04,2927654
2019-02-27,110.93,111.2,110.42,111.13,2620930
2019-02-28,110.74,111.09,109.99,110.2,2843575
2019-03-01,110.94,112.37,110.35,112.13,3904160
2019-03-04,112.72,112.9,109.81,110.48,2731050
2019-03-05,109.89,110.85,109.01,109.97,3150966
2019-03-06,109.83,110.01,108.33,108.85,2679533
2019-03-07,108.65,109.03,106.22,106.86,3979948
2019-03-08,106.19,106.73,104.94,106.68,2648883
2019-03-11,106.87,108.92,106.79,108.83,2963374
2019-03-12,109.08,109.84,108.62,109.01,2549594
2019-03-13,109.72,111.73,109.58,110.86,3323786
2019-03-14,111.16,111.18,110.08,110.88,2539575
2019-03-15,110.85,111.25,109.42,109.52,4874437
2019-03-18,109.55,110.87,109.5,110.69,2394675
2019-03-19,110.8,111.02,110.11,110.35,2940813
2019-03-20,108.33,109.0,106.5,107.92,4199058
2019-03-21,107.27,109.97,106.93,109.8,1820318
2019-03-22,109.27,109.59,107.3,107.35,2727867
2019-03-25,107.07,107.46,106.34,106.9,2088191
2019-03-26,107.69,108.79,107.28,108.41,2204468
2019-03-27,108.5,109.14,108.16,108.98,1911333
2019-03-28,109.31,110.41,109.02,110.3,1621022
2019-03-29,111.0,112.03,110.93,111.74,3428646
2019-04-01,113.19,114.78,112.9,114.43,3721746
2019-04-02,114.38,114.55,113.11,113.68,2456380
2019-04-03,114.5,115.03,113.88,114.35,2556646
2019-04-04,114.3,114.57,113.49,113.97,2889431
2019-04-05,114.16,114.91,114.04,114.33,2487410
2019-04-08,113.73,114.06,113.32,113.97,1854580
2019-04-09,113.07,113.27,112.41,112.91,2230051
2019-04-10,113.17,113.27,112.31,113.08,1767657
2019-04-11,113.2,113.73,112.88,113.49,2384755
2019-04-12,113.94,114.88,113.46,114.46,2853767
2019-04-15,114.72,114.91,113.22,113.64,1768302
2019-04-16,113.69,114.15,113.39,113.94,2072514
2019-04-17,114.42,114.72,113.81,114.49,2108367
2019-04-18,114.53,114.72,114.07,114.15,1859667
2019-04-22,113.58,113.86,112.86,113.62,2585493
2019-04-23,113.34,114.05,112.82,113.6,2851332
2019-04-24,113.6,114.98,113.45,114.43,3570644
2019-04-25,109.59,109.88,104.2,105.13,10116646
2019-04-26,104.91,105.02,103.2,103.95,5421764
2019-04-29,104.01,104.97,103.02,104.84,4551027
2019-04-30,104.68,106.42,103.31,106.22,5101373
2019-05-01,106.06,106.5,104.26,104.62,2615332
2019-05-02,104.62,106.03,104.1,105.51,2589777
2019-05-03,106.14,106.95,105.32,106.65,3107551
2019-05-06,104.55,105.89,104.01,104.62,2704933
2019-05-07,103.88,104.08,101.1,102.09,4221600
2019-05-08,102.24,103.14,101.75,101.85,2497818
2019-05-09,101.08,101.08,99.77,100.75,3998831
2019-05-10,100.21,101.0,98.43,100.63,3071318
2019-05-13,98.62,99.48,97.87,99.35,3766439
2019-05-14,99.65,100.93,99.56,99.76,2889252
2019-05-15,99.41,102.01,98.87,101.54,3818537
2019-05-16,101.6,102.9,100.98,101.31,3337884
2019-05-17,99.54,100.65,99.0,99.4,2587007
2019-05-20,98.6,98.84,97.88,98.52,2088488
2019-05-21,99.35,99.75,98.54,99.41,1762095
2019-05-22,98.72,98.82,97.44,97.5,2580723
2019-05-23,96.92,97.0,95.15,96.17,3112059
2019-05-24,96.41,96.82,95.34,95.85,2401666
2019-05-28,95.88,95.95,94.07,94.07,3357610
2019-05-29,93.96,95.12,93.04,94.77,3388352
2019-05-30,95.4,96.13,95.02,95.75,2518894
2019-05-31,94.38,95.0,92.65,92.92,4192501
2019-06-03,92.84,95.07,92.83,94.13,4971801
